Date,Open,High,Low,Close,Volume
2016-03-22 14:41,416.0,416.0,415.99,415.99,2.328
2016-03-22 14:47,415.99,415.99,415.99,415.99,1.0
2016-03-22 14:50,416.45,416.45,416.45,416.45,1.0
2016-03-22 15:36,416.6,416.6,416.59,416.59,2.614
2016-03-22 15:52,415.63,415.63,415.63,415.63,1.0
2016-03-22 16:36,416.33,416.33,416.32,416.32,2.998
2016-03-22 17:01,415.57,415.57,415.57,415.57,1.0
2016-03-22 17:42,416.49,416.49,416.47,416.47,2.892
2016-03-22 18:06,416.07,416.07,416.07,416.07,1.0
2016-03-22 18:11,416.12,416.12,416.12,416.12,1.0
2016-03-22 19:17,416.56,416.56,416.55,416.55,2.644
2016-03-22 19:57,416.55,416.55,416.54,416.54,1.814
2016-03-22 20:02,416.42,416.42,416.42,416.42,1.0
2016-03-22 20:06,416.12,416.12,416.12,416.12,0.2
2016-03-22 20:07,416.42,416.42,416.42,416.42,0.8
2016-03-22 20:11,416.12,416.12,416.12,416.12,0.4
2016-03-22 21:07,417.5,417.5,416.67,416.67,3.718
2016-03-22 21:41,416.69,416.69,416.69,416.69,1.0
2016-03-22 22:32,418.51,418.51,417.88,417.88,3.841
2016-03-22 23:17,417.18,417.18,417.17,417.17,2.536
2016-03-22 23:32,415.91,415.92,415.91,415.92,2.116
2016-03-22 23:36,415.85,415.85,415.85,415.85,0.084
2016-03-22 23:37,415.92,415.92,415.92,415.92,0.916
2016-03-22 23:41,415.66,415.66,415.66,415.66,0.284
2016-03-23 00:32,416.96,416.96,416.58,416.58,2.97
2016-03-23 00:56,417.2,417.2,417.2,417.2,1.0
2016-03-23 00:57,417.21,417.21,417.21,417.21,0.116
2016-03-23 01:47,418.22,418.22,417.39,417.39,3.943
2016-03-23 02:47,418.16,418.16,417.33,417.33,3.559
2016-03-23 02:52,416.98,416.98,416.98,416.98,1.0
2016-03-23 03:47,417.71,417.71,417.69,417.69,1.458
2016-03-23 03:51,417.71,417.71,417.71,417.71,1.0
2016-03-23 04:02,417.73,417.74,417.73,417.74,2.088
2016-03-23 04:07,417.32,417.32,417.32,417.32,1.0
2016-03-23 04:57,417.18,417.18,417.17,417.17,2.95
2016-03-23 05:46,417.17,417.17,417.17,417.17,1.0
2016-03-23 06:19,416.69,416.69,416.68,416.68,2.368
2016-03-23 07:07,416.74,416.74,416.73,416.73,1.72
2016-03-23 07:12,416.45,416.45,416.45,416.45,1.2
2016-03-23 07:16,415.99,415.99,415.99,415.99,1.0
2016-03-23 07:17,416.16,416.16,416.16,416.16,1.2
2016-03-23 07:21,416.17,416.17,416.17,416.17,1.0
2016-03-23 07:26,416.32,416.32,415.99,415.99,3.4
2016-03-23 07:28,416.13,416.13,416.13,416.13,1.2
2016-03-23 07:39,416.08,416.08,416.08,416.08,0.743
2016-03-23 08:42,415.87,415.87,415.86,415.86,1.938
2016-03-23 09:15,418.3,418.3,415.8,415.8,14.15
2016-03-23 10:12,415.7,415.7,415.7,415.7,1.832
2016-03-23 10:52,415.7,415.7,415.7,415.7,0.228
2016-03-23 11:42,415.31,415.31,415.16,415.16,2.93
2016-03-23 12:42,415.89,415.89,415.88,415.88,3.392
2016-03-23 13:27,416.63,416.63,415.8,415.8,3.886
2016-03-23 14:22,415.09,415.09,415.08,415.08,2.46
2016-03-23 14:37,415.07,415.07,415.07,415.07,1.0
2016-03-23 15:14,415.33,415.33,415.33,415.33,1.0
2016-03-23 15:59,415.86,415.86,415.86,415.86,1.862
2016-03-23 16:53,416.4,416.4,416.4,416.4,1.368
2016-03-23 17:26,414.7,414.7,414.7,414.7,1.0
2016-03-23 18:24,416.26,416.26,415.41,415.41,3.203
2016-03-23 19:26,415.94,415.94,415.94,415.94,1.0
2016-03-23 20:16,416.79,416.79,416.79,416.79,1.83
2016-03-23 20:21,416.43,416.43,416.43,416.43,1.0
2016-03-23 21:11,417.18,417.18,417.18,417.18,2.198
2016-03-23 21:41,417.07,417.07,417.07,417.07,1.0
2016-03-23 22:26,417.79,417.79,417.79,417.79,2.518
2016-03-23 23:11,417.79,417.79,417.79,417.79,2.888
2016-03-23 23:36,417.26,417.26,417.26,417.26,1.0
2016-03-23 23:41,417.31,417.31,417.31,417.31,1.0
2016-03-24 00:11,417.31,417.31,417.31,417.31,1.0
2016-03-24 00:46,416.88,416.88,416.88,416.88,0.035
2016-03-24 01:36,416.7,416.7,416.7,416.7,3.016
2016-03-24 01:46,416.11,416.11,416.11,416.11,1.0
2016-03-24 01:51,416.11,416.11,415.84,415.84,1.8
2016-03-24 02:40,416.86,416.86,416.86,416.86,2.408
2016-03-24 03:40,417.49,417.49,417.49,417.49,3.288
2016-03-24 04:35,415.66,415.66,415.66,415.66,0.364
2016-03-24 05:06,415.83,415.83,415.83,415.83,1.0
2016-03-24 06:00,417.0,417.0,417.0,417.0,1.816
2016-03-24 06:46,418.16,418.16,416.89,416.89,1.774
2016-03-24 07:26,417.77,417.77,417.64,417.64,2.128
2016-03-24 07:36,416.78,416.78,416.78,416.78,1.0
2016-03-24 08:26,415.94,415.94,415.94,415.94,1.0
2016-03-24 09:16,416.93,416.93,416.1,416.1,3.475
2016-03-24 09:31,415.1,415.1,415.1,415.1,1.0
2016-03-24 09:36,415.07,415.07,415.07,415.07,0.2
2016-03-24 09:55,415.1,415.1,415.1,415.1,2.06
2016-03-24 10:51,416.53,416.53,414.87,414.87,1.908
2016-03-24 11:31,415.75,415.75,415.75,415.75,2.886
2016-03-24 11:43,415.03,415.03,415.03,415.03,1.0
2016-03-24 12:26,415.75,415.75,415.75,415.75,1.0
2016-03-24 12:41,415.58,415.58,415.58,415.58,1.0
2016-03-24 13:12,416.29,416.29,416.29,416.29,1.2
2016-03-24 13:26,415.9,415.9,415.9,415.9,1.0
2016-03-24 14:16,417.43,417.43,417.39,417.39,2.18
2016-03-24 14:36,417.41,417.41,417.41,417.41,1.0
2016-03-24 14:41,417.02,417.02,417.02,417.02,0.2
2016-03-24 14:46,417.43,417.43,417.43,417.43,1.0
2016-03-24 15:31,417.5,417.5,417.48,417.48,2.44
2016-03-24 16:22,417.48,417.48,417.47,417.47,2.792
2016-03-24 17:16,416.84,416.84,416.84,416.84,1.0
2016-03-24 18:01,417.69,417.69,417.69,417.69,1.714
2016-03-24 18:51,417.08,417.08,417.08,417.08,1.0
2016-03-24 19:46,417.68,417.68,417.67,417.67,1.926
2016-03-24 20:21,416.33,416.33,416.33,416.33,1.0
2016-03-24 20:26,416.3,416.3,416.3,416.3,0.2
2016-03-24 21:16,416.69,416.69,416.68,416.68,1.558
2016-03-24 22:06,416.68,416.68,416.68,416.68,0.086
2016-03-24 22:56,417.04,417.04,417.03,417.03,1.886
2016-03-24 23:01,416.68,416.68,416.68,416.68,1.0
2016-03-24 23:21,416.68,416.68,416.68,416.68,1.0
2016-03-24 23:26,416.4,416.4,416.4,416.4,0.2
2016-03-25 00:16,416.79,416.79,416.64,416.64,2.624
2016-03-25 01:02,415.44,415.44,415.44,415.44,0.153
2016-03-25 01:34,415.43,415.43,415.43,415.43,1.0
2016-03-25 01:35,415.42,415.43,415.42,415.43,1.8
2016-03-25 01:46,414.6,414.6,414.6,414.6,1.0
2016-03-25 01:56,414.62,414.62,414.62,414.62,1.0
2016-03-25 02:56,414.53,414.53,414.52,414.52,3.022
2016-03-25 03:26,414.53,414.53,414.53,414.53,1.0
2016-03-25 03:51,415.04,415.04,415.04,415.04,1.0
2016-03-25 04:41,416.28,416.28,416.28,416.28,2.85
2016-03-25 05:21,416.33,416.33,416.33,416.33,1.788
2016-03-25 06:11,416.34,416.34,416.34,416.34,1.808
2016-03-25 07:01,416.36,416.36,416.36,416.36,2.71
2016-03-25 07:51,417.19,417.19,416.36,416.36,3.473
2016-03-25 08:21,416.16,416.16,416.16,416.16,1.0
2016-03-25 08:26,416.16,416.16,416.16,416.16,1.0
2016-03-25 09:16,417.25,417.25,417.24,417.24,2.928
2016-03-25 09:49,416.14,416.14,416.14,416.14,3.4
2016-03-25 10:11,415.56,415.56,415.56,415.56,1.0
2016-03-25 10:16,415.57,415.57,415.54,415.54,1.8
2016-03-25 10:21,415.45,415.45,415.45,415.45,0.4
2016-03-25 11:01,417.6,417.6,416.77,416.77,3.667
2016-03-25 11:05,416.35,416.35,416.35,416.35,1.0
2016-03-25 11:06,416.34,416.34,416.34,416.34,1.0
2016-03-25 11:29,417.08,417.08,417.08,417.08,1.0
2016-03-25 11:30,417.07,417.08,417.07,417.08,1.8
2016-03-25 11:46,416.42,416.42,416.42,416.42,1.0
2016-03-25 11:51,416.42,416.42,416.4,416.4,1.8
2016-03-25 12:01,416.28,416.28,416.28,416.28,1.0
2016-03-25 12:02,416.29,416.29,416.29,416.29,0.141
2016-03-25 12:41,416.11,416.11,416.11,416.11,1.7
2016-03-25 12:45,416.54,416.55,416.54,416.55,1.91
2016-03-25 12:51,416.56,416.56,416.56,416.56,1.0
2016-03-25 13:31,416.38,416.69,416.38,416.69,0.2
2016-03-25 13:36,416.79,416.79,416.38,416.38,3.0
2016-03-25 13:41,416.8,416.8,416.8,416.8,1.8
2016-03-25 13:45,416.81,416.81,416.81,416.81,0.818
2016-03-25 13:46,416.38,416.8,416.38,416.8,0.42
2016-03-25 13:51,416.38,416.38,416.38,416.38,1.0
2016-03-25 13:56,416.79,416.79,416.38,416.38,3.0
2016-03-25 14:01,416.8,416.8,416.8,416.8,0.2
2016-03-25 14:16,416.81,416.81,416.81,416.81,1.0
2016-03-25 15:06,417.24,417.24,417.23,417.23,2.98
2016-03-25 15:17,417.22,417.22,417.22,417.22,0.808
2016-03-25 16:06,418.03,418.03,417.2,417.2,3.775
2016-03-25 16:10,417.2,417.2,417.2,417.2,0.654
2016-03-25 16:11,416.97,416.97,416.97,416.97,1.0
