Date,Open,High,Low,Close,Volume
20170712  18:00:00,0.7674,0.7677,0.7672,0.7672,394.0
20170712  18:30:00,0.7672,0.7674,0.7672,0.7672,156.0
20170712  19:00:00,0.7672,0.7673,0.767,0.7671,104.0
20170712  19:30:00,0.7671,0.7673,0.767,0.7673,302.0
20170712  20:00:00,0.7673,0.7679,0.7672,0.7679,934.0
20170712  20:30:00,0.7678,0.7683,0.7678,0.7682,1204.0
20170712  21:00:00,0.7681,0.7683,0.7676,0.7676,785.0
20170712  21:30:00,0.7676,0.7676,0.7669,0.7674,1233.0
20170712  22:00:00,0.7674,0.7677,0.7671,0.7675,662.0
20170712  22:30:00,0.7674,0.7682,0.7674,0.7681,1104.0
20170712  23:00:00,0.7682,0.7691,0.7681,0.7686,2967.0
20170712  23:30:00,0.7686,0.7687,0.7684,0.7686,413.0
20170713  00:00:00,0.7686,0.7686,0.7681,0.7683,582.0
20170713  00:30:00,0.7683,0.769,0.7683,0.7689,1251.0
20170713  01:00:00,0.7688,0.7694,0.7688,0.7693,1381.0
20170713  01:30:00,0.7694,0.7703,0.7692,0.7698,2771.0
20170713  02:00:00,0.7698,0.7703,0.7697,0.7702,1950.0
20170713  02:30:00,0.7703,0.7709,0.7703,0.7704,4091.0
20170713  03:00:00,0.7705,0.7724,0.7704,0.7716,7154.0
20170713  03:30:00,0.7715,0.7719,0.7714,0.7718,4281.0
20170713  04:00:00,0.7718,0.7722,0.7716,0.7719,2998.0
20170713  04:30:00,0.7718,0.7723,0.7717,0.772,1411.0
20170713  05:00:00,0.7719,0.7723,0.7719,0.7723,2264.0
20170713  05:30:00,0.7723,0.7733,0.7721,0.7731,5489.0
20170713  06:00:00,0.7732,0.7734,0.7729,0.7731,1965.0
20170713  06:30:00,0.7731,0.7733,0.7728,0.773,1640.0
20170713  07:00:00,0.7729,0.7731,0.7723,0.7724,4970.0
20170713  07:30:00,0.7725,0.7725,0.7718,0.7719,2781.0
20170713  08:00:00,0.7719,0.7724,0.7717,0.7719,3194.0
20170713  08:30:00,0.7718,0.7723,0.7717,0.7719,3848.0
20170713  09:00:00,0.772,0.7721,0.7715,0.7715,2680.0
20170713  09:30:00,0.7716,0.7718,0.7712,0.7717,3657.0
20170713  10:00:00,0.7716,0.7718,0.7708,0.7712,4091.0
20170713  10:30:00,0.7712,0.7717,0.7711,0.7717,3228.0
20170713  11:00:00,0.7717,0.7725,0.7716,0.7721,4855.0
20170713  11:30:00,0.7721,0.7722,0.7719,0.772,1613.0
20170713  12:00:00,0.7721,0.7725,0.7719,0.7719,1411.0
20170713  12:30:00,0.772,0.772,0.7717,0.772,1358.0
20170713  13:00:00,0.772,0.7721,0.7718,0.7721,1300.0
20170713  13:30:00,0.7721,0.7722,0.772,0.7722,609.0
20170713  14:00:00,0.7722,0.7725,0.7721,0.7723,988.0
20170713  14:30:00,0.7723,0.7728,0.7723,0.7724,2992.0
20170713  15:00:00,0.7724,0.7725,0.7722,0.7725,964.0
20170713  15:30:00,0.7725,0.7726,0.7723,0.7726,1308.0
20170713  16:00:00,0.7726,0.7726,0.7723,0.7726,630.0
20170713  16:30:00,0.7726,0.7726,0.772,0.7724,648.0
20170713  18:00:00,0.7723,0.7727,0.7723,0.7723,329.0
20170713  18:30:00,0.7723,0.7726,0.7723,0.7726,445.0
20170713  19:00:00,0.7726,0.7729,0.7725,0.7727,259.0
20170713  19:30:00,0.7726,0.7737,0.7726,0.7733,1396.0
20170713  20:00:00,0.7734,0.774,0.7728,0.7733,1871.0
20170713  20:30:00,0.7733,0.7739,0.7732,0.7737,1812.0
20170713  21:00:00,0.7736,0.7736,0.7731,0.7731,752.0
20170713  21:30:00,0.7732,0.7733,0.7729,0.7731,369.0
20170713  22:00:00,0.7731,0.7732,0.7729,0.773,491.0
20170713  22:30:00,0.773,0.7732,0.7729,0.7729,787.0
20170713  23:00:00,0.7729,0.7732,0.7728,0.7732,449.0
20170713  23:30:00,0.7732,0.7734,0.7732,0.7733,235.0
20170714  00:00:00,0.7734,0.7737,0.7731,0.7732,538.0
20170714  00:30:00,0.7733,0.7735,0.7732,0.7734,649.0
20170714  01:00:00,0.7734,0.774,0.7733,0.7737,1189.0
20170714  01:30:00,0.7736,0.7739,0.7735,0.7738,648.0
20170714  02:00:00,0.7737,0.7752,0.7736,0.7749,4431.0
20170714  02:30:00,0.7749,0.7749,0.7743,0.7745,2703.0
20170714  03:00:00,0.7745,0.7757,0.7745,0.7751,3326.0
20170714  03:30:00,0.7751,0.7755,0.7746,0.7746,2203.0
20170714  04:00:00,0.7746,0.7755,0.7744,0.7752,2014.0
20170714  04:30:00,0.7752,0.7755,0.7747,0.775,1791.0
20170714  05:00:00,0.775,0.7754,0.775,0.7752,1600.0
20170714  05:30:00,0.7752,0.7753,0.7751,0.7752,994.0
20170714  06:00:00,0.7751,0.7754,0.7751,0.7753,1017.0
20170714  06:30:00,0.7754,0.7754,0.775,0.7751,1505.0
20170714  07:00:00,0.7751,0.7755,0.775,0.7754,1087.0
20170714  07:30:00,0.7754,0.7757,0.7753,0.7756,1141.0
20170714  08:00:00,0.7756,0.7761,0.7752,0.776,3105.0
20170714  08:30:00,0.7759,0.7822,0.7759,0.7814,27554.0
20170714  09:00:00,0.7814,0.7815,0.7801,0.7807,6954.0
20170714  09:30:00,0.7806,0.7822,0.7805,0.7818,6398.0
20170714  10:00:00,0.7819,0.7822,0.7806,0.7808,6475.0
20170714  10:30:00,0.7808,0.7808,0.7793,0.7805,7093.0
20170714  11:00:00,0.7805,0.7806,0.78,0.7806,2902.0
20170714  11:30:00,0.7806,0.7807,0.7802,0.7807,1955.0
20170714  12:00:00,0.7806,0.7808,0.7804,0.7806,1049.0
20170714  12:30:00,0.7806,0.7807,0.7804,0.7806,1266.0
20170714  13:00:00,0.7805,0.7809,0.7802,0.7809,888.0
20170714  13:30:00,0.7809,0.7815,0.7808,0.7814,1835.0
20170714  14:00:00,0.7814,0.7817,0.7814,0.7816,2506.0
20170714  14:30:00,0.7816,0.7818,0.7814,0.7816,2102.0
20170714  15:00:00,0.7817,0.7819,0.7815,0.7819,1171.0
20170714  15:30:00,0.7818,0.7821,0.7817,0.782,1122.0
20170714  16:00:00,0.782,0.7827,0.7818,0.7827,1421.0
20170714  16:30:00,0.7826,0.7828,0.7826,0.7826,246.0
