Date,Open,High,Low,Close,Volume
20170608  20:00:00,384.25,384.5,382.75,383.75,5773.0
20170608  20:30:00,383.75,384.75,383.75,384.75,690.0
20170608  21:00:00,384.75,385.0,384.5,385.0,564.0
20170608  21:30:00,385.0,385.0,384.5,384.75,584.0
20170608  22:00:00,384.75,385.0,384.0,384.75,522.0
20170608  22:30:00,384.5,384.75,384.0,384.25,643.0
20170608  23:00:00,384.25,385.0,384.25,384.75,149.0
20170608  23:30:00,385.0,385.25,384.75,385.0,209.0
20170609  00:00:00,385.0,385.25,384.5,384.5,145.0
20170609  00:30:00,384.5,385.0,384.5,385.0,79.0
20170609  01:00:00,385.0,385.0,384.5,384.5,168.0
20170609  01:30:00,384.5,384.75,384.25,384.25,132.0
20170609  02:00:00,384.5,384.5,384.25,384.5,171.0
20170609  02:30:00,384.25,384.75,384.25,384.25,282.0
20170609  03:00:00,384.5,384.5,383.75,384.0,592.0
20170609  03:30:00,384.25,384.25,383.5,384.25,818.0
20170609  04:00:00,384.0,384.25,383.25,383.5,1285.0
20170609  04:30:00,383.5,383.75,381.5,381.5,4007.0
20170609  05:00:00,381.75,382.25,380.75,382.25,2018.0
20170609  05:30:00,382.25,382.75,382.0,382.25,765.0
20170609  06:00:00,382.25,382.75,381.5,381.75,901.0
20170609  06:30:00,381.75,383.0,381.75,383.0,842.0
20170609  07:00:00,383.0,383.5,382.75,383.5,699.0
20170609  07:30:00,383.5,384.0,383.5,384.0,363.0
20170609  08:00:00,383.75,384.25,382.75,384.0,2004.0
20170609  08:30:00,384.0,384.5,383.75,384.25,1029.0
20170609  09:30:00,384.5,386.75,384.5,386.0,21031.0
20170609  10:00:00,386.0,388.25,385.75,388.25,13602.0
20170609  10:30:00,388.25,389.5,387.75,388.5,15761.0
20170609  11:00:00,388.75,389.5,388.25,389.25,9949.0
20170609  11:30:00,389.0,389.5,387.25,387.75,12522.0
20170609  12:00:00,387.75,389.0,385.25,386.5,25094.0
20170609  12:30:00,386.75,387.5,386.5,387.25,7563.0
20170609  13:00:00,387.0,389.0,387.0,388.5,8433.0
20170609  13:30:00,388.5,389.25,387.75,388.25,7701.0
20170609  14:00:00,388.25,388.5,387.0,388.0,13054.0
20170611  20:00:00,386.0,386.75,384.0,385.5,8423.0
20170611  20:30:00,385.5,386.5,385.25,386.5,595.0
20170611  21:00:00,386.25,386.25,385.5,385.75,995.0
20170611  21:30:00,386.0,386.5,385.75,386.0,418.0
20170611  22:00:00,386.25,386.5,385.5,386.25,800.0
20170611  22:30:00,386.25,386.5,385.75,385.75,319.0
20170611  23:00:00,386.0,386.0,385.5,385.75,168.0
20170611  23:30:00,386.0,386.0,385.5,385.5,240.0
20170612  00:00:00,385.75,385.75,385.0,385.25,452.0
20170612  00:30:00,385.25,385.5,385.0,385.0,126.0
20170612  01:00:00,385.25,385.5,385.0,385.25,89.0
20170612  01:30:00,385.25,385.5,385.0,385.25,163.0
20170612  02:00:00,385.5,385.5,385.0,385.5,253.0
20170612  02:30:00,385.25,386.25,385.25,386.0,408.0
20170612  03:00:00,386.0,386.25,386.0,386.25,288.0
20170612  03:30:00,386.0,387.25,386.0,387.0,1109.0
20170612  04:00:00,387.25,387.25,385.5,386.0,1312.0
20170612  04:30:00,386.0,386.25,385.0,385.0,633.0
20170612  05:00:00,385.25,385.5,384.75,385.25,1432.0
20170612  05:30:00,385.0,385.25,384.5,385.0,575.0
20170612  06:00:00,385.0,385.0,383.75,384.25,1824.0
20170612  06:30:00,384.5,384.5,383.5,383.75,898.0
20170612  07:00:00,384.0,384.0,381.5,381.5,3405.0
20170612  07:30:00,381.75,382.5,381.5,382.0,3436.0
20170612  08:00:00,382.25,382.25,380.5,380.75,5351.0
20170612  08:30:00,380.75,382.0,380.75,381.5,3053.0
20170612  09:30:00,381.75,382.0,377.75,378.25,44980.0
20170612  10:00:00,378.25,380.75,378.0,379.75,18820.0
20170612  10:30:00,380.0,380.75,379.5,380.5,9617.0
20170612  11:00:00,380.5,381.25,379.75,380.0,7698.0
20170612  11:30:00,380.0,380.0,379.0,379.25,7357.0
20170612  12:00:00,379.5,379.5,377.5,377.75,20756.0
20170612  12:30:00,377.5,377.5,376.25,377.25,17230.0
20170612  13:00:00,377.25,379.5,377.25,378.0,10276.0
20170612  13:30:00,378.0,379.25,378.0,379.25,5705.0
20170612  14:00:00,379.0,379.5,378.5,378.5,4267.0
