Date,Open,High,Low,Close,Volume
20161221  17:00:00,52.52,52.62,52.5,52.59,883.0
20161221  17:30:00,52.59,52.6,52.55,52.55,322.0
20161221  18:00:00,52.55,52.6,52.52,52.57,676.0
20161221  18:30:00,52.57,52.58,52.52,52.57,570.0
20161221  19:00:00,52.56,52.67,52.56,52.67,1223.0
20161221  19:30:00,52.67,52.68,52.6,52.65,1257.0
20161221  20:00:00,52.65,52.71,52.64,52.65,1130.0
20161221  20:30:00,52.65,52.67,52.62,52.62,480.0
20161221  21:00:00,52.62,52.68,52.6,52.65,916.0
20161221  21:30:00,52.65,52.66,52.62,52.62,378.0
20161221  22:00:00,52.63,52.65,52.62,52.63,452.0
20161221  22:30:00,52.62,52.65,52.61,52.61,438.0
20161221  23:00:00,52.62,52.64,52.57,52.57,1047.0
20161221  23:30:00,52.57,52.57,52.41,52.45,2999.0
20161222  00:00:00,52.44,52.46,52.38,52.43,2502.0
20161222  00:30:00,52.43,52.46,52.41,52.44,912.0
20161222  01:00:00,52.44,52.52,52.43,52.49,2494.0
20161222  01:30:00,52.49,52.57,52.46,52.53,2574.0
20161222  02:00:00,52.53,52.67,52.52,52.63,5816.0
20161222  02:30:00,52.63,52.67,52.51,52.55,4561.0
20161222  03:00:00,52.56,52.6,52.45,52.45,4985.0
20161222  03:30:00,52.46,52.59,52.32,52.34,8190.0
20161222  04:00:00,52.33,52.46,52.32,52.41,6384.0
20161222  04:30:00,52.42,52.42,52.25,52.31,5900.0
20161222  05:00:00,52.3,52.3,52.16,52.2,6767.0
20161222  05:30:00,52.21,52.31,52.17,52.28,5048.0
20161222  06:00:00,52.28,52.31,52.19,52.21,5375.0
20161222  06:30:00,52.22,52.22,52.08,52.14,6589.0
20161222  07:00:00,52.13,52.42,52.12,52.41,9775.0
20161222  07:30:00,52.4,52.43,52.3,52.41,9157.0
20161222  08:00:00,52.41,52.86,52.41,52.75,35340.0
20161222  08:30:00,52.75,52.86,52.66,52.78,17400.0
20161222  09:00:00,52.79,53.13,52.78,53.05,33894.0
20161222  09:30:00,53.05,53.19,53.0,53.11,19882.0
20161222  10:00:00,53.12,53.13,52.84,52.94,28962.0
20161222  10:30:00,52.93,52.98,52.81,52.96,15178.0
20161222  11:00:00,52.95,53.08,52.83,53.08,10754.0
20161222  11:30:00,53.08,53.09,52.87,52.89,11440.0
20161222  12:00:00,52.89,53.03,52.89,53.03,6185.0
20161222  12:30:00,53.03,53.13,52.99,53.03,8592.0
20161222  13:00:00,53.02,53.07,52.92,52.97,16752.0
20161222  13:30:00,52.96,52.98,52.87,52.88,5396.0
20161222  14:00:00,52.88,52.89,52.8,52.85,3760.0
