Date,Open,High,Low,Close,Volume
20170503  18:00:00,1.09085,1.09115,1.0904,1.0911,1170.0
20170503  18:30:00,1.0911,1.09145,1.09095,1.09125,281.0
20170503  19:00:00,1.0912,1.0913,1.09085,1.091,470.0
20170503  19:30:00,1.09095,1.09135,1.0909,1.09115,296.0
20170503  20:00:00,1.0911,1.09175,1.09105,1.09165,1157.0
20170503  20:30:00,1.0916,1.09175,1.09085,1.09095,1032.0
20170503  21:00:00,1.091,1.0915,1.09075,1.09145,1199.0
20170503  21:30:00,1.0914,1.09175,1.09115,1.0916,802.0
20170503  22:00:00,1.0916,1.09175,1.09125,1.0915,854.0
20170503  22:30:00,1.09155,1.09165,1.09135,1.09145,269.0
20170503  23:00:00,1.09145,1.09155,1.0913,1.09155,441.0
20170503  23:30:00,1.0916,1.092,1.0915,1.09195,662.0
20170504  00:00:00,1.0919,1.0919,1.09165,1.09165,193.0
20170504  00:30:00,1.0917,1.09195,1.09165,1.0919,326.0
20170504  01:00:00,1.09185,1.09185,1.0916,1.0917,378.0
20170504  01:30:00,1.0917,1.0919,1.0915,1.09165,570.0
20170504  02:00:00,1.0916,1.092,1.09125,1.0913,2465.0
20170504  02:30:00,1.0913,1.0914,1.08975,1.0906,6789.0
20170504  03:00:00,1.09055,1.09125,1.0904,1.09115,5869.0
20170504  03:30:00,1.09115,1.09405,1.0911,1.09345,12230.0
20170504  04:00:00,1.0935,1.09415,1.0933,1.0935,6211.0
20170504  04:30:00,1.0935,1.0947,1.09345,1.0941,8079.0
20170504  05:00:00,1.0941,1.09575,1.09405,1.095,9991.0
20170504  05:30:00,1.09495,1.0959,1.09475,1.0956,7364.0
20170504  06:00:00,1.0956,1.0964,1.09515,1.09575,8217.0
20170504  06:30:00,1.0958,1.0959,1.0951,1.09535,4737.0
20170504  07:00:00,1.0954,1.09575,1.0947,1.095,5200.0
20170504  07:30:00,1.09495,1.09525,1.09465,1.0947,3600.0
20170504  08:00:00,1.09465,1.09515,1.0943,1.0946,5313.0
20170504  08:30:00,1.09465,1.0959,1.0941,1.09575,9181.0
20170504  09:00:00,1.0957,1.09615,1.09475,1.0949,6021.0
20170504  09:30:00,1.0949,1.09615,1.09475,1.09595,6881.0
20170504  10:00:00,1.096,1.0969,1.0955,1.09665,12353.0
20170504  10:30:00,1.0967,1.0976,1.0953,1.0968,15585.0
20170504  11:00:00,1.0968,1.0976,1.0958,1.0966,8905.0
20170504  11:30:00,1.09655,1.0992,1.0959,1.0989,13495.0
20170504  12:00:00,1.09895,1.1002,1.0988,1.0995,13356.0
20170504  12:30:00,1.0995,1.0999,1.09885,1.0996,4807.0
20170504  13:00:00,1.09965,1.09995,1.09905,1.09935,4360.0
20170504  13:30:00,1.09935,1.09975,1.0989,1.09905,4973.0
20170504  14:00:00,1.099,1.10025,1.0989,1.1,7091.0
20170504  14:30:00,1.1,1.1002,1.09965,1.1,4248.0
20170504  15:00:00,1.1,1.1007,1.09995,1.10065,3013.0
20170504  15:30:00,1.10065,1.1008,1.1005,1.1007,2241.0
20170504  16:00:00,1.1007,1.101,1.1006,1.10065,1378.0
20170504  16:30:00,1.10065,1.10075,1.1004,1.1006,812.0
20170504  18:00:00,1.1004,1.10045,1.10005,1.1001,909.0
20170504  18:30:00,1.1001,1.10045,1.1001,1.1003,357.0
20170504  19:00:00,1.1003,1.1004,1.1002,1.10035,535.0
20170504  19:30:00,1.10035,1.1004,1.10025,1.10025,268.0
20170504  20:00:00,1.10025,1.1004,1.10005,1.1002,673.0
20170504  20:30:00,1.10025,1.10025,1.0998,1.10015,645.0
20170504  21:00:00,1.10015,1.10015,1.09965,1.10005,872.0
20170504  21:30:00,1.1,1.1001,1.09955,1.09975,1078.0
20170504  22:00:00,1.0997,1.09975,1.0995,1.09955,696.0
20170504  22:30:00,1.0996,1.1001,1.0996,1.10005,355.0
20170504  23:00:00,1.10005,1.1007,1.10005,1.10025,1456.0
20170504  23:30:00,1.10025,1.10085,1.10025,1.1006,1318.0
20170505  00:00:00,1.10065,1.1012,1.1006,1.10115,1867.0
20170505  00:30:00,1.10115,1.1012,1.1005,1.10055,993.0
20170505  01:00:00,1.1006,1.10105,1.1005,1.10065,1318.0
20170505  01:30:00,1.10065,1.1008,1.10005,1.10015,1123.0
20170505  02:00:00,1.1001,1.10055,1.09965,1.0997,3863.0
20170505  02:30:00,1.0997,1.1002,1.0992,1.0993,3489.0
20170505  03:00:00,1.09925,1.10055,1.0988,1.0992,8560.0
20170505  03:30:00,1.09915,1.0998,1.0988,1.09965,3591.0
20170505  04:00:00,1.09965,1.09995,1.09915,1.09945,4262.0
20170505  04:30:00,1.09945,1.0995,1.09785,1.09805,7472.0
20170505  05:00:00,1.09805,1.09865,1.09805,1.0986,3396.0
20170505  05:30:00,1.0986,1.0988,1.09775,1.0979,3934.0
20170505  06:00:00,1.09795,1.09835,1.09775,1.0981,3867.0
20170505  06:30:00,1.0981,1.09855,1.09755,1.0981,3851.0
20170505  07:00:00,1.09815,1.0983,1.0977,1.0979,2829.0
20170505  07:30:00,1.09795,1.0986,1.0978,1.09795,3137.0
20170505  08:00:00,1.09795,1.09895,1.09795,1.0983,4959.0
20170505  08:30:00,1.09835,1.1014,1.0968,1.1001,26034.0
20170505  09:00:00,1.1001,1.1001,1.09875,1.0998,9417.0
20170505  09:30:00,1.0998,1.1005,1.09905,1.1003,7096.0
20170505  10:00:00,1.1003,1.1015,1.1,1.1007,10862.0
20170505  10:30:00,1.10075,1.1014,1.10025,1.10065,7278.0
20170505  11:00:00,1.10065,1.1014,1.1003,1.1012,6676.0
20170505  11:30:00,1.1012,1.10215,1.10115,1.1017,6736.0
