Date,Open,High,Low,Close,Volume
20161102  18:00:00,1473.7,1475.8,1473.7,1475.2,42.0
20161102  18:30:00,1473.8,1473.8,1473.8,1473.8,3.0
20161102  19:00:00,1473.5,1474.7,1473.5,1474.7,30.0
20161102  19:30:00,1474.7,1475.4,1474.7,1474.9,15.0
20161102  20:00:00,1475.0,1477.0,1475.0,1477.0,25.0
20161102  20:30:00,1476.4,1476.5,1475.5,1476.5,15.0
20161102  21:00:00,1477.0,1477.6,1476.8,1476.9,22.0
20161102  21:30:00,1477.8,1478.2,1477.0,1478.2,21.0
20161102  22:00:00,1478.3,1478.3,1476.8,1477.0,6.0
20161102  22:30:00,1477.0,1477.1,1472.5,1472.5,21.0
20161102  23:00:00,1471.1,1471.7,1469.7,1471.7,12.0
20161102  23:30:00,1471.2,1472.0,1471.2,1472.0,11.0
20161103  00:00:00,1471.8,1472.2,1471.8,1472.2,2.0
20161103  00:30:00,1472.8,1472.8,1472.4,1472.5,8.0
20161103  01:00:00,1472.9,1473.4,1472.4,1472.8,44.0
20161103  01:30:00,1472.8,1472.8,1472.8,1472.8,0.0
20161103  02:00:00,1473.5,1473.7,1473.4,1473.7,12.0
20161103  02:30:00,1473.7,1473.7,1473.7,1473.7,0.0
20161103  03:00:00,1473.6,1473.7,1472.2,1472.2,34.0
20161103  03:30:00,1472.2,1472.7,1472.0,1472.7,7.0
20161103  04:00:00,1472.0,1475.3,1471.4,1475.3,50.0
20161103  04:30:00,1475.2,1475.9,1474.3,1475.0,28.0
20161103  05:00:00,1474.8,1476.9,1474.2,1476.4,39.0
20161103  05:30:00,1476.7,1477.3,1476.2,1477.3,19.0
20161103  06:00:00,1477.2,1480.3,1476.6,1476.6,63.0
20161103  06:30:00,1476.2,1477.3,1476.2,1477.3,17.0
20161103  07:00:00,1478.4,1482.0,1478.4,1480.0,55.0
20161103  07:30:00,1479.9,1481.0,1479.0,1479.1,87.0
20161103  08:00:00,1479.2,1481.0,1478.2,1481.0,135.0
20161103  08:30:00,1480.1,1481.4,1478.3,1480.2,78.0
20161103  09:00:00,1480.0,1480.0,1477.5,1478.3,170.0
20161103  09:30:00,1478.5,1481.8,1475.9,1479.4,2018.0
20161103  10:00:00,1479.8,1481.8,1477.7,1480.4,864.0
20161103  10:30:00,1480.4,1482.5,1478.4,1479.4,552.0
20161103  11:00:00,1479.4,1482.9,1478.6,1482.6,596.0
20161103  11:30:00,1482.5,1483.9,1480.2,1480.8,1350.0
20161103  12:00:00,1480.8,1481.5,1476.8,1477.3,522.0
20161103  12:30:00,1477.0,1477.7,1474.5,1476.5,644.0
20161103  13:00:00,1476.2,1477.6,1474.8,1476.8,370.0
20161103  13:30:00,1476.6,1476.8,1475.0,1476.0,414.0
20161103  14:00:00,1475.9,1478.2,1475.5,1476.6,405.0
20161103  14:30:00,1476.8,1477.9,1475.6,1477.8,502.0
20161103  15:00:00,1477.6,1477.6,1475.1,1475.6,497.0
20161103  15:30:00,1475.4,1475.5,1471.5,1472.7,4026.0
20161103  16:00:00,1472.6,1474.1,1471.4,1473.9,718.0
20161103  16:30:00,1473.5,1474.2,1473.0,1473.6,16.0
20161103  18:00:00,1473.0,1474.1,1473.0,1474.0,9.0
20161103  18:30:00,1474.0,1474.0,1474.0,1474.0,0.0
