Date,Open,High,Low,Close,Volume
20170402  18:00:00,2357.5,2360.75,2357.0,2360.0,3809.0
20170402  18:30:00,2360.0,2361.0,2359.75,2360.25,1914.0
20170402  19:00:00,2360.5,2360.75,2360.0,2360.25,817.0
20170402  19:30:00,2360.5,2360.5,2359.25,2359.25,2280.0
20170402  20:00:00,2359.25,2359.75,2356.0,2357.25,7758.0
20170402  20:30:00,2357.25,2360.5,2357.0,2360.0,3942.0
20170402  21:00:00,2359.75,2361.0,2359.0,2359.25,4374.0
20170402  21:30:00,2359.5,2360.0,2358.25,2359.75,3011.0
20170402  22:00:00,2359.75,2360.5,2359.0,2360.0,2890.0
20170402  22:30:00,2360.0,2360.0,2359.25,2359.5,1239.0
20170402  23:00:00,2359.5,2360.0,2359.0,2359.75,1300.0
20170402  23:30:00,2359.75,2359.75,2358.75,2359.0,1563.0
20170403  00:00:00,2359.0,2359.25,2358.25,2359.0,1800.0
20170403  00:30:00,2359.0,2359.25,2358.5,2359.25,777.0
20170403  01:00:00,2359.25,2360.0,2359.0,2359.75,2481.0
20170403  01:30:00,2359.5,2360.5,2359.25,2360.0,3485.0
20170403  02:00:00,2360.25,2363.25,2360.0,2363.25,6441.0
20170403  02:30:00,2363.0,2363.25,2362.5,2362.75,2913.0
20170403  03:00:00,2363.0,2363.0,2360.75,2361.25,6603.0
20170403  03:30:00,2361.0,2361.25,2360.25,2360.75,4626.0
20170403  04:00:00,2360.75,2360.75,2359.5,2359.75,5120.0
20170403  04:30:00,2359.75,2360.75,2359.5,2360.5,5581.0
20170403  05:00:00,2360.5,2361.0,2360.0,2360.5,3968.0
20170403  05:30:00,2360.5,2362.5,2360.0,2362.25,4720.0
20170403  06:00:00,2362.5,2362.5,2359.75,2360.0,6920.0
20170403  06:30:00,2360.0,2360.0,2359.0,2359.25,5497.0
20170403  07:00:00,2359.25,2359.5,2358.5,2359.0,4637.0
20170403  07:30:00,2358.75,2359.5,2358.25,2358.5,5622.0
20170403  08:00:00,2358.75,2359.75,2358.0,2359.25,7600.0
20170403  08:30:00,2359.5,2360.5,2358.75,2360.0,7329.0
20170403  09:00:00,2360.0,2360.25,2359.0,2359.25,14679.0
20170403  09:30:00,2359.25,2361.75,2358.0,2358.75,131683.0
20170403  10:00:00,2358.75,2360.25,2352.75,2356.75,152912.0
20170403  10:30:00,2356.75,2358.0,2347.5,2348.0,146871.0
20170403  11:00:00,2347.75,2349.5,2343.5,2347.0,153391.0
20170403  11:30:00,2347.25,2348.0,2342.5,2344.25,100292.0
20170403  12:00:00,2344.25,2348.25,2340.0,2348.0,118811.0
20170403  12:30:00,2348.0,2349.5,2346.75,2349.5,67359.0
20170403  13:00:00,2349.25,2350.75,2347.5,2348.5,77895.0
20170403  13:30:00,2348.75,2349.0,2345.5,2348.5,60263.0
20170403  14:00:00,2348.75,2350.0,2345.75,2349.5,59763.0
20170403  14:30:00,2349.5,2353.75,2349.0,2352.5,104742.0
20170403  15:00:00,2352.5,2356.5,2351.75,2354.75,99329.0
20170403  15:30:00,2355.0,2356.0,2352.75,2354.75,189348.0
20170403  16:00:00,2355.0,2357.5,2354.5,2356.0,89786.0
20170403  16:30:00,2356.0,2356.0,2354.25,2354.5,7834.0
20170403  18:00:00,2354.25,2355.5,2354.25,2355.0,2202.0
20170403  18:30:00,2354.75,2355.0,2353.75,2354.5,2096.0
20170403  19:00:00,2354.75,2355.25,2354.25,2355.0,812.0
20170403  19:30:00,2355.0,2355.0,2354.25,2354.5,1178.0
20170403  20:00:00,2354.25,2354.5,2350.75,2351.75,7769.0
20170403  20:30:00,2351.75,2353.0,2351.5,2353.0,2465.0
20170403  21:00:00,2352.75,2353.25,2352.0,2353.25,2476.0
20170403  21:30:00,2353.0,2353.75,2352.75,2353.25,1721.0
20170403  22:00:00,2353.25,2353.75,2352.75,2353.0,1823.0
20170403  22:30:00,2353.0,2353.25,2352.5,2352.5,1215.0
20170403  23:00:00,2352.5,2352.75,2351.0,2352.0,2707.0
20170403  23:30:00,2352.0,2352.5,2352.0,2352.5,1625.0
20170404  00:00:00,2352.5,2352.75,2351.5,2351.75,2250.0
20170404  00:30:00,2351.75,2352.75,2350.5,2352.0,3925.0
20170404  01:00:00,2352.0,2352.75,2351.5,2352.0,1691.0
20170404  01:30:00,2352.0,2352.0,2350.75,2351.25,4084.0
20170404  02:00:00,2351.25,2351.5,2349.25,2350.5,6374.0
20170404  02:30:00,2350.75,2350.75,2349.5,2350.0,3688.0
20170404  03:00:00,2350.0,2352.0,2348.75,2349.75,11802.0
20170404  03:30:00,2349.75,2349.75,2347.5,2349.25,10191.0
20170404  04:00:00,2349.0,2349.25,2347.25,2349.0,5822.0
20170404  04:30:00,2349.0,2350.25,2348.75,2348.75,4909.0
20170404  05:00:00,2348.75,2349.25,2347.75,2348.0,5172.0
20170404  05:30:00,2347.75,2349.25,2347.5,2349.25,4279.0
20170404  06:00:00,2349.25,2351.75,2349.0,2351.0,6021.0
20170404  06:30:00,2351.0,2351.5,2350.75,2351.25,5288.0
20170404  07:00:00,2351.0,2351.5,2348.0,2348.0,7960.0
20170404  07:30:00,2348.0,2348.5,2345.5,2346.5,16479.0
20170404  08:00:00,2346.5,2347.75,2344.75,2347.75,16480.0
20170404  08:30:00,2347.75,2348.25,2346.25,2348.25,13267.0
20170404  09:00:00,2348.25,2351.0,2348.25,2350.5,23704.0
20170404  09:30:00,2350.75,2354.5,2349.5,2351.75,158518.0
20170404  10:00:00,2351.75,2352.5,2346.5,2349.25,118510.0
20170404  10:30:00,2349.5,2352.5,2348.5,2349.75,96954.0
20170404  11:00:00,2349.75,2356.0,2349.25,2353.75,83217.0
20170404  11:30:00,2353.5,2356.25,2352.75,2354.25,56794.0
20170404  12:00:00,2354.5,2355.25,2352.75,2353.75,50253.0
20170404  12:30:00,2353.75,2354.5,2351.25,2352.0,51226.0
20170404  13:00:00,2352.0,2354.0,2350.5,2352.75,37528.0
20170404  13:30:00,2352.75,2354.5,2352.5,2353.75,23474.0
20170404  14:00:00,2353.75,2356.5,2353.5,2356.25,42514.0
20170404  14:30:00,2356.0,2356.5,2353.25,2353.5,44959.0
20170404  15:00:00,2353.5,2354.75,2352.0,2353.0,60294.0
20170404  15:30:00,2352.75,2357.0,2352.75,2356.25,129383.0
20170404  16:00:00,2356.25,2358.5,2356.0,2356.5,61575.0
20170404  16:30:00,2356.75,2357.75,2356.75,2357.75,1993.0
