Date,Open,High,Low,Close,Volume
20170504  09:30:00,160.575,163.5,160.575,161.7,1995.0
20170504  10:00:00,161.75,163.5,160.5,161.1,1360.0
20170504  10:30:00,161.15,161.225,159.125,159.3,1664.0
20170504  11:00:00,159.225,159.3,156.475,157.8,1566.0
20170504  11:30:00,157.8,158.8,157.7,158.525,767.0
20170504  12:00:00,158.5,158.55,156.2,157.2,1197.0
20170504  12:30:00,157.175,159.175,156.6,158.525,718.0
20170504  13:00:00,158.625,159.625,156.925,157.275,819.0
20170504  13:30:00,157.225,158.45,157.225,157.975,878.0
20170504  14:00:00,158.125,158.15,157.575,157.8,138.0
20170505  09:30:00,157.075,157.275,153.65,153.825,1934.0
20170505  10:00:00,153.8,154.9,153.425,154.2,957.0
20170505  10:30:00,154.3,154.7,153.55,153.55,340.0
20170505  11:00:00,153.675,154.3,153.425,153.425,561.0
20170505  11:30:00,153.425,153.425,153.425,153.425,70.0
20170505  12:00:00,153.425,153.425,153.425,153.425,51.0
20170505  12:30:00,153.425,153.425,153.425,153.425,8.0
20170505  13:00:00,153.425,153.425,153.425,153.425,18.0
20170505  13:30:00,153.425,153.425,153.425,153.425,3.0
