Date,Open,High,Low,Close,Volume
20170516  18:00:00,1237.2,1237.5,1236.3,1236.8,1982.0
20170516  18:30:00,1236.8,1238.1,1236.5,1238.0,1139.0
20170516  19:00:00,1238.0,1239.6,1237.3,1239.5,3741.0
20170516  19:30:00,1239.5,1244.5,1239.4,1243.3,11010.0
20170516  20:00:00,1243.4,1245.0,1241.7,1243.5,7672.0
20170516  20:30:00,1243.6,1244.6,1242.8,1242.9,3360.0
20170516  21:00:00,1243.0,1243.1,1241.4,1242.0,4989.0
20170516  21:30:00,1242.0,1242.7,1241.7,1242.3,1969.0
20170516  22:00:00,1242.3,1242.6,1242.1,1242.4,1153.0
20170516  22:30:00,1242.4,1244.0,1242.3,1243.8,3970.0
20170516  23:00:00,1243.7,1244.7,1243.3,1243.5,3200.0
20170516  23:30:00,1243.4,1243.9,1243.1,1243.7,3263.0
20170517  00:00:00,1243.8,1243.8,1243.1,1243.3,1584.0
20170517  00:30:00,1243.3,1243.4,1242.9,1243.4,1065.0
20170517  01:00:00,1243.3,1243.4,1240.9,1242.4,4920.0
20170517  01:30:00,1242.4,1244.0,1242.0,1242.9,4665.0
20170517  02:00:00,1242.9,1243.9,1242.7,1243.4,4057.0
20170517  02:30:00,1243.5,1244.4,1243.2,1243.3,4045.0
20170517  03:00:00,1243.3,1244.1,1242.0,1243.0,5577.0
20170517  03:30:00,1243.0,1243.8,1242.7,1242.9,3352.0
20170517  04:00:00,1242.8,1243.2,1242.4,1243.0,2452.0
20170517  04:30:00,1243.0,1243.7,1242.8,1243.3,2638.0
20170517  05:00:00,1243.3,1244.8,1243.2,1244.5,3423.0
20170517  05:30:00,1244.5,1245.9,1244.4,1245.7,4491.0
20170517  06:00:00,1245.7,1248.9,1245.7,1246.6,9812.0
20170517  06:30:00,1246.6,1246.8,1245.2,1245.4,4785.0
20170517  07:00:00,1245.4,1246.7,1245.2,1245.9,3313.0
20170517  07:30:00,1245.9,1247.7,1245.7,1247.6,3907.0
20170517  08:00:00,1247.7,1249.5,1247.4,1248.9,14769.0
20170517  08:30:00,1249.0,1251.9,1248.3,1251.6,16073.0
20170517  09:00:00,1251.6,1255.9,1251.3,1254.3,37007.0
20170517  09:30:00,1254.3,1258.6,1253.4,1258.1,27349.0
