Date,Open,High,Low,Close,Volume
20170830  18:00:00,3.088,3.089,3.087,3.0885,158.0
20170830  18:30:00,3.0885,3.0895,3.0875,3.088,93.0
20170830  19:00:00,3.0885,3.0885,3.087,3.088,53.0
20170830  19:30:00,3.088,3.0885,3.087,3.088,102.0
20170830  20:00:00,3.0875,3.0945,3.0875,3.092,681.0
20170830  20:30:00,3.0915,3.0975,3.091,3.0935,886.0
20170830  21:00:00,3.094,3.1045,3.093,3.1005,3242.0
20170830  21:30:00,3.101,3.1045,3.0995,3.1025,2541.0
20170830  22:00:00,3.102,3.1055,3.1015,3.1025,1000.0
20170830  22:30:00,3.103,3.1075,3.103,3.1065,1595.0
20170830  23:00:00,3.1065,3.1085,3.1045,3.1075,1289.0
20170830  23:30:00,3.107,3.1075,3.106,3.106,226.0
20170831  00:00:00,3.1065,3.1065,3.105,3.105,262.0
20170831  00:30:00,3.1055,3.106,3.1035,3.104,414.0
20170831  01:00:00,3.1035,3.105,3.1035,3.1045,291.0
20170831  01:30:00,3.1045,3.105,3.0995,3.1005,1836.0
20170831  02:00:00,3.1005,3.105,3.0975,3.103,2155.0
20170831  02:30:00,3.103,3.107,3.1,3.1035,3447.0
20170831  03:00:00,3.104,3.114,3.1015,3.11,1538.0
20170831  03:30:00,3.11,3.1355,3.1095,3.1165,7149.0
20170831  04:00:00,3.1165,3.118,3.111,3.1165,1361.0
20170831  04:30:00,3.116,3.1245,3.1135,3.1215,1396.0
20170831  05:00:00,3.122,3.124,3.1165,3.117,968.0
20170831  05:30:00,3.1175,3.12,3.117,3.1195,412.0
20170831  06:00:00,3.1195,3.124,3.118,3.1225,1147.0
20170831  06:30:00,3.122,3.1225,3.115,3.116,862.0
20170831  07:00:00,3.1165,3.117,3.1125,3.1135,640.0
20170831  07:30:00,3.1135,3.115,3.108,3.1115,2074.0
20170831  08:00:00,3.112,3.1125,3.107,3.108,1950.0
20170831  08:30:00,3.1075,3.112,3.106,3.107,2268.0
20170831  09:00:00,3.1065,3.1075,3.0915,3.0965,7628.0
20170831  09:30:00,3.096,3.1015,3.095,3.0995,4079.0
20170831  10:00:00,3.0995,3.1035,3.098,3.099,3099.0
