Date,Open,High,Low,Close,Volume
20170301  18:00:00,1.6267,1.6268,1.624,1.6241,132.0
20170301  18:30:00,1.6249,1.634,1.6249,1.6264,60.0
20170301  19:00:00,1.6264,1.6264,1.624,1.624,23.0
20170301  19:30:00,1.624,1.625,1.6235,1.6239,23.0
20170301  20:00:00,1.6234,1.6257,1.6234,1.6254,29.0
20170301  20:30:00,1.6255,1.6255,1.6245,1.6245,15.0
20170301  21:00:00,1.6245,1.6255,1.6245,1.6255,5.0
20170301  21:30:00,1.6251,1.6251,1.6233,1.6233,17.0
20170301  22:00:00,1.6237,1.624,1.6237,1.624,4.0
20170301  22:30:00,1.6241,1.6242,1.6208,1.6212,64.0
20170301  23:00:00,1.6204,1.6211,1.6184,1.6191,58.0
20170301  23:30:00,1.6192,1.6192,1.6172,1.6173,50.0
20170302  00:00:00,1.6168,1.6182,1.6168,1.6168,20.0
20170302  00:30:00,1.617,1.617,1.6155,1.6162,35.0
20170302  01:00:00,1.6156,1.6173,1.6155,1.6165,43.0
20170302  01:30:00,1.6172,1.6184,1.6172,1.6177,33.0
20170302  02:00:00,1.6178,1.6209,1.6159,1.6209,69.0
20170302  02:30:00,1.6206,1.6244,1.6193,1.6243,196.0
20170302  03:00:00,1.623,1.623,1.6182,1.6197,172.0
20170302  03:30:00,1.6201,1.6263,1.6187,1.6227,200.0
20170302  04:00:00,1.6227,1.6228,1.6101,1.6109,364.0
20170302  04:30:00,1.6104,1.6124,1.6082,1.6094,563.0
20170302  05:00:00,1.6087,1.6087,1.6037,1.6054,462.0
20170302  05:30:00,1.6053,1.6096,1.6049,1.6066,238.0
20170302  06:00:00,1.6069,1.6079,1.605,1.6068,156.0
20170302  06:30:00,1.6072,1.6077,1.6049,1.6077,134.0
20170302  07:00:00,1.6079,1.613,1.6076,1.6098,341.0
20170302  07:30:00,1.6099,1.6103,1.6047,1.6052,227.0
20170302  08:00:00,1.6054,1.6054,1.5953,1.5983,1806.0
20170302  08:30:00,1.598,1.6007,1.5955,1.5968,1391.0
20170302  09:00:00,1.5966,1.5969,1.5867,1.594,5448.0
20170302  09:30:00,1.5939,1.6076,1.593,1.5985,3643.0
20170302  10:00:00,1.5988,1.5988,1.5883,1.5884,3427.0
20170302  10:30:00,1.5885,1.5949,1.5878,1.5926,3372.0
20170302  11:00:00,1.5927,1.6002,1.5895,1.5897,3714.0
20170302  11:30:00,1.59,1.5942,1.588,1.5882,2666.0
20170302  12:00:00,1.588,1.5886,1.5807,1.5827,2470.0
20170302  12:30:00,1.5827,1.5915,1.5816,1.5912,2368.0
20170302  13:00:00,1.5913,1.5916,1.5875,1.5886,1100.0
20170302  13:30:00,1.5886,1.589,1.5837,1.5856,1816.0
20170302  14:00:00,1.5858,1.586,1.578,1.5792,5944.0
20170302  14:30:00,1.5791,1.5809,1.5782,1.5805,943.0
20170302  15:00:00,1.5807,1.5812,1.58,1.5807,228.0
20170302  15:30:00,1.5809,1.5834,1.58,1.5827,772.0
20170302  16:00:00,1.5823,1.5823,1.5793,1.5806,171.0
20170302  16:30:00,1.5806,1.5815,1.5798,1.58,113.0
20170302  18:00:00,1.575,1.5854,1.575,1.5813,271.0
20170302  18:30:00,1.5811,1.5811,1.5781,1.5785,134.0
20170302  19:00:00,1.5791,1.5797,1.578,1.5797,94.0
20170302  19:30:00,1.5797,1.5797,1.5797,1.5797,0.0
20170302  20:00:00,1.5799,1.5806,1.5788,1.5805,58.0
20170302  20:30:00,1.5805,1.5824,1.5803,1.5822,25.0
20170302  21:00:00,1.5833,1.5844,1.5831,1.5835,36.0
20170302  21:30:00,1.5833,1.5838,1.583,1.5833,13.0
20170302  22:00:00,1.5839,1.5841,1.582,1.5824,19.0
20170302  22:30:00,1.5832,1.5836,1.5796,1.5796,64.0
20170302  23:00:00,1.5804,1.5804,1.5772,1.5773,73.0
20170302  23:30:00,1.5771,1.579,1.5767,1.579,57.0
20170303  00:00:00,1.5797,1.5802,1.5796,1.5796,29.0
20170303  00:30:00,1.5787,1.5796,1.5787,1.5796,16.0
20170303  01:00:00,1.5795,1.5802,1.5788,1.5802,49.0
20170303  01:30:00,1.5809,1.5813,1.5809,1.5813,8.0
20170303  02:00:00,1.5811,1.5833,1.5801,1.5815,66.0
20170303  02:30:00,1.5816,1.583,1.5811,1.5823,83.0
20170303  03:00:00,1.5821,1.5843,1.58,1.584,262.0
20170303  03:30:00,1.5837,1.586,1.5818,1.5818,254.0
20170303  04:00:00,1.5816,1.5822,1.5792,1.5807,200.0
20170303  04:30:00,1.5807,1.5812,1.5741,1.5761,378.0
20170303  05:00:00,1.5762,1.5788,1.5756,1.5772,183.0
20170303  05:30:00,1.5773,1.581,1.5772,1.5793,204.0
20170303  06:00:00,1.5793,1.5794,1.577,1.5793,130.0
20170303  06:30:00,1.5793,1.5806,1.578,1.5781,231.0
20170303  07:00:00,1.5783,1.5796,1.5772,1.5785,215.0
20170303  07:30:00,1.5785,1.5796,1.5754,1.5768,260.0
20170303  08:00:00,1.5768,1.5854,1.5762,1.5834,810.0
20170303  08:30:00,1.5832,1.5855,1.5814,1.5814,903.0
