Date,Open,High,Low,Close,Volume
20161117  18:00:00,0.009082,0.009092,0.009076,0.009078,3140.0
20161117  18:30:00,0.00908,0.009084,0.009071,0.009077,1591.0
20161117  19:00:00,0.009078,0.0091,0.009078,0.009086,4305.0
20161117  19:30:00,0.009085,0.00909,0.009077,0.009089,2853.0
20161117  20:00:00,0.009089,0.009092,0.009058,0.009059,5718.0
20161117  20:30:00,0.009058,0.009063,0.009049,0.009052,7516.0
20161117  21:00:00,0.009053,0.009069,0.009042,0.009046,5044.0
20161117  21:30:00,0.009046,0.009053,0.009032,0.00904,3422.0
20161117  22:00:00,0.00904,0.009053,0.009037,0.009043,2570.0
20161117  22:30:00,0.009042,0.009054,0.009042,0.009054,1582.0
20161117  23:00:00,0.009053,0.009058,0.009047,0.009048,1745.0
20161117  23:30:00,0.009047,0.009055,0.009042,0.009053,2562.0
20161118  00:00:00,0.009054,0.009054,0.009046,0.009047,994.0
20161118  00:30:00,0.009047,0.009047,0.009038,0.009045,1565.0
20161118  01:00:00,0.009044,0.009055,0.009039,0.00904,3453.0
20161118  01:30:00,0.00904,0.00905,0.009038,0.009044,1806.0
20161118  02:00:00,0.009043,0.009051,0.009026,0.009027,5801.0
20161118  02:30:00,0.009027,0.00904,0.009023,0.00904,3844.0
20161118  03:00:00,0.009041,0.009051,0.009034,0.009038,4645.0
20161118  03:30:00,0.009038,0.009059,0.009032,0.009058,3386.0
20161118  04:00:00,0.009058,0.009064,0.009047,0.009049,3012.0
20161118  04:30:00,0.00905,0.00905,0.009042,0.009045,2278.0
20161118  05:00:00,0.009045,0.009056,0.009041,0.009055,1751.0
20161118  05:30:00,0.009055,0.009077,0.009052,0.00907,3061.0
20161118  06:00:00,0.00907,0.009074,0.009062,0.009065,2382.0
20161118  06:30:00,0.009065,0.009092,0.009065,0.009086,3196.0
20161118  07:00:00,0.009087,0.009096,0.009074,0.00909,4718.0
20161118  07:30:00,0.00909,0.009116,0.009081,0.009091,8271.0
20161118  08:00:00,0.009091,0.009108,0.009088,0.009104,5771.0
20161118  08:30:00,0.009104,0.009104,0.009074,0.009076,5495.0
20161118  09:00:00,0.009076,0.009088,0.009068,0.00908,4746.0
20161118  09:30:00,0.009079,0.009092,0.009066,0.009068,6959.0
20161118  10:00:00,0.009068,0.009073,0.009052,0.009059,5483.0
20161118  10:30:00,0.009059,0.009062,0.009038,0.009045,9649.0
20161118  11:00:00,0.009044,0.009052,0.009028,0.009038,8546.0
20161118  11:30:00,0.009038,0.009058,0.009038,0.009057,4046.0
20161118  12:00:00,0.009058,0.009063,0.00905,0.009051,3947.0
20161118  12:30:00,0.009051,0.009054,0.009035,0.009035,2968.0
20161118  13:00:00,0.009035,0.009054,0.009035,0.009048,2972.0
20161118  13:30:00,0.009047,0.009049,0.009038,0.009041,2132.0
20161118  14:00:00,0.009041,0.00905,0.009039,0.009047,1187.0
20161118  14:30:00,0.009047,0.00905,0.009042,0.009047,2520.0
20161118  15:00:00,0.009047,0.009049,0.009038,0.009038,2094.0
20161118  15:30:00,0.009038,0.009038,0.009024,0.009031,2532.0
20161118  16:00:00,0.009031,0.009032,0.009023,0.009027,758.0
20161118  16:30:00,0.009026,0.009029,0.009018,0.009027,1431.0
20161120  18:00:00,0.0090225,0.009026,0.008998,0.009009,2584.0
20161120  18:30:00,0.0090095,0.009021,0.0090075,0.0090195,2091.0
20161120  19:00:00,0.00902,0.0090345,0.0090145,0.009032,5310.0
20161120  19:30:00,0.009032,0.009038,0.00902,0.009023,4266.0
20161120  20:00:00,0.009023,0.009034,0.009021,0.009031,2549.0
20161120  20:30:00,0.0090305,0.009045,0.0090305,0.009032,4388.0
20161120  21:00:00,0.0090325,0.009033,0.0090245,0.0090295,1316.0
20161120  21:30:00,0.0090305,0.0090345,0.009014,0.00902,2201.0
20161120  22:00:00,0.009019,0.0090225,0.0090085,0.009015,2589.0
20161120  22:30:00,0.0090155,0.009017,0.0090015,0.0090085,3385.0
20161120  23:00:00,0.009008,0.009014,0.0090035,0.009011,1741.0
20161120  23:30:00,0.0090115,0.0090145,0.0090085,0.009012,771.0
20161121  00:00:00,0.009012,0.0090135,0.009006,0.009007,908.0
20161121  00:30:00,0.0090075,0.009021,0.0090055,0.0090085,2429.0
20161121  01:00:00,0.009009,0.0090155,0.0090025,0.0090115,1515.0
20161121  01:30:00,0.0090125,0.0090255,0.0090095,0.009012,1696.0
20161121  02:00:00,0.009012,0.0090205,0.0090035,0.0090195,2725.0
20161121  02:30:00,0.009019,0.00903,0.0090165,0.0090235,4106.0
20161121  03:00:00,0.009024,0.0090325,0.0090185,0.009031,3281.0
20161121  03:30:00,0.0090305,0.0090435,0.009024,0.0090425,3019.0
20161121  04:00:00,0.009043,0.0090535,0.0090395,0.0090415,3921.0
20161121  04:30:00,0.009041,0.009042,0.009031,0.0090325,1781.0
20161121  05:00:00,0.0090325,0.0090385,0.009027,0.009029,2575.0
20161121  05:30:00,0.009029,0.0090435,0.0090265,0.0090385,1880.0
20161121  06:00:00,0.0090385,0.009041,0.009033,0.009039,1618.0
20161121  06:30:00,0.0090385,0.0090595,0.0090385,0.009053,3454.0
20161121  07:00:00,0.009053,0.009059,0.009043,0.0090445,2210.0
20161121  07:30:00,0.0090445,0.009056,0.009043,0.0090475,2331.0
20161121  08:00:00,0.0090475,0.009056,0.0090205,0.009031,6634.0
20161121  08:30:00,0.009031,0.0090435,0.00903,0.009038,3908.0
20161121  09:00:00,0.0090375,0.0090375,0.009019,0.009028,4358.0
20161121  09:30:00,0.009027,0.009032,0.0090105,0.009016,6814.0
20161121  10:00:00,0.0090155,0.009041,0.0090145,0.0090375,6474.0
