Date,Open,High,Low,Close,Volume
20170901  09:30:00,61.3,61.85,61.2,61.5,2729.0
20170901  10:00:00,61.5,61.85,61.175,61.6,1976.0
20170901  10:30:00,61.575,61.9,61.55,61.625,907.0
20170901  11:00:00,61.625,61.9,61.5,61.6,812.0
20170901  11:30:00,61.6,62.1,61.425,62.075,1411.0
20170901  12:00:00,62.1,62.475,62.05,62.4,1304.0
20170901  12:30:00,62.425,62.575,62.05,62.05,1299.0
20170901  13:00:00,62.05,62.125,61.925,61.95,641.0
20170901  13:30:00,61.95,62.025,61.375,61.45,3328.0
20170901  14:00:00,61.425,61.5,61.35,61.375,607.0
20170905  09:30:00,62.075,63.675,61.875,63.375,6177.0
20170905  10:00:00,63.375,63.75,63.2,63.675,2260.0
20170905  10:30:00,63.675,64.0,63.65,63.775,2205.0
20170905  11:00:00,63.775,64.25,63.725,63.975,1877.0
20170905  11:30:00,64.0,64.15,63.75,64.075,1487.0
20170905  12:00:00,64.1,64.45,63.95,64.1,3318.0
20170905  12:30:00,64.1,64.2,64.075,64.2,650.0
20170905  13:00:00,64.2,64.225,63.7,63.775,1352.0
20170905  13:30:00,63.775,64.075,63.65,63.675,1253.0
