Date,Open,High,Low,Close,Volume
20170625  18:00:00,0.05481,0.05488,0.05481,0.05488,53.0
20170625  18:30:00,0.05488,0.05488,0.05481,0.05481,43.0
20170625  19:00:00,0.05481,0.05481,0.05481,0.05481,1.0
20170625  19:30:00,0.05482,0.05486,0.05482,0.05483,68.0
20170625  20:00:00,0.05483,0.05483,0.05481,0.05481,153.0
20170625  20:30:00,0.05481,0.05487,0.05481,0.05486,52.0
20170625  21:00:00,0.05486,0.05487,0.05486,0.05486,9.0
20170625  21:30:00,0.05486,0.05487,0.05485,0.05487,103.0
20170625  22:00:00,0.05487,0.05492,0.05487,0.05491,94.0
20170625  22:30:00,0.05491,0.05491,0.05489,0.05489,25.0
20170625  23:00:00,0.05489,0.05491,0.05489,0.05489,39.0
20170625  23:30:00,0.05489,0.0549,0.05488,0.0549,14.0
20170626  00:00:00,0.05489,0.0549,0.05489,0.0549,6.0
20170626  00:30:00,0.05491,0.05491,0.0549,0.05491,15.0
20170626  01:00:00,0.0549,0.05491,0.0549,0.05491,13.0
20170626  01:30:00,0.05491,0.05495,0.0549,0.05492,95.0
20170626  02:00:00,0.05492,0.05497,0.05492,0.05495,143.0
20170626  02:30:00,0.05495,0.05502,0.05495,0.05499,313.0
20170626  03:00:00,0.055,0.05508,0.05499,0.05508,879.0
20170626  03:30:00,0.05509,0.0551,0.05505,0.05505,287.0
20170626  04:00:00,0.05506,0.05514,0.05504,0.05506,462.0
20170626  04:30:00,0.05506,0.05507,0.05502,0.05506,359.0
20170626  05:00:00,0.05507,0.0551,0.05503,0.05505,330.0
20170626  05:30:00,0.05505,0.05506,0.05499,0.05499,310.0
20170626  06:00:00,0.055,0.05505,0.05499,0.055,274.0
20170626  06:30:00,0.05501,0.05504,0.05499,0.05502,227.0
20170626  07:00:00,0.055,0.055,0.05495,0.05498,284.0
20170626  07:30:00,0.05498,0.05505,0.05498,0.05504,604.0
20170626  08:00:00,0.05505,0.05511,0.05505,0.05508,1394.0
20170626  08:30:00,0.05508,0.05542,0.05508,0.05537,6755.0
20170626  09:00:00,0.05537,0.0554,0.05531,0.05532,2250.0
20170626  09:30:00,0.05531,0.05534,0.05527,0.0553,2036.0
20170626  10:00:00,0.0553,0.05531,0.05521,0.05523,1690.0
20170626  10:30:00,0.05523,0.05527,0.05513,0.05526,3151.0
20170626  11:00:00,0.05526,0.05528,0.05522,0.05525,2356.0
20170626  11:30:00,0.05524,0.05525,0.0552,0.05521,1583.0
