Date,Open,High,Low,Close,Volume
20161107  18:00:00,0.7335,0.7337,0.7323,0.7323,221.0
20161107  18:30:00,0.7324,0.7326,0.7323,0.7325,37.0
20161107  19:00:00,0.7327,0.7331,0.732,0.7321,216.0
20161107  19:30:00,0.7321,0.7325,0.7318,0.7321,118.0
20161107  20:00:00,0.7321,0.7321,0.7316,0.7317,116.0
20161107  20:30:00,0.7317,0.732,0.7313,0.7318,185.0
20161107  21:00:00,0.7318,0.7319,0.7312,0.7313,107.0
20161107  21:30:00,0.7313,0.7314,0.7307,0.731,338.0
20161107  22:00:00,0.731,0.7316,0.7308,0.7316,117.0
20161107  22:30:00,0.7317,0.7318,0.7313,0.7314,158.0
20161107  23:00:00,0.7314,0.7319,0.7313,0.7318,135.0
20161107  23:30:00,0.7317,0.7318,0.7316,0.7316,35.0
20161108  00:00:00,0.7316,0.7323,0.7316,0.7321,74.0
20161108  00:30:00,0.732,0.7325,0.7319,0.7319,165.0
20161108  01:00:00,0.7318,0.7324,0.7316,0.7319,298.0
20161108  01:30:00,0.7318,0.7319,0.7317,0.7318,92.0
20161108  02:00:00,0.7318,0.7319,0.7314,0.7319,311.0
20161108  02:30:00,0.732,0.7326,0.7317,0.7325,418.0
20161108  03:00:00,0.7326,0.733,0.7325,0.7329,540.0
20161108  03:30:00,0.7329,0.733,0.7324,0.7326,342.0
20161108  04:00:00,0.7326,0.733,0.7326,0.7329,282.0
20161108  04:30:00,0.7329,0.7335,0.7328,0.7329,345.0
20161108  05:00:00,0.733,0.733,0.7324,0.7326,354.0
20161108  05:30:00,0.7326,0.7327,0.7323,0.7323,131.0
20161108  06:00:00,0.7322,0.7323,0.7313,0.7313,537.0
20161108  06:30:00,0.7314,0.7317,0.7311,0.7314,197.0
20161108  07:00:00,0.7313,0.7315,0.7311,0.7315,228.0
20161108  07:30:00,0.7315,0.7317,0.7314,0.7316,132.0
20161108  08:00:00,0.7315,0.7323,0.7315,0.7321,275.0
20161108  08:30:00,0.732,0.7328,0.732,0.7327,338.0
20161108  09:00:00,0.7326,0.7328,0.7324,0.7327,299.0
20161108  09:30:00,0.7325,0.7327,0.732,0.7326,586.0
20161108  10:00:00,0.7326,0.7337,0.7326,0.7337,865.0
20161108  10:30:00,0.7337,0.7357,0.7337,0.7354,2947.0
20161108  11:00:00,0.7354,0.7354,0.7341,0.7347,1362.0
20161108  11:30:00,0.7346,0.7354,0.7343,0.7344,673.0
20161108  12:00:00,0.7343,0.7346,0.7341,0.7342,381.0
20161108  12:30:00,0.7342,0.7351,0.734,0.7351,341.0
20161108  13:00:00,0.735,0.7351,0.7342,0.7346,567.0
20161108  13:30:00,0.7347,0.7365,0.7347,0.736,1116.0
20161108  14:00:00,0.736,0.736,0.7357,0.736,680.0
20161108  14:30:00,0.7359,0.7376,0.7359,0.7372,969.0
20161108  15:00:00,0.7372,0.7389,0.7372,0.7389,1216.0
20161108  15:30:00,0.7389,0.7395,0.7386,0.7388,808.0
20161108  16:00:00,0.7388,0.7392,0.7386,0.7389,187.0
20161108  16:30:00,0.7388,0.7388,0.7372,0.7377,262.0
20161108  18:00:00,0.7354,0.736,0.7353,0.7356,230.0
20161108  18:30:00,0.7357,0.7362,0.7355,0.736,191.0
20161108  19:00:00,0.7361,0.738,0.7361,0.7371,436.0
20161108  19:30:00,0.737,0.7384,0.7357,0.7371,760.0
20161108  20:00:00,0.737,0.7376,0.7362,0.7365,523.0
20161108  20:30:00,0.7362,0.7371,0.7362,0.7365,386.0
20161108  21:00:00,0.7367,0.7379,0.733,0.7353,2251.0
20161108  21:30:00,0.7354,0.7371,0.7342,0.7363,1244.0
20161108  22:00:00,0.7362,0.7365,0.7322,0.7324,1915.0
20161108  22:30:00,0.7324,0.7354,0.7324,0.7332,935.0
20161108  23:00:00,0.7332,0.7337,0.7306,0.7319,1588.0
20161108  23:30:00,0.7321,0.7338,0.7263,0.7287,3128.0
20161109  00:00:00,0.7289,0.732,0.7269,0.7319,1482.0
20161109  00:30:00,0.7318,0.732,0.7288,0.7298,1920.0
20161109  01:00:00,0.7298,0.7332,0.7296,0.7302,1335.0
20161109  01:30:00,0.7302,0.7308,0.7286,0.73,830.0
20161109  02:00:00,0.7299,0.7318,0.7298,0.7302,1917.0
20161109  02:30:00,0.7302,0.7324,0.7301,0.7306,1226.0
20161109  03:00:00,0.7306,0.7315,0.7286,0.7295,1401.0
20161109  03:30:00,0.7293,0.7301,0.7278,0.7295,1444.0
20161109  04:00:00,0.7295,0.7301,0.7283,0.7283,606.0
20161109  04:30:00,0.7283,0.729,0.7269,0.7275,1140.0
20161109  05:00:00,0.7276,0.729,0.7272,0.7288,789.0
20161109  05:30:00,0.7288,0.7296,0.7285,0.7293,464.0
20161109  06:00:00,0.7295,0.731,0.7294,0.7306,775.0
20161109  06:30:00,0.7305,0.7314,0.7303,0.7311,393.0
20161109  07:00:00,0.7311,0.7312,0.7294,0.7297,586.0
20161109  07:30:00,0.7298,0.7312,0.7293,0.7306,587.0
20161109  08:00:00,0.7306,0.7309,0.7302,0.7304,488.0
