Date,Open,High,Low,Close,Volume
20171120  18:00:00,3.126,3.134,3.125,3.134,162.0
20171120  18:30:00,3.135,3.136,3.129,3.131,132.0
20171120  19:00:00,3.131,3.135,3.131,3.135,85.0
20171120  19:30:00,3.135,3.135,3.13,3.133,108.0
20171120  20:00:00,3.133,3.134,3.129,3.13,63.0
20171120  20:30:00,3.131,3.133,3.131,3.131,21.0
20171120  21:00:00,3.132,3.134,3.131,3.132,65.0
20171120  21:30:00,3.133,3.134,3.126,3.126,110.0
20171120  22:00:00,3.126,3.131,3.125,3.13,87.0
20171120  22:30:00,3.13,3.134,3.13,3.131,38.0
20171120  23:00:00,3.131,3.134,3.13,3.131,57.0
20171120  23:30:00,3.132,3.135,3.127,3.129,71.0
20171121  00:00:00,3.128,3.129,3.125,3.128,118.0
20171121  00:30:00,3.129,3.129,3.126,3.126,55.0
20171121  01:00:00,3.127,3.129,3.116,3.119,286.0
20171121  01:30:00,3.119,3.12,3.113,3.116,294.0
20171121  02:00:00,3.117,3.118,3.112,3.116,120.0
20171121  02:30:00,3.117,3.126,3.115,3.122,211.0
20171121  03:00:00,3.122,3.125,3.118,3.12,233.0
20171121  03:30:00,3.12,3.12,3.112,3.114,337.0
20171121  04:00:00,3.113,3.115,3.11,3.11,425.0
20171121  04:30:00,3.11,3.113,3.109,3.11,195.0
20171121  05:00:00,3.111,3.114,3.109,3.111,194.0
20171121  05:30:00,3.112,3.117,3.111,3.114,212.0
20171121  06:00:00,3.114,3.12,3.109,3.113,279.0
20171121  06:30:00,3.113,3.127,3.112,3.122,259.0
20171121  07:00:00,3.123,3.133,3.12,3.132,770.0
20171121  07:30:00,3.132,3.134,3.121,3.123,515.0
20171121  08:00:00,3.124,3.135,3.124,3.132,1213.0
20171121  08:30:00,3.13,3.13,3.118,3.126,1529.0
20171121  09:00:00,3.127,3.139,3.118,3.137,4673.0
20171121  09:30:00,3.138,3.157,3.137,3.15,5641.0
20171121  10:00:00,3.15,3.153,3.142,3.145,2634.0
20171121  10:30:00,3.144,3.149,3.134,3.146,2615.0
20171121  11:00:00,3.146,3.154,3.139,3.139,1712.0
20171121  11:30:00,3.139,3.149,3.128,3.132,3199.0
20171121  12:00:00,3.131,3.132,3.121,3.125,4258.0
20171121  12:30:00,3.124,3.13,3.12,3.126,2200.0
20171121  13:00:00,3.126,3.128,3.107,3.11,3355.0
20171121  13:30:00,3.11,3.117,3.107,3.114,2617.0
20171121  14:00:00,3.113,3.115,3.107,3.108,6284.0
20171121  14:30:00,3.107,3.117,3.106,3.107,2013.0
20171121  15:00:00,3.108,3.115,3.106,3.109,1252.0
20171121  15:30:00,3.109,3.113,3.108,3.111,670.0
20171121  16:00:00,3.111,3.116,3.11,3.115,250.0
20171121  16:30:00,3.114,3.115,3.108,3.111,272.0
20171121  18:00:00,3.11,3.111,3.101,3.109,191.0
20171121  18:30:00,3.11,3.112,3.11,3.112,92.0
20171121  19:00:00,3.111,3.111,3.108,3.108,132.0
20171121  19:30:00,3.108,3.109,3.105,3.108,257.0
20171121  20:00:00,3.107,3.11,3.106,3.108,92.0
20171121  20:30:00,3.108,3.112,3.108,3.112,39.0
20171121  21:00:00,3.112,3.114,3.111,3.112,107.0
20171121  21:30:00,3.112,3.119,3.112,3.117,169.0
20171121  22:00:00,3.119,3.119,3.113,3.114,90.0
20171121  22:30:00,3.113,3.117,3.113,3.116,61.0
20171121  23:00:00,3.117,3.118,3.115,3.118,152.0
20171121  23:30:00,3.118,3.12,3.115,3.117,141.0
20171122  00:00:00,3.117,3.119,3.116,3.119,117.0
20171122  00:30:00,3.118,3.119,3.11,3.118,342.0
20171122  01:00:00,3.117,3.117,3.114,3.116,150.0
20171122  01:30:00,3.116,3.116,3.113,3.113,116.0
20171122  02:00:00,3.113,3.116,3.113,3.115,46.0
20171122  02:30:00,3.114,3.115,3.103,3.104,524.0
20171122  03:00:00,3.105,3.105,3.093,3.1,1662.0
20171122  03:30:00,3.1,3.104,3.098,3.099,233.0
20171122  04:00:00,3.1,3.111,3.097,3.107,364.0
20171122  04:30:00,3.107,3.109,3.105,3.106,207.0
20171122  05:00:00,3.107,3.113,3.105,3.113,268.0
20171122  05:30:00,3.113,3.113,3.104,3.104,400.0
20171122  06:00:00,3.104,3.109,3.096,3.098,605.0
20171122  06:30:00,3.098,3.099,3.088,3.09,1981.0
20171122  07:00:00,3.09,3.095,3.087,3.088,1064.0
20171122  07:30:00,3.087,3.091,3.079,3.084,2559.0
20171122  08:00:00,3.083,3.092,3.083,3.089,2018.0
20171122  08:30:00,3.089,3.093,3.079,3.082,2765.0
20171122  09:00:00,3.082,3.082,3.058,3.066,9666.0
20171122  09:30:00,3.066,3.07,3.061,3.065,6263.0
20171122  10:00:00,3.065,3.068,3.06,3.062,5184.0
20171122  10:30:00,3.062,3.063,3.053,3.057,6773.0
20171122  11:00:00,3.058,3.071,3.052,3.066,7339.0
20171122  11:30:00,3.067,3.07,3.06,3.065,5439.0
20171122  12:00:00,3.065,3.082,3.053,3.078,10628.0
20171122  12:30:00,3.078,3.086,3.075,3.081,3682.0
20171122  13:00:00,3.081,3.088,3.07,3.071,4617.0
20171122  13:30:00,3.072,3.076,3.067,3.069,2847.0
20171122  14:00:00,3.07,3.07,3.058,3.06,7962.0
20171122  14:30:00,3.06,3.064,3.058,3.059,3324.0
20171122  15:00:00,3.058,3.061,3.057,3.06,1095.0
20171122  15:30:00,3.059,3.063,3.058,3.061,1032.0
20171122  16:00:00,3.062,3.062,3.055,3.057,361.0
20171122  16:30:00,3.057,3.057,3.055,3.055,26.0
