Date,Open,High,Low,Close,Volume
20170628  18:00:00,20240.0,20260.0,20225.0,20260.0,335.0
20170628  18:30:00,20260.0,20270.0,20250.0,20260.0,319.0
20170628  19:00:00,20265.0,20280.0,20260.0,20260.0,716.0
20170628  19:30:00,20260.0,20265.0,20240.0,20255.0,536.0
20170628  20:00:00,20255.0,20270.0,20220.0,20225.0,871.0
20170628  20:30:00,20225.0,20245.0,20200.0,20210.0,559.0
20170628  21:00:00,20210.0,20215.0,20180.0,20200.0,329.0
20170628  21:30:00,20200.0,20230.0,20190.0,20225.0,357.0
20170628  22:00:00,20230.0,20240.0,20220.0,20225.0,349.0
20170628  22:30:00,20225.0,20240.0,20225.0,20230.0,350.0
20170628  23:00:00,20230.0,20235.0,20230.0,20230.0,43.0
20170628  23:30:00,20230.0,20245.0,20225.0,20225.0,433.0
20170629  00:00:00,20230.0,20230.0,20220.0,20225.0,182.0
20170629  00:30:00,20225.0,20225.0,20200.0,20205.0,453.0
20170629  01:00:00,20205.0,20215.0,20190.0,20210.0,572.0
20170629  01:30:00,20205.0,20220.0,20200.0,20205.0,475.0
20170629  02:00:00,20210.0,20225.0,20205.0,20220.0,1057.0
20170629  02:30:00,20225.0,20225.0,20205.0,20210.0,259.0
20170629  03:00:00,20210.0,20235.0,20210.0,20210.0,1108.0
20170629  03:30:00,20215.0,20230.0,20210.0,20225.0,2018.0
20170629  04:00:00,20225.0,20230.0,20225.0,20225.0,1099.0
20170629  04:30:00,20230.0,20235.0,20225.0,20235.0,551.0
20170629  05:00:00,20235.0,20235.0,20220.0,20220.0,557.0
20170629  05:30:00,20215.0,20220.0,20210.0,20210.0,660.0
20170629  06:00:00,20210.0,20220.0,20205.0,20220.0,962.0
20170629  06:30:00,20220.0,20220.0,20210.0,20220.0,364.0
20170629  07:00:00,20220.0,20245.0,20220.0,20235.0,1435.0
20170629  07:30:00,20235.0,20250.0,20235.0,20245.0,520.0
20170629  08:00:00,20245.0,20245.0,20225.0,20230.0,978.0
20170629  08:30:00,20230.0,20245.0,20225.0,20240.0,1981.0
20170629  09:00:00,20240.0,20245.0,20230.0,20240.0,1158.0
20170629  09:30:00,20240.0,20240.0,20175.0,20180.0,5201.0
20170629  10:00:00,20180.0,20185.0,20125.0,20145.0,6921.0
20170629  10:30:00,20145.0,20175.0,20135.0,20140.0,4274.0
20170629  11:00:00,20140.0,20140.0,20090.0,20095.0,5292.0
20170629  11:30:00,20095.0,20095.0,20025.0,20025.0,5550.0
20170629  12:00:00,20030.0,20030.0,20005.0,20010.0,3999.0
20170629  12:30:00,20010.0,20015.0,19915.0,19930.0,3776.0
20170629  13:00:00,19930.0,19950.0,19860.0,19870.0,3383.0
20170629  13:30:00,19870.0,19930.0,19860.0,19920.0,2787.0
20170629  14:00:00,19915.0,19970.0,19900.0,19970.0,2485.0
20170629  14:30:00,19965.0,19965.0,19940.0,19965.0,830.0
20170629  15:00:00,19965.0,19980.0,19950.0,19960.0,1867.0
20170629  15:30:00,19960.0,19975.0,19940.0,19965.0,3525.0
20170629  16:00:00,19970.0,19985.0,19960.0,19980.0,771.0
20170629  16:30:00,19985.0,20000.0,19980.0,19990.0,82.0
20170629  18:00:00,20015.0,20015.0,19985.0,19985.0,157.0
20170629  18:30:00,19990.0,19990.0,19955.0,19960.0,131.0
20170629  19:00:00,19960.0,19985.0,19960.0,19970.0,391.0
20170629  19:30:00,19970.0,20015.0,19950.0,20015.0,956.0
20170629  20:00:00,20020.0,20030.0,19970.0,19990.0,1007.0
20170629  20:30:00,19985.0,19990.0,19935.0,19960.0,558.0
20170629  21:00:00,19960.0,19980.0,19935.0,19955.0,481.0
20170629  21:30:00,19955.0,20010.0,19955.0,20010.0,560.0
20170629  22:00:00,20010.0,20010.0,19960.0,19985.0,460.0
20170629  22:30:00,19985.0,19990.0,19970.0,19985.0,130.0
20170629  23:00:00,19980.0,19990.0,19975.0,19980.0,157.0
20170629  23:30:00,19980.0,19995.0,19965.0,19965.0,610.0
20170630  00:00:00,19970.0,19970.0,19935.0,19955.0,566.0
20170630  00:30:00,19960.0,19975.0,19955.0,19965.0,391.0
20170630  01:00:00,19970.0,19970.0,19950.0,19955.0,415.0
20170630  01:30:00,19955.0,20020.0,19955.0,20020.0,1124.0
20170630  02:00:00,20015.0,20030.0,19975.0,20000.0,2090.0
20170630  02:30:00,20000.0,20010.0,20000.0,20005.0,597.0
20170630  03:00:00,20000.0,20005.0,19955.0,19985.0,2715.0
20170630  03:30:00,19985.0,20010.0,19980.0,20000.0,2673.0
20170630  04:00:00,20000.0,20005.0,19985.0,19990.0,1503.0
20170630  04:30:00,19995.0,20000.0,19980.0,20000.0,763.0
20170630  05:00:00,20000.0,20020.0,19990.0,20020.0,1349.0
20170630  05:30:00,20020.0,20035.0,20020.0,20030.0,1268.0
20170630  06:00:00,20030.0,20065.0,20030.0,20065.0,1752.0
20170630  06:30:00,20060.0,20065.0,20050.0,20055.0,563.0
20170630  07:00:00,20055.0,20060.0,20050.0,20055.0,469.0
20170630  07:30:00,20050.0,20055.0,20045.0,20050.0,381.0
20170630  08:00:00,20045.0,20050.0,20035.0,20040.0,965.0
20170630  08:30:00,20040.0,20060.0,20030.0,20040.0,1475.0
20170630  09:00:00,20040.0,20050.0,20030.0,20045.0,821.0
20170630  09:30:00,20050.0,20060.0,20040.0,20045.0,1957.0
20170630  10:00:00,20040.0,20045.0,20000.0,20025.0,2879.0
20170630  10:30:00,20025.0,20040.0,20015.0,20030.0,1858.0
20170630  11:00:00,20030.0,20040.0,20005.0,20010.0,2443.0
20170630  11:30:00,20015.0,20035.0,20005.0,20035.0,1338.0
20170630  12:00:00,20030.0,20035.0,20025.0,20025.0,557.0
20170630  12:30:00,20025.0,20040.0,20020.0,20030.0,664.0
20170630  13:00:00,20035.0,20040.0,20035.0,20040.0,363.0
20170630  13:30:00,20040.0,20040.0,20035.0,20040.0,329.0
20170630  14:00:00,20040.0,20065.0,20040.0,20055.0,383.0
20170630  14:30:00,20060.0,20065.0,20055.0,20065.0,708.0
20170630  15:00:00,20065.0,20065.0,20045.0,20055.0,323.0
20170630  15:30:00,20060.0,20090.0,20050.0,20080.0,2653.0
20170630  16:00:00,20085.0,20085.0,20060.0,20080.0,1222.0
20170630  16:30:00,20080.0,20080.0,20075.0,20075.0,11.0
