Date,Open,High,Low,Close,Volume
20161113  18:00:00,1.3031,1.3059,1.295,1.3059,53.0
20161113  18:30:00,1.3054,1.3058,1.3054,1.3058,3.0
20161113  19:00:00,1.3058,1.3075,1.3058,1.3075,6.0
20161113  19:30:00,1.3069,1.3074,1.3064,1.3074,3.0
20161113  20:00:00,1.3073,1.308,1.305,1.3061,24.0
20161113  20:30:00,1.3062,1.3062,1.3021,1.3021,9.0
20161113  21:00:00,1.3009,1.3022,1.3007,1.3015,16.0
20161113  21:30:00,1.303,1.3035,1.3021,1.3034,12.0
20161113  22:00:00,1.3041,1.3041,1.3023,1.3026,6.0
20161113  22:30:00,1.3007,1.3028,1.3007,1.3027,10.0
20161113  23:00:00,1.3038,1.3038,1.3038,1.3038,1.0
20161113  23:30:00,1.304,1.3051,1.304,1.3051,5.0
20161114  00:00:00,1.3051,1.3051,1.3051,1.3051,0.0
20161114  00:30:00,1.303,1.303,1.303,1.303,1.0
20161114  01:00:00,1.3035,1.3038,1.3022,1.3028,24.0
20161114  01:30:00,1.302,1.302,1.3009,1.3009,3.0
20161114  02:00:00,1.2998,1.3038,1.2989,1.3033,13.0
20161114  02:30:00,1.3036,1.3059,1.3033,1.3059,32.0
20161114  03:00:00,1.3052,1.3059,1.304,1.3041,90.0
20161114  03:30:00,1.3041,1.305,1.2948,1.2992,331.0
20161114  04:00:00,1.2996,1.304,1.2996,1.304,97.0
20161114  04:30:00,1.303,1.3035,1.301,1.301,28.0
20161114  05:00:00,1.3005,1.3036,1.3,1.3003,58.0
20161114  05:30:00,1.3008,1.3033,1.2996,1.303,150.0
20161114  06:00:00,1.3032,1.305,1.2919,1.296,196.0
20161114  06:30:00,1.2955,1.2961,1.2899,1.2933,63.0
20161114  07:00:00,1.2937,1.3005,1.2936,1.2998,344.0
20161114  07:30:00,1.3005,1.3009,1.2965,1.2984,178.0
20161114  08:00:00,1.299,1.2995,1.2925,1.2982,501.0
20161114  08:30:00,1.2984,1.3046,1.2977,1.3043,860.0
20161114  09:00:00,1.3041,1.3054,1.2996,1.3011,1068.0
20161114  09:30:00,1.301,1.3037,1.2911,1.2927,1156.0
20161114  10:00:00,1.2926,1.2974,1.2905,1.2916,989.0
20161114  10:30:00,1.2914,1.2924,1.2844,1.2875,1328.0
20161114  11:00:00,1.2867,1.2877,1.2824,1.2828,636.0
20161114  11:30:00,1.2827,1.2839,1.2752,1.2768,943.0
20161114  12:00:00,1.2766,1.2779,1.2749,1.2773,879.0
20161114  12:30:00,1.2772,1.2782,1.273,1.2755,620.0
20161114  13:00:00,1.2758,1.285,1.2751,1.2843,972.0
20161114  13:30:00,1.2841,1.2936,1.2813,1.2895,1148.0
20161114  14:00:00,1.29,1.2915,1.2824,1.2825,1754.0
20161114  14:30:00,1.2824,1.2852,1.2814,1.2849,599.0
20161114  15:00:00,1.2842,1.285,1.2829,1.2829,248.0
20161114  15:30:00,1.2839,1.2888,1.2825,1.2877,252.0
20161114  16:00:00,1.2872,1.2877,1.2839,1.2848,145.0
20161114  16:30:00,1.2849,1.2875,1.2849,1.2861,53.0
20161114  18:00:00,1.2858,1.2861,1.2858,1.286,4.0
20161114  18:30:00,1.286,1.286,1.286,1.286,0.0
20161114  19:00:00,1.288,1.288,1.288,1.288,1.0
20161114  19:30:00,1.2877,1.2877,1.2877,1.2877,1.0
20161114  20:00:00,1.2879,1.2885,1.2876,1.2879,6.0
20161114  20:30:00,1.2904,1.2908,1.2896,1.2896,14.0
20161114  21:00:00,1.2925,1.2935,1.2923,1.2933,6.0
20161114  21:30:00,1.2935,1.2946,1.2934,1.2946,4.0
20161114  22:00:00,1.2954,1.3,1.2954,1.2973,26.0
20161114  22:30:00,1.2973,1.2998,1.2973,1.2973,24.0
20161114  23:00:00,1.2972,1.2979,1.2971,1.2972,8.0
20161114  23:30:00,1.2978,1.2983,1.2978,1.2983,3.0
20161115  00:00:00,1.2983,1.2983,1.2983,1.2983,0.0
20161115  00:30:00,1.2971,1.2971,1.2971,1.2971,1.0
20161115  01:00:00,1.2967,1.2982,1.2963,1.2982,10.0
20161115  01:30:00,1.2952,1.2966,1.295,1.2966,18.0
20161115  02:00:00,1.295,1.2979,1.295,1.297,41.0
20161115  02:30:00,1.2976,1.2984,1.2973,1.2973,10.0
20161115  03:00:00,1.2985,1.3033,1.2963,1.2972,230.0
20161115  03:30:00,1.2973,1.3015,1.2973,1.3008,184.0
20161115  04:00:00,1.3012,1.3036,1.2985,1.3029,438.0
20161115  04:30:00,1.3031,1.3052,1.3015,1.3029,224.0
20161115  05:00:00,1.3024,1.3041,1.3023,1.303,283.0
20161115  05:30:00,1.304,1.3066,1.304,1.3056,201.0
20161115  06:00:00,1.3049,1.3067,1.304,1.3054,46.0
20161115  06:30:00,1.3057,1.317,1.3057,1.3161,588.0
20161115  07:00:00,1.3163,1.3165,1.3112,1.3129,249.0
20161115  07:30:00,1.3129,1.3134,1.309,1.3109,282.0
20161115  08:00:00,1.3107,1.3126,1.309,1.3115,490.0
20161115  08:30:00,1.311,1.3214,1.3085,1.3106,893.0
20161115  09:00:00,1.3111,1.3171,1.309,1.3144,1745.0
20161115  09:30:00,1.3145,1.3199,1.314,1.3171,1641.0
20161115  10:00:00,1.3169,1.3269,1.3164,1.322,1897.0
20161115  10:30:00,1.3222,1.3225,1.3151,1.3174,1039.0
20161115  11:00:00,1.3177,1.3223,1.3147,1.3188,1091.0
20161115  11:30:00,1.3197,1.3254,1.3197,1.3221,1121.0
20161115  12:00:00,1.3223,1.324,1.3204,1.3216,471.0
20161115  12:30:00,1.3221,1.3288,1.3208,1.3267,459.0
20161115  13:00:00,1.3268,1.3276,1.3234,1.3238,433.0
20161115  13:30:00,1.3238,1.3313,1.3227,1.3301,620.0
20161115  14:00:00,1.3303,1.3402,1.3301,1.3386,2438.0
20161115  14:30:00,1.3385,1.344,1.3384,1.3428,698.0
20161115  15:00:00,1.3425,1.3451,1.3401,1.3422,204.0
20161115  15:30:00,1.3419,1.344,1.3388,1.3395,252.0
20161115  16:00:00,1.3398,1.3411,1.338,1.3384,181.0
20161115  16:30:00,1.3384,1.3384,1.3384,1.3384,0.0
