Date,Open,High,Low,Close,Volume
20170412  20:00:00,947.25,950.5,946.75,949.75,935.0
20170412  20:30:00,949.75,950.25,949.5,950.0,175.0
20170412  21:00:00,950.25,954.0,950.25,953.75,2016.0
20170412  21:30:00,953.75,953.75,951.5,951.5,709.0
20170412  22:00:00,951.5,952.0,950.75,952.0,298.0
20170412  22:30:00,952.25,952.75,951.75,952.5,300.0
20170412  23:00:00,952.5,954.5,952.25,954.5,862.0
20170412  23:30:00,954.25,954.75,953.5,954.75,414.0
20170413  00:00:00,954.75,955.25,954.5,955.0,467.0
20170413  00:30:00,954.75,954.75,954.25,954.5,109.0
20170413  01:00:00,954.25,955.0,954.25,954.75,361.0
20170413  01:30:00,954.75,956.0,954.75,955.75,1067.0
20170413  02:00:00,955.75,956.0,955.0,955.75,541.0
20170413  02:30:00,956.0,957.0,955.75,956.75,1248.0
20170413  03:00:00,956.5,957.25,956.25,956.5,617.0
20170413  03:30:00,956.5,956.75,956.25,956.5,214.0
20170413  04:00:00,956.5,956.5,956.0,956.5,181.0
20170413  04:30:00,956.5,956.75,956.0,956.25,298.0
20170413  05:00:00,956.5,956.75,956.0,956.0,173.0
20170413  05:30:00,956.25,957.5,956.25,957.0,547.0
20170413  06:00:00,957.0,957.75,956.75,957.25,403.0
20170413  06:30:00,957.25,958.5,957.0,958.0,840.0
20170413  07:00:00,958.0,958.5,956.75,956.75,578.0
20170413  07:30:00,956.5,956.5,956.0,956.0,564.0
20170413  08:00:00,956.0,956.5,955.75,956.5,457.0
20170413  08:30:00,956.25,957.0,956.0,956.75,980.0
20170413  09:30:00,956.0,959.5,955.25,958.0,9331.0
20170413  10:00:00,957.75,959.0,955.25,956.75,5014.0
20170413  10:30:00,956.75,958.5,956.25,956.75,3155.0
20170413  11:00:00,957.0,957.75,956.5,957.75,1631.0
20170413  11:30:00,957.5,959.0,957.5,957.75,2654.0
20170413  12:00:00,958.0,958.25,957.0,957.75,1981.0
20170413  12:30:00,957.75,957.75,955.5,955.75,1764.0
20170413  13:00:00,956.0,956.75,954.25,954.25,2809.0
20170413  13:30:00,954.5,954.75,952.5,953.25,3177.0
20170413  14:00:00,953.25,957.75,953.25,957.25,5586.0
20170416  20:00:00,958.75,961.0,957.25,960.0,3434.0
20170416  20:30:00,959.75,960.25,959.25,959.5,494.0
20170416  21:00:00,959.75,962.0,959.75,961.5,1771.0
20170416  21:30:00,961.5,961.5,958.5,958.75,745.0
20170416  22:00:00,958.75,959.0,958.0,958.0,180.0
20170416  22:30:00,958.25,959.0,957.25,957.25,508.0
20170416  23:00:00,957.0,957.75,956.75,957.25,802.0
20170416  23:30:00,957.25,957.25,956.5,956.5,212.0
20170417  00:00:00,956.75,957.0,956.5,956.75,25.0
20170417  00:30:00,956.5,956.5,956.25,956.25,26.0
20170417  01:00:00,956.25,956.5,956.25,956.5,49.0
20170417  01:30:00,956.5,957.5,956.5,957.25,231.0
20170417  02:00:00,957.0,957.25,956.25,957.0,288.0
20170417  02:30:00,956.75,957.25,956.25,956.25,371.0
20170417  03:00:00,956.5,958.0,956.5,957.5,258.0
20170417  03:30:00,957.75,958.25,957.0,957.0,109.0
20170417  04:00:00,957.25,957.25,956.5,956.5,63.0
20170417  04:30:00,956.5,956.5,956.25,956.25,100.0
20170417  05:00:00,956.0,956.5,956.0,956.5,100.0
20170417  05:30:00,956.75,957.25,956.75,956.75,58.0
20170417  06:00:00,956.75,957.25,956.5,957.25,135.0
20170417  06:30:00,957.25,957.25,956.75,956.75,118.0
20170417  07:00:00,956.75,956.75,956.25,956.5,154.0
20170417  07:30:00,956.25,956.5,955.75,956.25,234.0
20170417  08:00:00,956.25,957.0,955.75,956.0,393.0
20170417  08:30:00,956.25,956.5,955.75,956.0,189.0
20170417  09:30:00,956.5,958.5,953.5,957.25,6943.0
20170417  10:00:00,957.5,959.0,955.25,958.5,5832.0
20170417  10:30:00,958.5,959.25,957.0,957.25,4776.0
20170417  11:00:00,957.25,957.5,956.25,957.0,4879.0
20170417  11:30:00,957.0,957.25,954.5,955.5,3093.0
20170417  12:00:00,955.5,955.5,953.5,954.25,3054.0
20170417  12:30:00,954.0,954.25,951.5,951.5,2444.0
20170417  13:00:00,951.75,953.5,951.75,953.0,1769.0
20170417  13:30:00,953.25,955.0,953.25,954.0,2456.0
20170417  14:00:00,954.25,954.5,953.75,953.75,590.0
