Date,Open,High,Low,Close,Volume
20161222  18:00:00,0.9796,0.9799,0.9796,0.9799,62.0
20161222  18:30:00,0.98,0.9802,0.9799,0.9799,32.0
20161222  19:00:00,0.9798,0.98,0.9798,0.98,22.0
20161222  19:30:00,0.9799,0.9801,0.9799,0.98,20.0
20161222  20:00:00,0.9801,0.9804,0.98,0.9801,33.0
20161222  20:30:00,0.9802,0.9805,0.98,0.9804,27.0
20161222  21:00:00,0.9804,0.9804,0.9804,0.9804,12.0
20161222  21:30:00,0.9804,0.9804,0.9801,0.9801,36.0
20161222  22:00:00,0.98,0.98,0.98,0.98,1.0
20161222  22:30:00,0.98,0.9802,0.98,0.9802,56.0
20161222  23:00:00,0.98,0.98,0.98,0.98,5.0
20161222  23:30:00,0.9802,0.9808,0.9802,0.9808,25.0
20161223  00:00:00,0.9805,0.9806,0.9803,0.9804,19.0
20161223  00:30:00,0.9805,0.9806,0.9805,0.9806,11.0
20161223  01:00:00,0.9808,0.9809,0.9805,0.9809,27.0
20161223  01:30:00,0.9804,0.9804,0.9801,0.9802,12.0
20161223  02:00:00,0.9802,0.9804,0.9801,0.9804,69.0
20161223  02:30:00,0.9803,0.9803,0.9797,0.9797,90.0
20161223  03:00:00,0.9796,0.9797,0.9792,0.9794,174.0
20161223  03:30:00,0.9795,0.9797,0.9788,0.9791,192.0
20161223  04:00:00,0.979,0.9793,0.9786,0.9793,381.0
20161223  04:30:00,0.9794,0.9806,0.9793,0.9804,584.0
20161223  05:00:00,0.9804,0.9811,0.9799,0.9799,316.0
20161223  05:30:00,0.9797,0.9803,0.979,0.9794,519.0
20161223  06:00:00,0.9793,0.98,0.979,0.98,159.0
20161223  06:30:00,0.98,0.9802,0.9797,0.9802,242.0
20161223  07:00:00,0.9802,0.9808,0.9798,0.9806,223.0
20161223  07:30:00,0.9806,0.9813,0.9803,0.9803,363.0
20161223  08:00:00,0.9804,0.9805,0.9797,0.9798,140.0
20161223  08:30:00,0.9798,0.9801,0.9788,0.9789,293.0
20161223  09:00:00,0.979,0.9792,0.9783,0.9792,373.0
20161223  09:30:00,0.9791,0.9791,0.9777,0.9781,397.0
20161223  10:00:00,0.9781,0.9794,0.978,0.9794,567.0
20161223  10:30:00,0.9794,0.9809,0.9791,0.9802,496.0
20161223  11:00:00,0.9802,0.9802,0.9792,0.9794,339.0
20161223  11:30:00,0.9793,0.9793,0.9787,0.9789,144.0
20161223  12:00:00,0.9789,0.9791,0.9787,0.979,109.0
20161223  12:30:00,0.979,0.979,0.9783,0.9786,381.0
20161223  13:00:00,0.9786,0.9787,0.978,0.9781,158.0
20161223  13:30:00,0.9781,0.9782,0.978,0.978,149.0
20161223  14:00:00,0.978,0.978,0.9777,0.9779,55.0
20161223  14:30:00,0.9778,0.9783,0.9777,0.9782,234.0
20161223  15:00:00,0.9781,0.9781,0.9778,0.978,78.0
