Date,Open,High,Low,Close,Volume
20170308  18:00:00,17.255,17.285,17.255,17.275,313.0
20170308  18:30:00,17.275,17.285,17.265,17.265,149.0
20170308  19:00:00,17.265,17.27,17.25,17.265,294.0
20170308  19:30:00,17.265,17.275,17.26,17.265,169.0
20170308  20:00:00,17.27,17.305,17.24,17.255,1692.0
20170308  20:30:00,17.255,17.255,17.22,17.245,1027.0
20170308  21:00:00,17.24,17.27,17.24,17.26,515.0
20170308  21:30:00,17.265,17.265,17.23,17.23,341.0
20170308  22:00:00,17.23,17.245,17.225,17.23,497.0
20170308  22:30:00,17.235,17.24,17.21,17.215,399.0
20170308  23:00:00,17.215,17.215,17.185,17.205,701.0
20170308  23:30:00,17.2,17.235,17.195,17.21,950.0
20170309  00:00:00,17.21,17.225,17.21,17.215,225.0
20170309  00:30:00,17.215,17.225,17.205,17.215,352.0
20170309  01:00:00,17.215,17.22,17.16,17.175,1240.0
20170309  01:30:00,17.18,17.22,17.17,17.205,902.0
20170309  02:00:00,17.2,17.235,17.195,17.195,791.0
20170309  02:30:00,17.2,17.215,17.185,17.2,455.0
20170309  03:00:00,17.195,17.23,17.195,17.21,700.0
20170309  03:30:00,17.205,17.21,17.17,17.195,941.0
20170309  04:00:00,17.195,17.21,17.18,17.195,657.0
20170309  04:30:00,17.19,17.195,17.175,17.19,458.0
20170309  05:00:00,17.19,17.205,17.175,17.18,396.0
20170309  05:30:00,17.175,17.195,17.17,17.175,554.0
20170309  06:00:00,17.175,17.19,17.17,17.185,586.0
20170309  06:30:00,17.18,17.185,17.15,17.16,873.0
20170309  07:00:00,17.16,17.22,17.15,17.205,1422.0
20170309  07:30:00,17.205,17.24,17.19,17.23,1378.0
20170309  08:00:00,17.235,17.29,17.225,17.25,3286.0
20170309  08:30:00,17.255,17.29,17.235,17.285,4330.0
20170309  09:00:00,17.285,17.31,17.245,17.245,2823.0
20170309  09:30:00,17.25,17.275,17.215,17.225,2930.0
20170309  10:00:00,17.225,17.235,17.165,17.195,2780.0
20170309  10:30:00,17.19,17.2,17.145,17.16,3046.0
20170309  11:00:00,17.155,17.16,17.05,17.12,5629.0
20170309  11:30:00,17.12,17.145,17.1,17.105,3229.0
20170309  12:00:00,17.11,17.11,17.045,17.065,2466.0
20170309  12:30:00,17.065,17.07,17.035,17.06,2496.0
20170309  13:00:00,17.055,17.065,17.015,17.035,4122.0
20170309  13:30:00,17.04,17.05,17.02,17.025,893.0
20170309  14:00:00,17.03,17.035,16.98,16.995,2252.0
20170309  14:30:00,16.995,17.0,16.965,16.975,912.0
20170309  15:00:00,16.97,17.015,16.965,16.975,1067.0
20170309  15:30:00,16.975,16.99,16.965,16.985,628.0
20170309  16:00:00,16.985,17.005,16.955,16.96,547.0
20170309  16:30:00,16.96,16.985,16.955,16.98,536.0
20170309  18:00:00,16.98,16.995,16.96,16.985,296.0
20170309  18:30:00,16.98,16.99,16.885,16.945,1286.0
20170309  19:00:00,16.94,16.95,16.915,16.95,452.0
20170309  19:30:00,16.95,16.965,16.94,16.965,436.0
20170309  20:00:00,16.965,16.99,16.925,16.94,1638.0
20170309  20:30:00,16.94,16.94,16.91,16.925,814.0
20170309  21:00:00,16.925,16.95,16.925,16.945,431.0
20170309  21:30:00,16.945,16.945,16.935,16.94,479.0
20170309  22:00:00,16.94,16.955,16.93,16.93,475.0
20170309  22:30:00,16.935,16.935,16.915,16.915,272.0
20170309  23:00:00,16.92,16.935,16.905,16.93,172.0
20170309  23:30:00,16.93,16.935,16.9,16.905,241.0
20170310  00:00:00,16.905,16.925,16.905,16.925,189.0
20170310  00:30:00,16.92,16.94,16.92,16.935,460.0
20170310  01:00:00,16.94,16.945,16.92,16.935,435.0
20170310  01:30:00,16.93,16.945,16.9,16.92,900.0
20170310  02:00:00,16.92,16.92,16.89,16.895,591.0
20170310  02:30:00,16.89,16.91,16.855,16.87,1418.0
20170310  03:00:00,16.875,16.895,16.86,16.89,1236.0
20170310  03:30:00,16.895,16.91,16.88,16.91,622.0
20170310  04:00:00,16.91,16.93,16.905,16.92,711.0
20170310  04:30:00,16.92,16.925,16.9,16.915,433.0
20170310  05:00:00,16.915,16.93,16.905,16.905,505.0
20170310  05:30:00,16.905,16.91,16.88,16.895,595.0
20170310  06:00:00,16.895,16.9,16.87,16.89,467.0
20170310  06:30:00,16.885,16.915,16.885,16.9,576.0
20170310  07:00:00,16.9,16.955,16.9,16.925,1403.0
20170310  07:30:00,16.93,16.93,16.9,16.905,668.0
20170310  08:00:00,16.91,16.96,16.865,16.945,3589.0
20170310  08:30:00,16.95,17.075,16.9,17.075,12460.0
20170310  09:00:00,17.08,17.105,16.985,16.985,5880.0
20170310  09:30:00,16.99,17.025,16.945,17.01,5595.0
20170310  10:00:00,17.015,17.02,16.945,16.97,4011.0
20170310  10:30:00,16.975,17.015,16.935,16.945,3737.0
20170310  11:00:00,16.945,16.945,16.915,16.915,3185.0
20170310  11:30:00,16.915,16.945,16.9,16.935,2393.0
20170310  12:00:00,16.935,16.94,16.91,16.94,2119.0
20170310  12:30:00,16.935,16.96,16.915,16.94,1882.0
20170310  13:00:00,16.94,16.955,16.905,16.925,3131.0
20170310  13:30:00,16.92,16.96,16.92,16.94,692.0
20170310  14:00:00,16.94,16.955,16.93,16.945,571.0
20170310  14:30:00,16.95,16.98,16.95,16.96,877.0
20170310  15:00:00,16.96,17.055,16.955,17.04,1318.0
20170310  15:30:00,17.04,17.07,17.015,17.07,820.0
20170310  16:00:00,17.07,17.07,17.03,17.03,520.0
20170310  16:30:00,17.025,17.04,17.025,17.035,28.0
