Date,Open,High,Low,Close,Volume
20170524  20:00:00,306.3,306.7,306.3,306.6,280.0
20170524  20:30:00,306.6,306.7,306.5,306.7,17.0
20170524  21:00:00,306.7,307.1,306.7,306.9,247.0
20170524  21:30:00,306.8,306.8,306.4,306.6,83.0
20170524  22:00:00,306.5,306.8,306.5,306.8,87.0
20170524  22:30:00,306.9,307.0,306.7,306.7,84.0
20170524  23:00:00,306.8,306.9,306.8,306.8,115.0
20170524  23:30:00,306.9,306.9,306.8,306.8,77.0
20170525  00:00:00,306.8,306.8,306.8,306.8,3.0
20170525  00:30:00,306.8,306.8,306.8,306.8,10.0
20170525  01:00:00,306.9,306.9,306.9,306.9,46.0
20170525  01:30:00,306.9,307.2,306.9,307.1,292.0
20170525  02:00:00,307.2,307.2,307.1,307.2,68.0
20170525  02:30:00,307.3,307.3,307.1,307.1,112.0
20170525  03:00:00,307.0,307.4,307.0,307.3,217.0
20170525  03:30:00,307.4,307.5,307.3,307.3,94.0
20170525  04:00:00,307.3,307.4,307.2,307.2,161.0
20170525  04:30:00,307.2,307.2,306.9,306.9,125.0
20170525  05:00:00,306.9,307.1,306.8,306.9,171.0
20170525  05:30:00,306.9,306.9,306.7,306.8,192.0
20170525  06:00:00,306.8,307.2,306.7,307.0,183.0
20170525  06:30:00,307.0,307.0,306.7,306.8,112.0
20170525  07:00:00,306.8,306.9,306.6,306.8,161.0
20170525  07:30:00,306.8,306.9,306.7,306.8,196.0
20170525  08:00:00,306.8,307.2,306.8,307.0,214.0
20170525  08:30:00,307.1,307.4,307.1,307.1,218.0
20170525  09:30:00,307.4,307.5,305.7,305.9,4091.0
20170525  10:00:00,305.9,306.0,305.5,305.6,2082.0
20170525  10:30:00,305.6,305.8,305.3,305.4,2052.0
20170525  11:00:00,305.4,305.5,305.1,305.4,2527.0
20170525  11:30:00,305.4,305.5,304.9,305.0,4968.0
20170525  12:00:00,305.0,305.5,304.9,305.3,2052.0
20170525  12:30:00,305.2,305.6,305.2,305.6,1838.0
20170525  13:00:00,305.5,305.7,305.0,305.0,728.0
20170525  13:30:00,305.0,305.3,305.0,305.1,1104.0
20170525  14:00:00,305.2,305.2,304.5,304.5,3824.0
20170525  20:00:00,304.5,304.9,304.5,304.8,336.0
20170525  20:30:00,304.8,305.0,304.7,305.0,88.0
20170525  21:00:00,304.9,305.1,304.3,304.3,559.0
20170525  21:30:00,304.3,304.4,304.0,304.1,543.0
20170525  22:00:00,304.1,304.2,304.0,304.1,103.0
20170525  22:30:00,304.1,304.2,304.0,304.1,80.0
20170525  23:00:00,304.1,304.2,304.0,304.1,91.0
20170525  23:30:00,304.0,304.2,304.0,304.1,56.0
20170526  00:00:00,304.1,304.3,304.1,304.2,64.0
20170526  00:30:00,304.2,304.3,304.2,304.2,71.0
20170526  01:00:00,304.2,304.4,304.2,304.2,35.0
20170526  01:30:00,304.3,304.8,304.3,304.8,153.0
20170526  02:00:00,304.7,304.8,304.4,304.5,166.0
20170526  02:30:00,304.4,304.6,304.4,304.5,179.0
20170526  03:00:00,304.5,304.6,304.4,304.5,114.0
20170526  03:30:00,304.5,304.6,304.4,304.5,74.0
20170526  04:00:00,304.5,304.6,304.4,304.5,213.0
20170526  04:30:00,304.4,304.5,304.3,304.4,90.0
20170526  05:00:00,304.4,304.6,304.3,304.5,214.0
20170526  05:30:00,304.4,304.5,304.4,304.4,218.0
20170526  06:00:00,304.4,304.5,304.4,304.5,170.0
20170526  06:30:00,304.6,304.8,304.5,304.7,247.0
20170526  07:00:00,304.6,304.7,304.3,304.3,251.0
20170526  07:30:00,304.4,304.5,304.2,304.2,285.0
20170526  08:00:00,304.3,304.5,304.2,304.5,283.0
20170526  08:30:00,304.5,304.5,304.3,304.5,191.0
20170526  09:30:00,304.2,304.9,304.2,304.6,3278.0
20170526  10:00:00,304.5,304.8,303.9,304.1,2259.0
20170526  10:30:00,304.1,304.3,303.7,303.9,2241.0
20170526  11:00:00,303.9,304.0,303.3,303.9,2758.0
20170526  11:30:00,303.9,303.9,303.0,303.1,1671.0
20170526  12:00:00,303.0,303.3,302.3,302.5,3950.0
20170526  12:30:00,302.5,303.0,302.3,302.4,2766.0
20170526  13:00:00,302.4,303.1,302.3,302.8,1725.0
20170526  13:30:00,302.8,302.9,302.4,302.4,1397.0
20170526  14:00:00,302.4,302.6,302.0,302.1,1086.0
