Date,Open,High,Low,Close,Volume
20170109  18:00:00,108.359375,108.359375,108.3515625,108.3515625,685.0
20170109  18:30:00,108.3515625,108.3515625,108.3515625,108.3515625,1.0
20170109  19:00:00,108.359375,108.359375,108.3515625,108.3515625,73.0
20170109  19:30:00,108.359375,108.359375,108.34375,108.3515625,493.0
20170109  20:00:00,108.3515625,108.359375,108.3515625,108.359375,2229.0
20170109  20:30:00,108.359375,108.3671875,108.3515625,108.3515625,1252.0
20170109  21:00:00,108.359375,108.359375,108.3515625,108.3515625,332.0
20170109  21:30:00,108.359375,108.359375,108.359375,108.359375,1232.0
20170109  22:00:00,108.359375,108.359375,108.359375,108.359375,537.0
20170109  22:30:00,108.359375,108.3671875,108.359375,108.3671875,906.0
20170109  23:00:00,108.3671875,108.3671875,108.3671875,108.3671875,292.0
20170109  23:30:00,108.359375,108.359375,108.359375,108.359375,2172.0
20170110  00:00:00,108.359375,108.359375,108.3515625,108.359375,465.0
20170110  00:30:00,108.359375,108.359375,108.359375,108.359375,70.0
20170110  01:00:00,108.359375,108.3671875,108.359375,108.3671875,1057.0
20170110  01:30:00,108.359375,108.359375,108.3515625,108.3515625,220.0
20170110  02:00:00,108.3515625,108.3515625,108.34375,108.3515625,505.0
20170110  02:30:00,108.34375,108.3515625,108.3359375,108.34375,1562.0
20170110  03:00:00,108.34375,108.3515625,108.3359375,108.34375,2783.0
20170110  03:30:00,108.34375,108.3515625,108.34375,108.34375,1229.0
20170110  04:00:00,108.34375,108.34375,108.3359375,108.3359375,1495.0
20170110  04:30:00,108.34375,108.34375,108.3359375,108.34375,1922.0
20170110  05:00:00,108.34375,108.3515625,108.34375,108.34375,493.0
20170110  05:30:00,108.34375,108.3515625,108.34375,108.3515625,3350.0
20170110  06:00:00,108.3515625,108.3515625,108.3359375,108.34375,720.0
20170110  06:30:00,108.34375,108.34375,108.3359375,108.3359375,2224.0
20170110  07:00:00,108.34375,108.34375,108.328125,108.34375,8498.0
20170110  07:30:00,108.3359375,108.3359375,108.3203125,108.328125,8616.0
20170110  08:00:00,108.328125,108.3359375,108.3125,108.3359375,12355.0
20170110  08:30:00,108.328125,108.3359375,108.3203125,108.3359375,10313.0
20170110  09:00:00,108.3359375,108.34375,108.328125,108.34375,5544.0
20170110  09:30:00,108.34375,108.3671875,108.3359375,108.3515625,22489.0
20170110  10:00:00,108.3515625,108.359375,108.3359375,108.34375,10782.0
20170110  10:30:00,108.34375,108.359375,108.3359375,108.359375,11601.0
20170110  11:00:00,108.359375,108.359375,108.34375,108.359375,13557.0
20170110  11:30:00,108.359375,108.359375,108.3515625,108.3515625,3208.0
20170110  12:00:00,108.3515625,108.3515625,108.3359375,108.3359375,7539.0
20170110  12:30:00,108.34375,108.3515625,108.3359375,108.34375,4765.0
20170110  13:00:00,108.3515625,108.359375,108.34375,108.34375,10987.0
20170110  13:30:00,108.3515625,108.3515625,108.34375,108.34375,3404.0
20170110  14:00:00,108.3515625,108.3515625,108.3359375,108.3359375,6126.0
20170110  14:30:00,108.3359375,108.3515625,108.3359375,108.34375,9976.0
