Date,Open,High,Low,Close,Volume
20161120  18:00:00,125.375,125.4375,125.34375,125.375,6938.0
20161120  18:30:00,125.375,125.40625,125.3125,125.390625,8599.0
20161120  19:00:00,125.390625,125.53125,125.390625,125.5,18862.0
20161120  19:30:00,125.484375,125.484375,125.375,125.40625,8446.0
20161120  20:00:00,125.40625,125.5,125.375,125.46875,7365.0
20161120  20:30:00,125.453125,125.546875,125.453125,125.53125,9902.0
20161120  21:00:00,125.53125,125.546875,125.5,125.515625,3468.0
20161120  21:30:00,125.515625,125.515625,125.46875,125.46875,1819.0
20161120  22:00:00,125.484375,125.515625,125.46875,125.5,3308.0
20161120  22:30:00,125.515625,125.546875,125.453125,125.53125,8968.0
20161120  23:00:00,125.53125,125.546875,125.5,125.546875,3464.0
20161120  23:30:00,125.546875,125.546875,125.5,125.5,2361.0
20161121  00:00:00,125.515625,125.546875,125.46875,125.546875,5169.0
20161121  00:30:00,125.53125,125.578125,125.53125,125.5625,5617.0
20161121  01:00:00,125.5625,125.625,125.546875,125.578125,9254.0
20161121  01:30:00,125.578125,125.6875,125.578125,125.578125,15910.0
20161121  02:00:00,125.578125,125.59375,125.515625,125.5625,21017.0
20161121  02:30:00,125.5625,125.765625,125.5625,125.765625,38625.0
20161121  03:00:00,125.75,125.796875,125.703125,125.75,28483.0
20161121  03:30:00,125.734375,125.78125,125.703125,125.78125,24560.0
20161121  04:00:00,125.765625,125.875,125.734375,125.75,41772.0
20161121  04:30:00,125.75,125.765625,125.6875,125.703125,15231.0
20161121  05:00:00,125.71875,125.734375,125.625,125.625,17547.0
20161121  05:30:00,125.625,125.71875,125.625,125.640625,15714.0
20161121  06:00:00,125.640625,125.65625,125.5625,125.640625,14055.0
20161121  06:30:00,125.625,125.71875,125.609375,125.71875,20118.0
20161121  07:00:00,125.71875,125.78125,125.671875,125.6875,20218.0
20161121  07:30:00,125.6875,125.765625,125.671875,125.71875,25934.0
20161121  08:00:00,125.71875,125.796875,125.65625,125.71875,48525.0
20161121  08:30:00,125.71875,125.8125,125.6875,125.765625,42103.0
20161121  09:00:00,125.78125,125.78125,125.625,125.65625,74066.0
20161121  09:30:00,125.671875,125.765625,125.578125,125.625,73949.0
20161121  10:00:00,125.640625,125.75,125.609375,125.75,67545.0
20161121  10:30:00,125.734375,125.8125,125.6875,125.703125,70408.0
20161121  11:00:00,125.703125,125.734375,125.625,125.65625,61383.0
20161121  11:30:00,125.640625,125.671875,125.5625,125.640625,55165.0
20161121  12:00:00,125.640625,125.75,125.640625,125.71875,43354.0
20161121  12:30:00,125.734375,125.734375,125.640625,125.65625,32351.0
20161121  13:00:00,125.65625,125.671875,125.53125,125.546875,53940.0
20161121  13:30:00,125.546875,125.609375,125.515625,125.546875,38491.0
20161121  14:00:00,125.53125,125.59375,125.53125,125.5625,29616.0
20161121  14:30:00,125.5625,125.578125,125.53125,125.546875,21551.0
20161121  15:00:00,125.53125,125.65625,125.53125,125.625,49245.0
20161121  15:30:00,125.640625,125.671875,125.59375,125.65625,36196.0
20161121  16:00:00,125.671875,125.84375,125.65625,125.703125,52024.0
20161121  16:30:00,125.703125,125.796875,125.6875,125.75,18044.0
20161121  18:00:00,125.796875,125.828125,125.71875,125.78125,9063.0
20161121  18:30:00,125.78125,125.90625,125.75,125.875,13720.0
20161121  19:00:00,125.875,125.9375,125.84375,125.90625,12199.0
20161121  19:30:00,125.90625,125.921875,125.84375,125.890625,8964.0
20161121  20:00:00,125.890625,125.9375,125.84375,125.84375,11215.0
20161121  20:30:00,125.859375,125.890625,125.828125,125.84375,9886.0
20161121  21:00:00,125.84375,125.875,125.78125,125.859375,9769.0
20161121  21:30:00,125.859375,125.859375,125.75,125.765625,5311.0
20161121  22:00:00,125.765625,125.78125,125.703125,125.71875,7318.0
20161121  22:30:00,125.71875,125.765625,125.6875,125.75,7998.0
20161121  23:00:00,125.734375,125.765625,125.71875,125.71875,1076.0
20161121  23:30:00,125.71875,125.734375,125.703125,125.703125,4671.0
20161122  00:00:00,125.71875,125.75,125.671875,125.6875,4987.0
20161122  00:30:00,125.6875,125.734375,125.6875,125.71875,5465.0
20161122  01:00:00,125.71875,125.71875,125.671875,125.703125,4925.0
20161122  01:30:00,125.703125,125.703125,125.59375,125.59375,10348.0
20161122  02:00:00,125.59375,125.640625,125.546875,125.5625,18920.0
20161122  02:30:00,125.5625,125.71875,125.5625,125.6875,17636.0
20161122  03:00:00,125.6875,125.796875,125.671875,125.796875,31192.0
20161122  03:30:00,125.796875,125.84375,125.75,125.78125,30114.0
20161122  04:00:00,125.78125,125.875,125.78125,125.859375,37137.0
