Date,Open,High,Low,Close,Volume
20170104  18:00:00,150.90625,150.96875,150.84375,150.875,639.0
20170104  18:30:00,150.84375,150.9375,150.84375,150.9375,396.0
20170104  19:00:00,150.9375,151.09375,150.9375,151.03125,1678.0
20170104  19:30:00,151.0,151.125,150.9375,151.09375,951.0
20170104  20:00:00,151.09375,151.125,150.875,150.875,611.0
20170104  20:30:00,150.90625,151.0,150.90625,151.0,433.0
20170104  21:00:00,151.0,151.15625,150.9375,151.09375,1078.0
20170104  21:30:00,151.125,151.1875,151.0625,151.1875,752.0
20170104  22:00:00,151.1875,151.34375,151.1875,151.28125,2450.0
20170104  22:30:00,151.28125,151.34375,151.25,151.28125,363.0
20170104  23:00:00,151.28125,151.28125,151.21875,151.28125,240.0
20170104  23:30:00,151.25,151.3125,151.21875,151.28125,176.0
20170105  00:00:00,151.28125,151.34375,151.25,151.34375,534.0
20170105  00:30:00,151.34375,151.375,151.25,151.28125,514.0
20170105  01:00:00,151.28125,151.34375,151.25,151.28125,303.0
20170105  01:30:00,151.28125,151.53125,151.28125,151.53125,3798.0
20170105  02:00:00,151.5,151.5625,151.15625,151.21875,4621.0
20170105  02:30:00,151.21875,151.28125,151.125,151.125,2591.0
20170105  03:00:00,151.125,151.125,150.9375,151.03125,4411.0
20170105  03:30:00,151.03125,151.09375,150.9375,150.96875,2430.0
20170105  04:00:00,150.96875,151.03125,150.8125,150.875,1966.0
20170105  04:30:00,150.875,151.03125,150.78125,151.03125,3331.0
20170105  05:00:00,151.03125,151.03125,150.84375,150.875,2392.0
20170105  05:30:00,150.84375,150.875,150.5,150.53125,4420.0
20170105  06:00:00,150.53125,150.71875,150.4375,150.6875,5104.0
20170105  06:30:00,150.71875,150.75,150.625,150.71875,3599.0
20170105  07:00:00,150.71875,150.9375,150.59375,150.875,4655.0
20170105  07:30:00,150.875,150.9375,150.65625,150.75,3112.0
20170105  08:00:00,150.71875,151.03125,150.65625,150.75,12710.0
20170105  08:30:00,150.75,151.1875,150.65625,151.0625,15696.0
20170105  09:00:00,151.0625,151.40625,151.0625,151.28125,16725.0
20170105  09:30:00,151.3125,151.3125,151.0,151.15625,21069.0
20170105  10:00:00,151.1875,151.6875,151.0625,151.53125,27020.0
20170105  10:30:00,151.53125,151.90625,151.4375,151.875,29752.0
20170105  11:00:00,151.875,152.28125,151.84375,152.15625,34611.0
20170105  11:30:00,152.15625,152.6875,152.125,152.53125,25074.0
20170105  12:00:00,152.53125,152.59375,152.375,152.5625,10528.0
20170105  12:30:00,152.53125,152.5625,152.34375,152.375,9489.0
20170105  13:00:00,152.375,152.46875,152.1875,152.1875,10422.0
20170105  13:30:00,152.21875,152.34375,152.125,152.25,8359.0
20170105  14:00:00,152.25,152.4375,152.125,152.40625,7397.0
20170105  14:30:00,152.40625,152.53125,152.28125,152.5,13104.0
20170105  15:00:00,152.53125,152.59375,152.40625,152.5,8358.0
20170105  15:30:00,152.5,152.8125,152.5,152.71875,6684.0
20170105  16:00:00,152.75,152.96875,152.71875,152.84375,4964.0
20170105  16:30:00,152.84375,153.0,152.8125,152.875,4018.0
20170105  18:00:00,152.875,152.875,152.71875,152.8125,1247.0
20170105  18:30:00,152.84375,152.875,152.8125,152.84375,559.0
20170105  19:00:00,152.875,152.875,152.65625,152.8125,1225.0
20170105  19:30:00,152.8125,152.8125,152.59375,152.59375,978.0
20170105  20:00:00,152.59375,152.625,152.46875,152.5,1518.0
20170105  20:30:00,152.53125,152.59375,152.5,152.53125,1168.0
20170105  21:00:00,152.53125,152.53125,152.34375,152.40625,2222.0
20170105  21:30:00,152.40625,152.5,152.375,152.5,640.0
20170105  22:00:00,152.5,152.53125,152.46875,152.5,108.0
20170105  22:30:00,152.46875,152.59375,152.4375,152.59375,781.0
20170105  23:00:00,152.59375,152.625,152.5625,152.5625,409.0
20170105  23:30:00,152.59375,152.6875,152.5625,152.59375,446.0
20170106  00:00:00,152.59375,152.6875,152.59375,152.625,661.0
20170106  00:30:00,152.59375,152.625,152.5,152.53125,242.0
20170106  01:00:00,152.53125,152.6875,152.53125,152.6875,592.0
20170106  01:30:00,152.65625,152.6875,152.46875,152.5,1403.0
20170106  02:00:00,152.53125,152.59375,152.4375,152.4375,1579.0
20170106  02:30:00,152.4375,152.5,152.28125,152.34375,2824.0
20170106  03:00:00,152.34375,152.625,152.34375,152.40625,2726.0
20170106  03:30:00,152.40625,152.53125,152.375,152.53125,1207.0
20170106  04:00:00,152.53125,152.75,152.53125,152.65625,3401.0
20170106  04:30:00,152.6875,152.90625,152.65625,152.875,3009.0
20170106  05:00:00,152.875,152.96875,152.78125,152.90625,2399.0
20170106  05:30:00,152.90625,152.90625,152.8125,152.8125,2033.0
20170106  06:00:00,152.8125,152.90625,152.8125,152.84375,1573.0
20170106  06:30:00,152.84375,152.90625,152.75,152.78125,1670.0
20170106  07:00:00,152.78125,152.78125,152.6875,152.71875,1760.0
20170106  07:30:00,152.71875,152.875,152.6875,152.84375,3830.0
20170106  08:00:00,152.8125,153.15625,152.71875,152.90625,16193.0
20170106  08:30:00,152.875,153.28125,151.96875,152.0625,53676.0
20170106  09:00:00,152.03125,152.40625,151.90625,151.9375,22465.0
20170106  09:30:00,151.9375,152.375,151.90625,152.03125,20661.0
20170106  10:00:00,152.03125,152.15625,151.875,151.90625,16079.0
20170106  10:30:00,151.90625,152.0625,151.8125,151.96875,14792.0
20170106  11:00:00,151.96875,152.0625,151.71875,151.71875,11351.0
20170106  11:30:00,151.71875,151.9375,151.6875,151.9375,11262.0
20170106  12:00:00,151.96875,152.0,151.8125,151.875,5780.0
20170106  12:30:00,151.84375,152.0,151.8125,152.0,4665.0
20170106  13:00:00,151.96875,152.0,151.78125,151.84375,5575.0
20170106  13:30:00,151.84375,151.90625,151.59375,151.65625,5995.0
20170106  14:00:00,151.625,151.78125,151.625,151.78125,7198.0
20170106  14:30:00,151.78125,151.84375,151.6875,151.78125,9207.0
20170106  15:00:00,151.78125,151.8125,151.625,151.75,5721.0
20170106  15:30:00,151.75,151.8125,151.65625,151.6875,4431.0
20170106  16:00:00,151.71875,151.8125,151.6875,151.78125,1387.0
20170106  16:30:00,151.75,151.78125,151.71875,151.75,385.0
