Date,Open,High,Low,Close,Volume
20170419  18:00:00,20335.0,20350.0,20328.0,20345.0,745.0
20170419  18:30:00,20345.0,20352.0,20343.0,20350.0,472.0
20170419  19:00:00,20350.0,20353.0,20342.0,20343.0,498.0
20170419  19:30:00,20344.0,20350.0,20340.0,20343.0,524.0
20170419  20:00:00,20343.0,20348.0,20333.0,20344.0,664.0
20170419  20:30:00,20344.0,20346.0,20337.0,20341.0,401.0
20170419  21:00:00,20342.0,20347.0,20334.0,20347.0,458.0
20170419  21:30:00,20347.0,20354.0,20339.0,20352.0,712.0
20170419  22:00:00,20352.0,20353.0,20339.0,20341.0,346.0
20170419  22:30:00,20340.0,20342.0,20336.0,20340.0,284.0
20170419  23:00:00,20339.0,20347.0,20339.0,20345.0,306.0
20170419  23:30:00,20344.0,20345.0,20339.0,20345.0,246.0
20170420  00:00:00,20345.0,20347.0,20342.0,20345.0,238.0
20170420  00:30:00,20345.0,20349.0,20342.0,20342.0,381.0
20170420  01:00:00,20342.0,20345.0,20338.0,20341.0,306.0
20170420  01:30:00,20341.0,20342.0,20334.0,20340.0,488.0
20170420  02:00:00,20340.0,20354.0,20339.0,20346.0,1022.0
20170420  02:30:00,20345.0,20352.0,20340.0,20346.0,716.0
20170420  03:00:00,20347.0,20388.0,20335.0,20366.0,5012.0
20170420  03:30:00,20366.0,20384.0,20366.0,20376.0,1895.0
20170420  04:00:00,20377.0,20387.0,20366.0,20368.0,1703.0
20170420  04:30:00,20368.0,20381.0,20366.0,20377.0,1249.0
20170420  05:00:00,20375.0,20387.0,20368.0,20381.0,1886.0
20170420  05:30:00,20382.0,20385.0,20371.0,20378.0,1717.0
20170420  06:00:00,20377.0,20381.0,20368.0,20371.0,842.0
20170420  06:30:00,20371.0,20381.0,20370.0,20374.0,785.0
20170420  07:00:00,20375.0,20380.0,20363.0,20377.0,1382.0
20170420  07:30:00,20377.0,20382.0,20365.0,20366.0,1105.0
20170420  08:00:00,20366.0,20377.0,20362.0,20370.0,1266.0
20170420  08:30:00,20370.0,20380.0,20363.0,20368.0,1443.0
20170420  09:00:00,20368.0,20384.0,20364.0,20378.0,2501.0
20170420  09:30:00,20378.0,20405.0,20362.0,20372.0,15097.0
20170420  10:00:00,20371.0,20430.0,20371.0,20412.0,13052.0
20170420  10:30:00,20414.0,20438.0,20407.0,20428.0,6835.0
20170420  11:00:00,20428.0,20442.0,20416.0,20441.0,6288.0
20170420  11:30:00,20440.0,20488.0,20434.0,20482.0,10460.0
20170420  12:00:00,20482.0,20519.0,20479.0,20505.0,12276.0
20170420  12:30:00,20504.0,20527.0,20502.0,20508.0,7649.0
20170420  13:00:00,20509.0,20523.0,20505.0,20519.0,4790.0
20170420  13:30:00,20520.0,20567.0,20517.0,20558.0,9111.0
20170420  14:00:00,20559.0,20562.0,20533.0,20543.0,6143.0
20170420  14:30:00,20543.0,20553.0,20536.0,20537.0,4944.0
20170420  15:00:00,20537.0,20550.0,20523.0,20537.0,5237.0
20170420  15:30:00,20536.0,20550.0,20515.0,20519.0,10235.0
20170420  16:00:00,20519.0,20540.0,20515.0,20527.0,3823.0
20170420  16:30:00,20526.0,20537.0,20525.0,20535.0,543.0
20170420  18:00:00,20530.0,20546.0,20524.0,20538.0,664.0
20170420  18:30:00,20536.0,20540.0,20534.0,20535.0,184.0
20170420  19:00:00,20535.0,20536.0,20529.0,20532.0,331.0
20170420  19:30:00,20532.0,20538.0,20531.0,20536.0,338.0
20170420  20:00:00,20536.0,20541.0,20530.0,20530.0,315.0
20170420  20:30:00,20530.0,20530.0,20523.0,20525.0,662.0
20170420  21:00:00,20524.0,20534.0,20523.0,20530.0,413.0
20170420  21:30:00,20530.0,20532.0,20518.0,20520.0,671.0
20170420  22:00:00,20520.0,20528.0,20520.0,20526.0,262.0
20170420  22:30:00,20525.0,20527.0,20519.0,20522.0,279.0
20170420  23:00:00,20522.0,20522.0,20519.0,20521.0,172.0
20170420  23:30:00,20521.0,20521.0,20515.0,20515.0,287.0
20170421  00:00:00,20515.0,20520.0,20514.0,20518.0,170.0
20170421  00:30:00,20518.0,20523.0,20518.0,20522.0,210.0
20170421  01:00:00,20522.0,20538.0,20520.0,20536.0,664.0
20170421  01:30:00,20537.0,20547.0,20536.0,20544.0,895.0
20170421  02:00:00,20544.0,20553.0,20540.0,20545.0,1190.0
20170421  02:30:00,20546.0,20548.0,20535.0,20546.0,907.0
20170421  03:00:00,20546.0,20547.0,20525.0,20535.0,2341.0
20170421  03:30:00,20534.0,20539.0,20527.0,20535.0,1129.0
20170421  04:00:00,20535.0,20542.0,20531.0,20535.0,765.0
20170421  04:30:00,20536.0,20538.0,20520.0,20533.0,1422.0
20170421  05:00:00,20532.0,20532.0,20518.0,20523.0,791.0
20170421  05:30:00,20523.0,20538.0,20519.0,20529.0,1310.0
20170421  06:00:00,20530.0,20534.0,20524.0,20525.0,703.0
20170421  06:30:00,20525.0,20535.0,20520.0,20535.0,755.0
20170421  07:00:00,20535.0,20546.0,20533.0,20537.0,1078.0
20170421  07:30:00,20537.0,20544.0,20535.0,20538.0,724.0
20170421  08:00:00,20538.0,20549.0,20535.0,20539.0,1461.0
20170421  08:30:00,20540.0,20547.0,20530.0,20530.0,1103.0
20170421  09:00:00,20531.0,20534.0,20511.0,20519.0,2354.0
20170421  09:30:00,20520.0,20538.0,20498.0,20508.0,14250.0
20170421  10:00:00,20509.0,20528.0,20498.0,20523.0,7344.0
20170421  10:30:00,20524.0,20525.0,20495.0,20507.0,5494.0
20170421  11:00:00,20508.0,20530.0,20486.0,20524.0,8077.0
20170421  11:30:00,20525.0,20537.0,20518.0,20526.0,4447.0
20170421  12:00:00,20526.0,20527.0,20495.0,20502.0,5121.0
20170421  12:30:00,20502.0,20512.0,20497.0,20500.0,3031.0
20170421  13:00:00,20499.0,20503.0,20443.0,20477.0,9352.0
20170421  13:30:00,20477.0,20518.0,20466.0,20510.0,6028.0
20170421  14:00:00,20510.0,20530.0,20503.0,20526.0,5137.0
20170421  14:30:00,20525.0,20531.0,20508.0,20519.0,4184.0
20170421  15:00:00,20519.0,20521.0,20490.0,20500.0,6877.0
20170421  15:30:00,20499.0,20517.0,20487.0,20490.0,8609.0
20170421  16:00:00,20490.0,20506.0,20488.0,20501.0,3220.0
20170421  16:30:00,20501.0,20505.0,20491.0,20491.0,106.0
