Date,Open,High,Low,Close,Volume
20171011  18:00:00,0.7782,0.779,0.7782,0.7788,637.0
20171011  18:30:00,0.7788,0.7791,0.7787,0.7788,250.0
20171011  19:00:00,0.7788,0.7794,0.7787,0.7787,653.0
20171011  19:30:00,0.7787,0.7799,0.7785,0.7797,2274.0
20171011  20:00:00,0.7796,0.7804,0.7796,0.78,1569.0
20171011  20:30:00,0.78,0.7803,0.7792,0.78,1993.0
20171011  21:00:00,0.7799,0.7801,0.7795,0.7798,1026.0
20171011  21:30:00,0.7798,0.7803,0.7795,0.7798,717.0
20171011  22:00:00,0.7798,0.78,0.7796,0.7797,424.0
20171011  22:30:00,0.7798,0.7807,0.7798,0.7804,1930.0
20171011  23:00:00,0.7803,0.7817,0.7801,0.781,1808.0
20171011  23:30:00,0.781,0.7813,0.7808,0.7813,929.0
20171012  00:00:00,0.7812,0.7817,0.7811,0.7813,642.0
20171012  00:30:00,0.7813,0.7814,0.7809,0.781,504.0
20171012  01:00:00,0.781,0.7812,0.7805,0.7808,952.0
20171012  01:30:00,0.7808,0.7817,0.7807,0.7815,1252.0
20171012  02:00:00,0.7815,0.7817,0.7811,0.7816,1543.0
20171012  02:30:00,0.7816,0.7821,0.7811,0.7819,2932.0
20171012  03:00:00,0.7819,0.7829,0.7816,0.7825,4653.0
20171012  03:30:00,0.7824,0.7828,0.7821,0.7824,1686.0
20171012  04:00:00,0.7824,0.7824,0.7817,0.7822,1215.0
20171012  04:30:00,0.7822,0.7824,0.7819,0.7822,746.0
20171012  05:00:00,0.7822,0.7823,0.7812,0.7813,3050.0
20171012  05:30:00,0.7813,0.7817,0.7812,0.7812,968.0
20171012  06:00:00,0.7812,0.7818,0.7812,0.7817,1755.0
20171012  06:30:00,0.7818,0.7818,0.7809,0.7809,1867.0
20171012  07:00:00,0.7809,0.7813,0.7807,0.7811,1612.0
20171012  07:30:00,0.7811,0.7812,0.7804,0.7807,2073.0
20171012  08:00:00,0.7806,0.781,0.7805,0.7808,1780.0
20171012  08:30:00,0.7807,0.781,0.78,0.7805,4435.0
20171012  09:00:00,0.7805,0.7813,0.7801,0.7811,2336.0
20171012  09:30:00,0.7811,0.7813,0.7803,0.7806,2430.0
20171012  10:00:00,0.7806,0.7811,0.7802,0.781,2890.0
20171012  10:30:00,0.7808,0.782,0.7807,0.7818,4702.0
20171012  11:00:00,0.7818,0.782,0.7814,0.7818,3037.0
20171012  11:30:00,0.7818,0.7823,0.7816,0.7819,1959.0
20171012  12:00:00,0.7819,0.7827,0.7818,0.782,3512.0
20171012  12:30:00,0.7819,0.7823,0.7815,0.7815,2537.0
20171012  13:00:00,0.7816,0.7822,0.7815,0.7822,1523.0
20171012  13:30:00,0.7822,0.7828,0.7816,0.7826,3062.0
20171012  14:00:00,0.7826,0.7827,0.7824,0.7824,673.0
20171012  14:30:00,0.7824,0.7828,0.782,0.7823,3012.0
20171012  15:00:00,0.7823,0.7824,0.7819,0.782,1248.0
20171012  15:30:00,0.782,0.7822,0.7816,0.7817,892.0
20171012  16:00:00,0.7816,0.7817,0.7812,0.7812,503.0
20171012  16:30:00,0.7813,0.7817,0.7812,0.7813,519.0
20171012  18:00:00,0.7816,0.7819,0.7813,0.7819,574.0
20171012  18:30:00,0.7819,0.7822,0.7817,0.7819,310.0
20171012  19:00:00,0.7818,0.782,0.7815,0.782,420.0
20171012  19:30:00,0.7819,0.7822,0.7816,0.7822,482.0
20171012  20:00:00,0.7822,0.7824,0.7815,0.7823,1021.0
20171012  20:30:00,0.7822,0.7832,0.7821,0.7831,1226.0
20171012  21:00:00,0.783,0.7832,0.7821,0.7823,1280.0
20171012  21:30:00,0.7822,0.7827,0.782,0.7825,1224.0
20171012  22:00:00,0.7824,0.7834,0.7822,0.7832,1362.0
20171012  22:30:00,0.7832,0.7837,0.783,0.7832,1735.0
20171012  23:00:00,0.7832,0.7832,0.7827,0.7829,693.0
20171012  23:30:00,0.7829,0.783,0.7827,0.7829,444.0
20171013  00:00:00,0.7829,0.7833,0.7827,0.7828,608.0
20171013  00:30:00,0.7829,0.783,0.7826,0.7827,484.0
20171013  01:00:00,0.7826,0.7831,0.7826,0.783,1089.0
20171013  01:30:00,0.7829,0.7831,0.7827,0.783,669.0
20171013  02:00:00,0.783,0.7832,0.7822,0.7831,2454.0
20171013  02:30:00,0.7831,0.7835,0.7827,0.7828,2466.0
20171013  03:00:00,0.7829,0.7838,0.7824,0.7831,3679.0
20171013  03:30:00,0.7831,0.7834,0.7829,0.7834,1178.0
20171013  04:00:00,0.7834,0.784,0.7833,0.7835,2012.0
20171013  04:30:00,0.7835,0.7838,0.7833,0.7833,805.0
20171013  05:00:00,0.7833,0.7834,0.7829,0.7834,1478.0
20171013  05:30:00,0.7834,0.7839,0.7832,0.7839,1447.0
20171013  06:00:00,0.784,0.7843,0.7839,0.7842,1887.0
20171013  06:30:00,0.7842,0.7843,0.7838,0.784,1196.0
20171013  07:00:00,0.7841,0.7841,0.7834,0.7834,1400.0
20171013  07:30:00,0.7834,0.7835,0.7826,0.7828,2290.0
20171013  08:00:00,0.7827,0.7828,0.7819,0.7819,3778.0
20171013  08:30:00,0.7821,0.788,0.7818,0.787,22679.0
20171013  09:00:00,0.7869,0.7887,0.7866,0.7886,8240.0
20171013  09:30:00,0.7886,0.7891,0.7879,0.7885,7600.0
20171013  10:00:00,0.7885,0.7887,0.7876,0.7877,5852.0
20171013  10:30:00,0.7877,0.7886,0.7876,0.7882,5151.0
20171013  11:00:00,0.7882,0.7883,0.7873,0.7875,4481.0
20171013  11:30:00,0.7876,0.7881,0.7874,0.7878,1734.0
20171013  12:00:00,0.7877,0.7885,0.7875,0.7885,2311.0
20171013  12:30:00,0.7885,0.7886,0.7878,0.788,2115.0
20171013  13:00:00,0.788,0.788,0.7874,0.7878,2200.0
20171013  13:30:00,0.7879,0.7879,0.7875,0.7878,1342.0
20171013  14:00:00,0.7878,0.788,0.7873,0.788,1921.0
20171013  14:30:00,0.7879,0.7881,0.7877,0.7878,2049.0
20171013  15:00:00,0.7877,0.7879,0.7876,0.7878,1000.0
20171013  15:30:00,0.7877,0.7881,0.7877,0.7881,1238.0
20171013  16:00:00,0.7881,0.7884,0.7881,0.7881,678.0
20171013  16:30:00,0.788,0.7886,0.7878,0.7882,931.0
