2017-10-02 00:00:00,Last,ATR20,Close,PC,ACT,Date
AUDCAD,0.9792,0.00806,0.9792,0.00132937928214,1.0,20171002
AUDCHF,0.7628,0.006525,0.7628,0.00540398049295,1.0,20171002
AUDJPY,88.22,0.8145,88.22,0.000453617600363,1.0,20171002
AUDNZD,1.0874,0.00786,1.0874,0.00165806927045,1.0,20171002
AUDUSD,0.7825,0.00657,0.7825,-0.00140377743747,-1.0,20171002
CADCHF,0.7791803,0.007015902,0.7791803,0.00459716678644,1.0,20171002
CADJPY,90.08603216,0.8523715805,90.08603216,-0.000234223732008,-1.0,20171002
CHFJPY,115.63367253,0.711428811,115.63367253,-0.00474098055512,-1.0,20171002
EURAUD,1.4993,0.010955,1.4993,-0.0059010741281,-1.0,20171002
EURCAD,1.4681,0.012655,1.4681,-0.00461048206658,-1.0,20171002
EURCHF,1.1438,0.00684,1.1438,-0.000349589232652,-1.0,20171002
EURGBP,0.8837,0.007545,0.8837,0.00192743764172,1.0,20171002
EURJPY,132.27,1.0235,132.27,-0.00533914874417,-1.0,20171002
EURNZD,1.6304,0.01579,1.6304,-0.0040926027732,-1.0,20171002
EURUSD,1.1733,0.008365,1.1733,-0.00710840314801,-1.0,20171002
GBPAUD,1.69692856,0.016221149,1.69692856,-0.00746648248088,-1.0,20171002
GBPCAD,1.6614,0.017415,1.6614,-0.00639913880749,-1.0,20171002
GBPCHF,1.2942,0.01257,1.2942,-0.00238957835505,-1.0,20171002
GBPJPY,149.652,1.70035,149.652,-0.00751401001426,-1.0,20171002
GBPNZD,1.8449,0.020665,1.8449,-0.00603415764237,-1.0,20171002
GBPUSD,1.3277,0.012485,1.3277,-0.00880925718552,-1.0,20171002
NZDCAD,0.9004,0.00922,0.9004,-0.000333074275563,-1.0,20171002
NZDCHF,0.70165591,0.0066083895,0.70165591,0.00442042902799,1.0,20171002
NZDJPY,81.1227387,0.8410365275,81.1227387,-0.000567859230392,-1.0,20171002
NZDUSD,0.71968334,0.007541658,0.71968334,-0.00287873646834,-1.0,20171002
USDCAD,1.2512,0.010365,1.2512,0.00248377533851,1.0,20171002
USDCHF,0.9747,0.007515,0.9747,0.0066095218424,1.0,20171002
USDHKD,7.8126,0.007325,7.8126,7.68049155144e-05,1.0,20171002
USDJPY,112.71,0.962,112.71,0.00133262260128,1.0,20171002
USDSGD,1.3616,0.00643,1.3616,0.0031680542253,1.0,20171002
