Date,Open,High,Low,Close,Volume
20160504  18:50:00,936.93,937.48,936.38,937.48,12.0
20160509  11:00:00,946.92,946.92,940.0,940.67,24.0
20160509  11:10:00,943.65,943.65,942.22,942.71,25.0
20160509  11:20:00,942.33,943.19,941.96,942.87,29.0
20160509  11:30:00,943.6,944.86,942.87,942.91,34.0
20160509  11:40:00,943.38,945.42,943.24,945.26,37.0
20160509  11:50:00,944.45,947.99,943.22,947.85,14.0
20160509  12:00:00,949.71,951.47,949.07,951.1,32.0
20160509  12:10:00,951.96,952.22,951.6,952.2,13.0
20160509  12:20:00,952.1,952.57,951.23,952.57,19.0
20160509  12:30:00,952.23,952.95,952.22,952.47,33.0
20160509  12:40:00,952.5,953.14,952.5,953.14,20.0
20160509  12:50:00,954.68,954.82,953.49,953.71,11.0
20160509  13:00:00,954.56,955.91,954.53,955.91,27.0
20160509  13:10:00,955.66,957.19,955.63,956.55,33.0
20160509  13:20:00,956.43,956.55,956.05,956.22,16.0
20160509  13:30:00,956.02,956.34,955.82,955.82,11.0
20160509  13:40:00,956.11,956.11,955.94,955.98,4.0
20160509  14:30:00,954.44,954.84,954.31,954.49,37.0
20160509  14:40:00,954.19,954.19,953.54,953.54,10.0
20160509  14:50:00,953.67,954.03,953.5,953.5,22.0
20160509  15:00:00,953.77,954.02,953.31,953.59,22.0
20160509  15:10:00,954.79,955.21,954.33,954.33,7.0
20160509  15:20:00,955.15,955.68,954.8,954.8,37.0
20160509  15:30:00,954.66,954.66,953.33,954.04,6.0
20160509  15:40:00,954.17,954.45,953.92,954.21,14.0
20160509  15:50:00,955.0,955.03,954.89,954.89,4.0
20160509  16:00:00,954.75,956.41,954.64,956.35,14.0
20160509  16:10:00,956.3,957.05,955.29,956.77,15.0
20160509  16:20:00,957.21,957.68,955.4,955.4,18.0
20160509  16:30:00,955.25,955.28,954.67,954.89,9.0
20160509  16:40:00,954.99,955.03,954.67,954.67,14.0
20160509  16:50:00,954.6,954.6,952.75,952.76,18.0
20160509  17:00:00,952.43,953.38,952.43,953.38,20.0
20160509  17:10:00,954.37,955.42,954.37,955.33,12.0
20160509  17:20:00,955.31,955.34,954.27,954.38,16.0
20160509  17:30:00,954.34,954.34,953.83,953.87,11.0
20160509  17:40:00,953.03,955.36,953.02,955.3,16.0
20160509  17:50:00,953.21,953.38,952.53,952.65,28.0
20160509  18:00:00,953.24,954.76,953.24,954.64,37.0
20160509  18:10:00,954.65,955.82,954.6,955.82,22.0
20160509  18:20:00,955.14,955.22,953.05,953.05,13.0
20160509  18:30:00,953.49,953.49,953.2,953.2,14.0
20160509  18:40:00,952.28,952.9,951.61,951.76,16.0
20160509  18:50:00,950.99,951.03,950.29,950.31,59.0
20160510  11:00:00,954.47,960.93,954.47,958.9,13.0
20160510  11:10:00,958.8,963.47,958.54,962.47,16.0
20160510  11:20:00,962.3,962.3,961.3,961.55,9.0
20160510  11:30:00,961.18,963.12,961.18,962.03,18.0
20160510  11:40:00,961.14,962.35,961.14,962.25,39.0
20160510  11:50:00,962.35,962.39,962.06,962.06,4.0
20160510  12:00:00,961.98,963.3,961.82,963.3,16.0
20160510  12:10:00,963.05,963.26,961.76,961.8,10.0
20160510  12:20:00,961.85,962.83,961.19,962.83,66.0
20160510  12:30:00,961.35,961.67,961.19,961.19,13.0
20160510  12:40:00,961.41,961.46,961.01,961.45,34.0
20160510  12:50:00,962.17,962.71,961.62,961.7,31.0
20160510  13:00:00,961.73,961.99,960.51,960.54,11.0
20160510  13:10:00,960.79,962.16,960.79,962.08,10.0
20160510  13:20:00,962.54,965.24,962.54,965.23,9.0
20160510  13:30:00,965.47,965.83,964.39,964.39,13.0
20160510  13:40:00,963.99,964.18,963.42,964.18,25.0
20160510  13:50:00,963.48,963.6,962.67,962.87,16.0
20160510  14:00:00,963.4,963.61,962.71,963.61,4.0
20160510  14:10:00,963.69,963.76,963.47,963.67,19.0
20160510  14:20:00,964.22,964.29,963.54,963.56,9.0
20160510  14:30:00,963.39,964.04,963.39,963.93,7.0
20160510  14:40:00,963.35,964.45,963.35,964.45,20.0
20160510  14:50:00,964.61,964.65,964.06,964.06,29.0
20160510  15:00:00,962.72,962.83,960.95,961.05,34.0
20160510  15:10:00,961.7,961.73,960.5,960.51,25.0
20160510  15:20:00,960.4,960.4,959.33,959.69,25.0
20160510  15:30:00,960.29,961.2,960.29,961.2,8.0
20160510  15:40:00,961.26,961.29,960.71,960.95,8.0
20160510  15:50:00,960.94,960.94,960.66,960.75,28.0
20160510  16:00:00,960.86,961.0,960.53,960.61,23.0
20160510  16:10:00,960.46,961.21,960.46,961.04,45.0
20160510  16:20:00,960.71,960.82,959.66,959.66,7.0
20160510  16:30:00,959.92,960.61,959.81,960.14,23.0
20160510  16:40:00,959.96,959.98,959.82,959.92,5.0
20160510  16:50:00,961.08,961.21,960.86,960.94,18.0
20160510  17:00:00,960.61,960.61,959.92,959.98,10.0
20160510  17:10:00,959.48,960.93,959.41,960.34,27.0
20160510  17:20:00,960.3,960.3,958.97,959.25,9.0
20160510  17:30:00,959.15,959.76,958.14,958.18,14.0
20160510  17:40:00,958.28,959.07,958.13,959.07,16.0
20160510  17:50:00,959.66,959.68,958.53,958.64,56.0
20160510  18:00:00,957.97,958.06,956.93,957.04,31.0
20160510  18:10:00,957.74,958.54,957.66,958.52,11.0
20160510  18:20:00,958.96,959.2,958.74,958.75,10.0
20160510  18:30:00,958.69,959.67,958.69,959.67,10.0
20160510  18:40:00,959.04,959.24,958.82,959.22,11.0
20160510  18:50:00,958.75,960.05,958.61,960.04,32.0
20160511  11:00:00,960.51,960.52,955.73,956.94,14.0
20160511  11:10:00,956.7,957.76,956.7,957.22,43.0
20160511  11:20:00,956.7,956.7,954.34,955.46,19.0
20160511  11:30:00,956.15,957.37,955.74,957.0,44.0
20160511  11:40:00,957.24,957.24,955.45,955.63,37.0
20160511  12:20:00,954.36,954.39,954.36,954.37,3.0
20160511  12:30:00,953.58,955.18,953.52,955.02,13.0
20160511  12:40:00,955.79,956.69,955.78,956.09,31.0
20160511  12:50:00,954.92,956.62,954.92,956.27,8.0
20160511  13:00:00,956.61,957.11,956.59,956.86,21.0
20160511  13:10:00,957.1,957.19,955.68,955.68,30.0
20160511  13:20:00,955.89,956.45,955.89,955.89,13.0
20160511  13:30:00,955.94,957.34,955.94,957.34,4.0
20160511  13:50:00,956.35,956.39,956.35,956.39,3.0
20160511  14:00:00,956.0,956.01,955.39,955.79,45.0
