Date,Open,High,Low,Close,Volume
20160506  11:00:00,1594.0,1594.0,1593.3,1593.3,3.0
20160506  11:10:00,1594.3,1597.3,1594.2,1597.3,25.0
20160506  11:20:00,1598.6,1598.7,1598.2,1598.3,14.0
20160506  11:30:00,1598.0,1600.7,1597.8,1600.0,24.0
20160506  11:40:00,1599.9,1600.5,1599.7,1599.7,13.0
20160506  11:50:00,1599.5,1599.8,1599.1,1599.2,17.0
20160506  12:00:00,1599.4,1600.0,1599.1,1599.9,13.0
20160506  12:10:00,1601.1,1601.9,1601.1,1601.8,15.0
20160506  12:20:00,1601.6,1601.7,1599.9,1600.0,22.0
20160506  12:30:00,1600.8,1601.1,1600.3,1600.7,10.0
20160506  12:40:00,1600.9,1601.6,1600.6,1601.6,8.0
20160506  12:50:00,1601.8,1601.8,1600.2,1600.3,7.0
20160506  13:00:00,1600.3,1600.3,1599.1,1599.2,11.0
20160506  13:10:00,1599.3,1601.3,1599.2,1600.9,14.0
20160506  13:20:00,1600.7,1600.7,1599.8,1599.8,4.0
20160506  13:30:00,1600.1,1600.1,1598.7,1598.8,9.0
20160506  13:40:00,1599.2,1599.2,1598.7,1598.9,8.0
20160506  13:50:00,1599.5,1600.2,1599.4,1599.4,10.0
20160506  14:00:00,1600.0,1600.0,1599.3,1599.3,6.0
20160506  14:10:00,1599.4,1599.5,1598.6,1598.6,8.0
20160506  14:20:00,1598.4,1598.4,1597.3,1597.4,6.0
20160506  14:30:00,1598.3,1599.5,1596.9,1597.2,11.0
20160506  14:40:00,1597.4,1598.6,1597.3,1598.4,14.0
20160506  14:50:00,1598.9,1599.7,1598.4,1599.0,22.0
20160506  15:00:00,1600.9,1600.9,1598.3,1598.3,13.0
20160506  15:10:00,1598.3,1599.6,1598.3,1599.1,10.0
20160506  15:20:00,1598.6,1599.6,1597.5,1597.8,9.0
20160506  15:30:00,1597.6,1598.3,1597.2,1597.5,20.0
20160506  15:40:00,1598.2,1598.2,1598.0,1598.1,9.0
20160506  15:50:00,1598.1,1598.6,1598.0,1598.3,10.0
20160506  16:00:00,1598.3,1598.5,1598.2,1598.3,4.0
20160506  16:10:00,1598.6,1600.8,1598.5,1600.8,7.0
20160506  16:20:00,1600.7,1601.0,1600.1,1600.2,5.0
20160506  16:30:00,1595.7,1595.7,1595.5,1595.6,4.0
20160506  16:40:00,1594.7,1595.1,1594.5,1594.9,20.0
20160506  16:50:00,1595.2,1595.6,1594.6,1595.6,16.0
20160506  17:00:00,1595.9,1597.3,1595.7,1597.3,6.0
20160506  17:10:00,1597.4,1599.6,1597.4,1599.6,11.0
20160506  17:20:00,1600.3,1601.8,1600.3,1601.1,9.0
20160506  17:30:00,1600.6,1601.9,1600.6,1601.9,6.0
20160506  17:40:00,1604.6,1607.5,1604.6,1605.5,11.0
20160506  17:50:00,1604.0,1605.0,1603.2,1603.2,10.0
20160506  18:00:00,1602.4,1604.6,1601.8,1604.6,26.0
20160506  18:10:00,1604.9,1605.0,1602.5,1602.5,12.0
20160506  18:20:00,1602.1,1602.7,1601.6,1602.7,11.0
20160506  18:30:00,1603.3,1603.3,1602.1,1602.3,18.0
20160506  18:40:00,1599.8,1599.8,1597.6,1597.8,13.0
20160506  18:50:00,1597.5,1597.6,1597.2,1597.2,7.0
20160506  19:00:00,1598.6,1599.6,1598.5,1599.0,10.0
20160506  19:10:00,1598.5,1599.7,1597.9,1599.7,9.0
20160506  19:20:00,1600.7,1601.5,1599.7,1600.7,39.0
20160509  11:00:00,1609.0,1609.3,1608.9,1609.3,3.0
20160509  11:10:00,1608.6,1608.6,1607.3,1607.6,11.0
20160509  11:20:00,1607.1,1607.2,1606.2,1606.7,13.0
20160509  11:30:00,1605.5,1607.0,1605.5,1606.8,22.0
20160509  11:40:00,1607.1,1611.2,1607.1,1611.2,7.0
20160509  11:50:00,1610.5,1610.5,1609.2,1609.2,13.0
20160509  12:00:00,1611.3,1613.9,1611.2,1613.9,23.0
20160509  12:10:00,1615.1,1616.1,1614.5,1615.7,11.0
20160509  12:20:00,1615.6,1616.8,1615.2,1616.7,8.0
20160509  12:30:00,1617.9,1619.9,1617.9,1619.2,12.0
20160509  12:40:00,1618.8,1620.0,1618.1,1620.0,37.0
20160509  12:50:00,1620.4,1620.8,1620.4,1620.6,3.0
20160509  13:00:00,1621.5,1624.3,1621.5,1624.2,8.0
20160509  13:10:00,1624.8,1625.0,1623.7,1624.9,12.0
20160509  13:20:00,1624.7,1625.4,1623.1,1623.2,19.0
20160509  13:30:00,1623.3,1623.9,1623.2,1623.6,14.0
20160509  13:40:00,1624.8,1624.8,1624.4,1624.8,12.0
20160509  14:30:00,1625.0,1625.4,1624.9,1625.0,20.0
20160509  14:40:00,1624.4,1624.7,1623.8,1623.8,11.0
20160509  14:50:00,1623.9,1624.0,1623.5,1623.7,14.0
20160509  15:00:00,1623.8,1624.0,1623.1,1623.1,18.0
20160509  15:10:00,1623.7,1623.8,1623.5,1623.8,11.0
20160509  15:20:00,1624.4,1624.8,1623.7,1623.7,6.0
20160509  15:30:00,1624.2,1624.2,1622.5,1622.5,5.0
20160509  15:40:00,1622.6,1623.1,1622.6,1622.9,13.0
20160509  15:50:00,1623.5,1623.5,1623.4,1623.4,2.0
20160509  16:00:00,1622.1,1622.2,1620.9,1621.0,8.0
20160509  16:10:00,1620.3,1621.5,1620.2,1621.1,11.0
20160509  16:20:00,1620.6,1620.9,1620.2,1620.6,11.0
20160509  16:30:00,1620.6,1620.7,1619.4,1619.4,21.0
20160509  16:40:00,1619.5,1620.0,1619.1,1619.8,14.0
20160509  16:50:00,1620.1,1620.1,1618.1,1618.1,6.0
20160509  17:00:00,1617.9,1618.2,1617.0,1617.1,6.0
20160509  17:10:00,1617.4,1619.4,1617.4,1619.3,8.0
20160509  17:20:00,1620.0,1620.4,1620.0,1620.4,3.0
20160509  17:30:00,1620.7,1622.8,1620.1,1622.7,14.0
20160509  17:40:00,1622.9,1625.0,1622.8,1624.9,12.0
20160509  17:50:00,1623.5,1623.9,1621.5,1621.5,6.0
20160509  18:00:00,1622.4,1623.0,1622.3,1622.3,14.0
20160509  18:10:00,1622.2,1622.5,1621.7,1621.7,12.0
20160509  18:20:00,1621.0,1621.3,1618.8,1618.8,8.0
20160509  18:30:00,1618.7,1618.9,1618.5,1618.6,14.0
20160509  18:40:00,1617.7,1619.7,1617.6,1619.7,18.0
20160509  18:50:00,1620.0,1620.1,1619.7,1620.1,7.0
20160509  19:00:00,1619.9,1621.8,1619.8,1621.3,15.0
20160509  19:10:00,1621.1,1621.2,1619.4,1621.2,21.0
20160509  19:20:00,1621.4,1621.4,1620.1,1620.2,28.0
20160510  11:00:00,1625.7,1625.8,1624.9,1624.9,9.0
20160510  11:10:00,1622.7,1627.5,1622.7,1626.1,26.0
20160510  11:20:00,1626.4,1628.9,1626.3,1628.6,21.0
20160510  11:30:00,1625.5,1626.1,1625.3,1625.3,15.0
20160510  11:40:00,1624.3,1624.3,1623.2,1623.5,12.0
20160510  11:50:00,1623.4,1623.4,1622.5,1622.5,2.0
20160510  12:00:00,1621.4,1623.3,1621.4,1623.3,6.0
20160510  12:10:00,1624.3,1625.3,1622.1,1622.5,15.0
20160510  12:20:00,1622.3,1623.7,1622.0,1623.7,50.0
20160510  12:30:00,1623.9,1624.7,1623.9,1624.1,14.0
20160510  12:40:00,1622.9,1623.0,1621.6,1622.4,26.0
20160510  12:50:00,1625.3,1626.9,1625.3,1625.9,18.0
