Date,Open,High,Low,Close,Volume
20160505  23:50:00,4303.9,4306.88,4303.78,4306.02,382.0
20160506  10:00:00,4297.65,4300.98,4297.61,4300.63,91.0
20160506  10:10:00,4300.2,4300.67,4297.04,4298.9,120.0
20160506  10:20:00,4298.4,4298.94,4297.4,4298.39,48.0
20160506  10:30:00,4297.34,4299.15,4295.83,4296.38,125.0
20160506  10:40:00,4296.87,4297.68,4295.9,4296.03,105.0
20160506  10:50:00,4296.28,4299.26,4295.46,4299.26,104.0
20160506  11:00:00,4298.24,4298.24,4288.91,4289.43,217.0
20160506  11:10:00,4290.62,4298.23,4289.24,4297.91,321.0
20160506  11:20:00,4300.86,4301.12,4297.14,4297.62,203.0
20160506  11:30:00,4298.98,4303.28,4298.13,4300.83,213.0
20160506  11:40:00,4301.86,4302.4,4299.65,4300.6,105.0
20160506  11:50:00,4299.65,4300.49,4298.32,4299.61,173.0
20160506  12:00:00,4298.77,4300.79,4297.84,4300.76,132.0
20160506  12:10:00,4301.39,4303.15,4301.02,4302.94,134.0
20160506  12:20:00,4301.45,4301.57,4298.41,4299.69,132.0
20160506  12:30:00,4298.75,4299.92,4296.56,4299.78,100.0
20160506  12:40:00,4302.98,4303.97,4301.7,4303.2,141.0
20160506  12:50:00,4302.43,4303.01,4300.18,4301.72,92.0
20160506  13:00:00,4301.33,4301.33,4299.52,4300.81,89.0
20160506  13:10:00,4299.9,4301.23,4298.29,4298.66,161.0
20160506  13:20:00,4298.09,4299.1,4298.05,4298.85,82.0
20160506  13:30:00,4297.67,4297.71,4296.23,4297.04,92.0
20160506  13:40:00,4296.17,4298.94,4296.17,4298.33,113.0
20160506  13:50:00,4297.74,4299.37,4295.62,4296.09,91.0
20160506  14:00:00,4296.66,4297.22,4295.31,4296.85,54.0
20160506  14:10:00,4298.02,4298.22,4295.53,4295.86,59.0
20160506  14:20:00,4293.83,4294.27,4292.29,4293.25,67.0
20160506  14:30:00,4293.06,4293.3,4289.35,4291.68,174.0
20160506  14:40:00,4291.37,4294.12,4291.13,4293.47,92.0
20160506  14:50:00,4294.45,4296.57,4293.94,4294.56,105.0
20160506  15:00:00,4294.65,4295.22,4294.18,4294.21,75.0
20160506  15:10:00,4294.5,4295.54,4294.45,4294.88,98.0
20160506  15:20:00,4295.15,4295.15,4292.38,4292.82,128.0
20160506  15:30:00,4292.73,4293.28,4291.69,4291.87,47.0
20160506  15:40:00,4291.44,4292.9,4291.23,4292.44,71.0
20160506  15:50:00,4293.07,4295.41,4292.56,4295.32,85.0
20160506  16:00:00,4296.34,4296.91,4296.13,4296.63,50.0
20160506  16:10:00,4295.86,4297.74,4295.33,4297.06,90.0
20160506  16:20:00,4296.53,4297.47,4295.95,4296.79,83.0
20160506  16:30:00,4290.97,4291.03,4290.09,4290.76,91.0
20160506  16:40:00,4284.55,4285.18,4277.32,4277.71,206.0
20160506  16:50:00,4280.01,4284.35,4279.08,4283.71,217.0
20160506  17:00:00,4285.7,4286.67,4283.96,4284.73,184.0
20160506  17:10:00,4290.01,4290.05,4283.07,4289.25,242.0
20160506  17:20:00,4289.79,4291.23,4282.04,4284.17,235.0
20160506  17:30:00,4287.28,4294.87,4285.39,4294.66,379.0
20160506  17:40:00,4303.98,4314.81,4302.5,4303.63,389.0
20160506  17:50:00,4299.13,4303.29,4297.66,4298.36,360.0
20160506  18:00:00,4295.15,4306.92,4293.72,4305.8,567.0
20160506  18:10:00,4300.19,4301.44,4293.84,4294.44,518.0
20160506  18:20:00,4291.73,4292.59,4287.94,4291.15,334.0
20160506  18:30:00,4292.58,4296.65,4290.22,4292.89,451.0
20160506  18:40:00,4286.25,4287.23,4281.32,4281.45,378.0
20160506  18:50:00,4281.23,4285.58,4281.01,4283.89,378.0
20160506  19:00:00,4286.92,4287.47,4285.91,4287.31,280.0
20160506  19:10:00,4288.78,4294.87,4287.25,4294.69,346.0
20160506  19:20:00,4295.75,4297.49,4295.27,4297.08,280.0
20160506  19:30:00,4296.92,4297.59,4293.07,4293.87,289.0
20160506  19:40:00,4293.35,4294.21,4288.61,4289.42,252.0
20160506  19:50:00,4287.12,4287.82,4284.95,4285.19,269.0
20160506  20:00:00,4284.55,4287.13,4283.11,4286.32,278.0
20160506  20:10:00,4286.24,4287.4,4283.23,4283.76,211.0
20160506  20:20:00,4284.38,4286.87,4284.15,4286.24,172.0
20160506  20:30:00,4285.64,4285.64,4283.47,4284.97,177.0
20160506  20:40:00,4287.75,4291.59,4287.61,4290.49,227.0
20160506  20:50:00,4289.4,4294.97,4288.73,4294.41,252.0
20160506  21:00:00,4295.46,4302.46,4295.07,4301.6,302.0
20160506  21:10:00,4302.5,4307.92,4302.18,4307.24,260.0
