Date,Open,High,Low,Close,Volume
20160421  09:40:00,2.06788,2.07017,2.067385,2.06987,0.0
20160421  09:50:00,2.06987,2.07085,2.06886,2.06907,0.0
20160421  10:00:00,2.06907,2.072755,2.068645,2.07135,0.0
20160421  10:10:00,2.07135,2.071665,2.06866,2.069695,0.0
20160421  10:20:00,2.069695,2.071805,2.06896,2.07137,0.0
20160421  10:30:00,2.07137,2.075545,2.070635,2.0745,0.0
20160421  10:40:00,2.0745,2.07471,2.071,2.071555,0.0
20160421  10:50:00,2.071555,2.07157,2.067455,2.069195,0.0
20160421  11:00:00,2.069195,2.069715,2.065935,2.06718,0.0
20160421  11:10:00,2.06718,2.06926,2.065945,2.066035,0.0
20160421  11:20:00,2.066035,2.06757,2.065245,2.067485,0.0
20160421  11:30:00,2.067485,2.068435,2.06554,2.06576,0.0
20160421  11:40:00,2.06576,2.06646,2.06476,2.065595,0.0
20160421  11:50:00,2.065595,2.06813,2.064035,2.06798,0.0
20160421  12:00:00,2.06798,2.06892,2.06715,2.067425,0.0
20160421  12:10:00,2.067425,2.06863,2.06653,2.06663,0.0
20160421  12:20:00,2.06663,2.067645,2.065575,2.06735,0.0
20160421  12:30:00,2.06735,2.069945,2.06694,2.069705,0.0
20160421  12:40:00,2.069705,2.07143,2.06958,2.070725,0.0
20160421  12:50:00,2.070725,2.071595,2.06967,2.070815,0.0
20160421  13:00:00,2.070815,2.07108,2.069435,2.069565,0.0
20160421  13:10:00,2.069565,2.069985,2.068445,2.068925,0.0
20160421  13:20:00,2.068925,2.070485,2.06863,2.069855,0.0
20160421  13:30:00,2.069855,2.07102,2.069415,2.07101,0.0
20160421  13:40:00,2.07101,2.071075,2.06954,2.07021,0.0
20160421  13:50:00,2.07021,2.0713,2.070175,2.0711,0.0
20160421  14:00:00,2.0711,2.07369,2.071055,2.07348,0.0
20160421  14:10:00,2.07348,2.07533,2.07296,2.07451,0.0
20160421  14:20:00,2.07451,2.074565,2.07331,2.073775,0.0
20160421  14:30:00,2.073775,2.07465,2.073685,2.07391,0.0
20160421  14:40:00,2.07391,2.07455,2.07391,2.07416,0.0
20160421  14:50:00,2.07416,2.07458,2.07253,2.07283,0.0
20160421  15:00:00,2.07283,2.07347,2.072425,2.07267,0.0
20160421  15:10:00,2.07267,2.07357,2.072575,2.073135,0.0
20160421  15:20:00,2.073135,2.0754,2.072955,2.07381,0.0
20160421  15:30:00,2.07381,2.0754,2.073635,2.074885,0.0
20160421  15:40:00,2.074885,2.07507,2.07368,2.073875,0.0
20160421  15:50:00,2.073875,2.074235,2.072915,2.07322,0.0
20160421  16:10:00,2.07333,2.073625,2.072865,2.07347,0.0
20160421  16:20:00,2.07347,2.07455,2.073255,2.07395,0.0
20160421  16:30:00,2.07395,2.07463,2.073275,2.07335,0.0
20160421  16:40:00,2.07335,2.07346,2.072935,2.07314,0.0
20160421  16:50:00,2.07314,2.073185,2.07198,2.072225,0.0
20160421  17:00:00,2.072225,2.07333,2.071575,2.071635,0.0
20160421  17:10:00,2.071635,2.072575,2.07156,2.07211,0.0
20160421  17:20:00,2.07211,2.072155,2.071605,2.0721,0.0
20160421  17:30:00,2.0721,2.072735,2.07172,2.07273,0.0
20160421  17:40:00,2.07273,2.072765,2.072055,2.07223,0.0
20160421  17:50:00,2.07223,2.07232,2.071285,2.07232,0.0
20160421  18:00:00,2.07232,2.07267,2.07232,2.07251,0.0
20160421  18:10:00,2.07151,2.07223,2.07104,2.07191,0.0
20160421  18:20:00,2.07191,2.073495,2.071275,2.07189,0.0
20160421  18:30:00,2.07189,2.072115,2.071555,2.07192,0.0
20160421  18:40:00,2.07192,2.072495,2.071545,2.071585,0.0
20160421  18:50:00,2.07184,2.072085,2.071465,2.07147,0.0
20160421  19:00:00,2.07147,2.071685,2.070725,2.07106,0.0
20160421  19:10:00,2.07106,2.07136,2.070785,2.071145,0.0
20160421  19:20:00,2.071145,2.071855,2.070735,2.07169,0.0
20160421  19:30:00,2.07169,2.07188,2.071085,2.0713,0.0
20160421  19:40:00,2.0713,2.07149,2.07098,2.071005,0.0
20160421  19:50:00,2.071005,2.071105,2.070615,2.07067,0.0
20160421  20:00:00,2.07067,2.07128,2.07011,2.070295,0.0
20160421  20:10:00,2.070295,2.07163,2.070295,2.070845,0.0
20160421  20:20:00,2.070845,2.071555,2.07051,2.071555,0.0
20160421  20:30:00,2.071555,2.071555,2.070515,2.070645,0.0
20160421  20:40:00,2.070645,2.072645,2.07059,2.07258,0.0
20160421  20:50:00,2.07258,2.07399,2.07248,2.07384,0.0
20160421  21:00:00,2.07384,2.07472,2.069735,2.0705,0.0
20160421  21:10:00,2.0705,2.07203,2.07017,2.071885,0.0
20160421  21:20:00,2.071885,2.072025,2.070825,2.071165,0.0
20160421  21:30:00,2.071165,2.07222,2.07069,2.07176,0.0
20160421  21:40:00,2.07176,2.0721,2.070825,2.070865,0.0
20160421  21:50:00,2.07087,2.07118,2.06979,2.070645,0.0
20160421  22:00:00,2.070645,2.07128,2.07063,2.07107,0.0
20160421  22:10:00,2.07107,2.071885,2.07024,2.071335,0.0
20160421  22:20:00,2.071335,2.07142,2.0701,2.070655,0.0
20160421  22:30:00,2.070655,2.070875,2.068825,2.06886,0.0
20160421  22:40:00,2.06886,2.06991,2.06797,2.06976,0.0
20160421  22:50:00,2.06976,2.070015,2.06922,2.06979,0.0
20160421  23:00:00,2.069795,2.071355,2.06979,2.07084,0.0
20160421  23:10:00,2.07084,2.072555,2.07056,2.072165,0.0
20160421  23:20:00,2.072165,2.07288,2.06982,2.07038,0.0
20160421  23:30:00,2.07038,2.071245,2.06981,2.070605,0.0
20160421  23:40:00,2.070605,2.072355,2.07055,2.07194,0.0
20160421  23:50:00,2.07194,2.07321,2.071615,2.071715,0.0
20160422  00:00:00,2.071715,2.07401,2.07167,2.073915,0.0
20160422  00:10:00,2.07503,2.07525,2.07364,2.073685,0.0
