Date,Open,High,Low,Close,Volume
20160506  08:00:00,5271.25,5272.25,5268.25,5268.25,5.0
20160506  09:00:00,5268.25,5288.25,5266.25,5288.25,80.0
20160506  10:00:00,5282.25,5293.25,5272.25,5276.25,89.0
20160506  11:00:00,5273.75,5275.25,5260.25,5269.25,87.0
20160506  12:00:00,5266.25,5285.25,5266.25,5282.25,62.0
20160506  13:00:00,5280.25,5282.25,5274.25,5274.25,57.0
20160506  14:00:00,5271.25,5274.25,5265.25,5265.25,53.0
20160506  15:00:00,5265.25,5266.25,5258.25,5260.25,50.0
20160506  16:00:00,5259.25,5259.25,5233.25,5237.25,52.0
20160506  17:00:00,5236.25,5268.25,5233.25,5261.25,103.0
20160506  18:00:00,5260.75,5274.25,5257.25,5259.25,81.0
20160506  19:00:00,5265.25,5277.25,5262.25,5275.25,66.0
20160506  20:00:00,5275.25,5281.25,5274.25,5281.25,57.0
20160506  21:00:00,5282.25,5291.25,5282.25,5291.25,62.0
20160506  22:00:00,5293.25,5298.25,5292.25,5296.25,59.0
20160506  23:00:00,5293.25,5298.65,5283.25,5293.25,58.0
20160509  04:00:00,5302.5,5322.5,5302.5,5317.5,31.0
20160509  12:00:00,5332.25,5333.25,5332.25,5332.25,3.0
20160509  14:00:00,5338.26,5339.26,5336.25,5336.25,52.0
20160509  16:00:00,5332.26,5332.26,5327.26,5328.25,9.0
20160509  17:00:00,5328.25,5329.26,5319.26,5319.76,71.0
20160520  14:00:00,5343.25,5343.25,5343.25,5343.25,1.0
20160520  15:00:00,5343.26,5347.25,5343.25,5346.25,18.0
20160520  16:00:00,5347.25,5349.26,5344.25,5349.26,36.0
20160520  17:00:00,5352.25,5353.25,5344.25,5353.25,21.0
20160520  18:00:00,5359.75,5363.76,5356.25,5359.25,35.0
20160520  19:00:00,5359.26,5367.26,5358.26,5364.25,69.0
20160520  20:00:00,5362.25,5363.25,5360.25,5360.25,20.0
20160520  21:00:00,5359.25,5360.26,5348.25,5348.25,27.0
20160520  22:00:00,5352.25,5354.26,5347.25,5348.25,19.0
20160520  23:00:00,5349.25,5350.26,5341.25,5350.25,44.0
20160523  04:00:00,5364.5,5365.5,5315.5,5315.5,27.0
20160523  05:00:00,5311.5,5328.5,5307.5,5328.5,11.0
20160523  06:00:00,5347.5,5348.5,5347.5,5347.5,3.0
20160523  07:00:00,5346.5,5353.26,5338.25,5353.25,45.0
20160523  08:00:00,5355.25,5357.26,5340.25,5340.25,48.0
20160523  09:00:00,5338.25,5339.25,5328.26,5331.25,11.0
20160523  10:00:00,5326.25,5326.26,5322.25,5322.25,20.0
20160523  11:00:00,5315.25,5315.25,5310.26,5310.26,4.0
20160523  12:00:00,5341.25,5342.25,5337.26,5338.26,11.0
20160523  13:00:00,5336.25,5341.26,5336.25,5337.25,30.0
20160523  14:00:00,5335.25,5335.25,5328.25,5329.25,25.0
20160523  15:00:00,5327.25,5337.26,5325.26,5335.25,39.0
20160523  16:00:00,5334.25,5335.25,5329.25,5329.25,14.0
20160523  17:00:00,5328.25,5330.26,5323.75,5327.75,19.0
20160523  18:00:00,5326.25,5330.26,5325.26,5325.26,8.0
20160523  19:00:00,5330.26,5330.26,5322.25,5323.25,3.0
20160523  20:00:00,5329.25,5333.26,5327.25,5333.26,20.0
20160523  21:00:00,5333.25,5334.26,5329.25,5330.26,12.0
20160523  22:00:00,5331.25,5331.25,5331.25,5331.25,1.0
20160523  23:00:00,5330.25,5330.25,5322.25,5326.26,30.0
20160524  04:00:00,5318.5,5319.5,5318.5,5319.5,2.0
20160524  05:00:00,5313.5,5314.5,5313.5,5314.5,2.0
20160524  06:00:00,5314.5,5315.5,5314.5,5315.5,2.0
20160524  07:00:00,5313.5,5319.25,5311.25,5319.25,20.0
20160524  09:00:00,5319.25,5320.26,5311.25,5311.25,8.0
20160524  10:00:00,5289.26,5290.25,5286.25,5287.25,17.0
20160524  11:00:00,5286.25,5289.25,5285.25,5288.25,19.0
20160524  12:00:00,5317.25,5320.25,5316.25,5317.26,17.0
20160524  13:00:00,5315.76,5325.25,5315.75,5323.26,39.0
20160524  14:00:00,5322.25,5327.26,5322.25,5325.25,10.0
20160524  15:00:00,5326.25,5328.26,5325.25,5328.26,23.0
20160524  16:00:00,5333.25,5334.25,5333.25,5334.25,7.0
20160524  17:00:00,5334.25,5334.25,5330.25,5334.25,3.0
20160524  18:00:00,5344.25,5357.25,5343.25,5357.25,30.0
20160524  19:00:00,5359.26,5364.25,5357.26,5363.25,26.0
20160524  20:00:00,5363.26,5363.26,5358.25,5358.26,4.0
20160524  21:00:00,5363.26,5364.26,5359.25,5360.25,17.0
20160524  22:00:00,5359.25,5359.26,5357.25,5357.26,17.0
20160524  23:00:00,5366.25,5366.25,5365.25,5365.26,6.0
20160525  04:00:00,5368.5,5382.5,5366.5,5382.5,10.0
20160525  05:00:00,5386.5,5393.5,5380.5,5391.5,35.0
20160525  06:00:00,5390.5,5395.5,5388.5,5394.5,22.0
20160525  08:00:00,5393.65,5393.65,5388.25,5388.25,4.0
20160525  09:00:00,5389.25,5389.25,5382.25,5384.25,33.0
20160525  10:00:00,5361.26,5361.26,5355.25,5355.25,3.0
20160525  11:00:00,5354.25,5365.25,5353.26,5363.25,12.0
20160525  12:00:00,5369.25,5371.25,5368.25,5368.25,7.0
20160525  14:00:00,5369.25,5369.25,5369.25,5369.25,1.0
20160525  20:00:00,5391.25,5393.26,5391.25,5393.26,3.0
20160525  21:00:00,5398.25,5398.25,5398.25,5398.25,1.0
20160525  22:00:00,5396.26,5397.25,5396.26,5397.25,2.0
20160526  09:00:00,5387.25,5390.26,5384.25,5390.25,13.0
20160526  10:00:00,5389.25,5389.25,5387.25,5387.25,4.0
20160526  11:00:00,5383.25,5393.26,5382.25,5390.25,50.0
20160526  12:00:00,5389.25,5390.26,5388.25,5388.25,22.0
20160526  13:00:00,5392.25,5393.25,5390.25,5393.25,10.0
20160526  14:00:00,5393.25,5394.25,5392.25,5394.25,6.0
20160526  15:00:00,5400.25,5400.25,5400.25,5400.25,1.0
20160526  16:00:00,5398.26,5399.25,5394.25,5396.26,6.0
20160527  14:00:00,5420.25,5420.26,5417.25,5417.25,6.0
20160527  15:00:00,5420.25,5421.25,5419.25,5420.26,24.0
20160527  16:00:00,5419.26,5421.25,5416.25,5418.25,19.0
