Date,Open,High,Low,Close,Volume
20160505  18:00:00,166.44,166.44,166.44,166.44,1.0
20160506  11:00:00,166.82,168.27,166.49,167.89,20.0
20160506  12:00:00,167.06,167.59,165.48,167.48,42.0
20160506  13:00:00,167.27,168.47,166.75,168.17,38.0
20160506  14:00:00,167.69,168.35,166.34,166.87,39.0
20160506  15:00:00,165.7,168.14,165.7,168.06,40.0
20160506  16:00:00,168.13,168.2,167.17,168.13,31.0
20160506  17:00:00,168.57,168.69,166.93,167.3,37.0
20160506  18:00:00,167.52,167.97,167.38,167.62,7.0
20160509  11:00:00,167.2,170.85,167.2,169.86,28.0
20160509  12:00:00,169.9,170.31,168.94,170.29,43.0
20160509  14:00:00,169.24,169.58,169.23,169.37,36.0
