Date,Close,High,Low,Open,Volume,index
20160308  12:00:00,0.742475,0.743835,0.74218,0.74342,0.0,
20160308  13:00:00,0.74333,0.74345,0.742415,0.742475,0.0,
20160308  14:00:00,0.74283,0.74347,0.742345,0.74333,0.0,
20160308  15:00:00,0.74153,0.74322,0.741235,0.74283,0.0,
20160308  16:00:00,0.741725,0.742225,0.741275,0.74153,0.0,
20160308  17:00:00,0.742235,0.742495,0.74156,0.741725,0.0,
20160308  18:00:00,0.7427,0.742885,0.74211,0.742235,0.0,
20160308  19:00:00,0.743055,0.74362,0.742615,0.7427,0.0,
20160308  20:00:00,0.742775,0.74324,0.74228,0.743055,0.0,
20160308  21:00:00,0.7436,0.74397,0.742775,0.742775,0.0,
20160308  22:00:00,0.745495,0.74619,0.74321,0.7436,0.0,
20160308  23:00:00,0.747775,0.748795,0.74548,0.745495,0.0,
20160309  00:00:00,0.74921,0.74947,0.746895,0.747775,0.0,
20160309  01:00:00,0.748225,0.749475,0.74799,0.74921,0.0,
20160309  02:00:00,0.748675,0.749875,0.747885,0.748225,0.0,
20160309  03:00:00,0.747725,0.74942,0.746675,0.748675,0.0,
20160309  04:00:00,0.74971,0.749975,0.747445,0.747725,0.0,
20160309  05:00:00,0.750395,0.751145,0.749105,0.74971,0.0,
20160309  06:00:00,0.752735,0.752815,0.750295,0.750395,0.0,
20160309  07:00:00,0.751245,0.75276,0.75109,0.752735,0.0,
20160309  08:00:00,0.751195,0.751625,0.75082,0.751245,0.0,
20160309  09:00:00,0.751395,0.751645,0.750095,0.751195,0.0,
20160309  10:00:00,0.748625,0.751745,0.747935,0.751395,0.0,
20160309  11:00:00,0.74859,0.74882,0.747895,0.748625,0.0,
20160309  12:00:00,0.74738,0.748625,0.74659,0.7485,0.0,
20160309  13:00:00,0.74672,0.74797,0.7467,0.74738,0.0,
20160309  14:00:00,0.74701,0.747485,0.746335,0.74672,0.0,
20160309  15:00:00,0.74701,0.748185,0.7462,0.74701,0.0,
20160309  16:00:00,0.74801,0.74814,0.746815,0.74701,0.0,
20160309  17:00:00,0.747945,0.74847,0.747725,0.74801,0.0,
20160309  18:00:00,0.747255,0.748065,0.747125,0.747945,0.0,
20160309  19:00:00,0.748175,0.748235,0.747225,0.747255,0.0,
20160309  20:00:00,0.74835,0.74886,0.747545,0.748175,0.0,
20160309  21:00:00,0.74689,0.74836,0.745575,0.74835,0.0,
20160309  22:00:00,0.748665,0.749845,0.746095,0.74689,0.0,
20160309  23:00:00,0.747335,0.749005,0.74724,0.748665,0.0,
20160310  00:00:00,0.7477,0.74789,0.74729,0.747335,0.0,
20160310  01:00:00,0.748685,0.74875,0.747645,0.7477,0.0,
20160310  02:00:00,0.748865,0.749995,0.747695,0.748685,0.0,
20160310  03:00:00,0.747455,0.750125,0.74567,0.748865,0.0,
20160310  04:00:00,0.744535,0.75123,0.743555,0.747455,0.0,
20160310  05:00:00,0.744675,0.747235,0.744295,0.744535,0.0,
20160310  06:00:00,0.744355,0.744895,0.74353,0.744675,0.0,
20160310  07:00:00,0.74333,0.74547,0.74272,0.744355,0.0,
20160310  08:00:00,0.74462,0.745125,0.743205,0.74333,0.0,
20160310  09:00:00,0.74528,0.745525,0.74454,0.74462,0.0,
20160310  10:00:00,0.745025,0.74545,0.74414,0.74528,0.0,
20160310  11:00:00,0.745425,0.745635,0.74468,0.745025,0.0,
20160310  12:00:00,0.74541,0.745745,0.744785,0.7452,0.0,
20160310  13:00:00,0.745775,0.746215,0.745145,0.74541,0.0,
20160310  14:00:00,0.7452,0.74613,0.744665,0.745775,0.0,
20160310  15:00:00,0.746775,0.74785,0.744875,0.7452,0.0,
20160310  16:00:00,0.74737,0.747585,0.74611,0.746775,0.0,
20160310  17:00:00,0.748885,0.74987,0.74737,0.74737,0.0,
20160310  18:00:00,0.748775,0.74948,0.74841,0.748885,0.0,
20160310  19:00:00,0.748705,0.74907,0.748355,0.748775,0.0,
20160310  20:00:00,0.749405,0.750475,0.748545,0.748705,0.0,
20160310  21:00:00,0.75001,0.750345,0.748695,0.749405,0.0,
20160310  22:00:00,0.748715,0.750135,0.748215,0.75001,0.0,
20160310  23:00:00,0.749865,0.750135,0.748595,0.748715,0.0,
20160311  00:00:00,0.750405,0.75147,0.74984,0.749865,0.0,
20160311  01:00:00,0.750145,0.75106,0.749635,0.750405,0.0,
20160311  02:00:00,0.75053,0.75078,0.749515,0.750145,0.0,
