Date,Open,High,Low,Close,Volume
20160421  15:30:00,2103.9,2105.79,2103.41,2103.9,319.0
20160421  16:00:00,2103.57,2106.16,2103.28,2105.96,399.0
20160421  16:30:00,2105.27,2106.57,2102.49,2103.42,626.0
20160421  17:00:00,2102.46,2103.73,2101.81,2102.73,304.0
20160421  17:30:00,2102.17,2102.63,2096.94,2097.66,637.0
20160421  18:00:00,2096.56,2099.06,2094.42,2098.64,636.0
20160421  18:30:00,2097.62,2102.12,2097.47,2100.99,609.0
20160421  19:00:00,2102.16,2102.3,2098.75,2100.59,448.0
20160421  19:30:00,2100.11,2100.55,2095.59,2095.84,543.0
20160421  20:00:00,2094.81,2096.39,2094.28,2095.87,514.0
20160421  20:30:00,2096.4,2097.9,2094.1,2095.35,395.0
20160421  21:00:00,2094.8,2096.57,2092.89,2093.8,376.0
20160421  21:30:00,2093.05,2094.91,2091.3,2092.0,447.0
20160421  22:00:00,2091.54,2092.35,2090.45,2090.78,380.0
20160421  22:30:00,2089.03,2090.42,2087.58,2090.32,401.0
20160421  23:00:00,2092.03,2092.59,2088.53,2088.79,261.0
20160421  23:30:00,2088.6,2092.38,2088.59,2090.47,544.0
20160422  10:00:00,2091.12,2092.38,2090.63,2092.38,185.0
20160422  10:30:00,2093.06,2093.91,2091.87,2092.15,187.0
20160422  11:00:00,2091.71,2092.12,2088.1,2090.12,550.0
20160422  11:30:00,2090.96,2091.53,2088.86,2090.4,497.0
20160422  12:00:00,2090.0,2091.27,2088.96,2090.42,366.0
20160422  12:30:00,2090.58,2090.58,2085.65,2086.23,344.0
20160422  13:00:00,2084.77,2088.08,2084.76,2087.79,156.0
20160422  13:30:00,2087.87,2089.1,2086.64,2086.96,263.0
20160422  14:00:00,2088.61,2091.93,2088.12,2091.44,230.0
20160422  14:30:00,2092.12,2092.66,2090.02,2091.9,205.0
20160422  15:00:00,2091.62,2093.09,2090.9,2091.22,181.0
20160422  15:30:00,2090.92,2091.33,2089.84,2090.14,193.0
20160422  16:00:00,2090.52,2091.36,2087.58,2089.07,237.0
20160422  18:00:00,2091.67,2091.81,2086.6,2087.26,424.0
20160422  18:30:00,2087.95,2087.95,2080.62,2081.62,622.0
20160422  19:00:00,2082.33,2084.08,2081.01,2082.54,511.0
20160422  19:30:00,2082.18,2085.9,2082.16,2084.59,586.0
20160422  20:00:00,2085.17,2085.55,2082.34,2083.38,408.0
20160422  20:30:00,2082.08,2083.63,2081.18,2082.18,412.0
20160422  21:00:00,2083.31,2084.84,2082.24,2082.55,358.0
20160422  22:00:00,2088.55,2091.63,2087.43,2091.57,414.0
20160422  22:30:00,2090.92,2091.32,2090.42,2091.26,216.0
20160422  23:00:00,2089.6,2091.38,2088.8,2090.64,335.0
20160425  10:00:00,2088.42,2089.22,2087.59,2089.2,204.0
20160425  10:30:00,2089.43,2090.61,2088.98,2089.47,293.0
20160425  11:00:00,2089.7,2090.81,2083.33,2083.64,1019.0
20160425  11:30:00,2082.83,2083.31,2081.59,2082.2,528.0
20160425  12:00:00,2081.61,2082.68,2079.09,2080.42,1018.0
