Date,Open,High,Low,Close,Volume
20160421  09:30:00,0.76591,0.766495,0.763335,0.763335,0.0
20160421  10:00:00,0.763335,0.763445,0.76156,0.762795,0.0
20160421  10:30:00,0.762795,0.766015,0.76258,0.765245,0.0
20160421  11:00:00,0.765245,0.76706,0.76473,0.76681,0.0
20160421  11:30:00,0.76681,0.767625,0.76527,0.76539,0.0
20160421  12:00:00,0.76539,0.765595,0.76443,0.765485,0.0
20160421  12:30:00,0.765485,0.765795,0.7643,0.76492,0.0
20160421  13:00:00,0.76492,0.76521,0.76383,0.76515,0.0
20160421  13:30:00,0.76515,0.7653,0.764035,0.764685,0.0
20160421  14:00:00,0.764685,0.76496,0.76392,0.76464,0.0
20160421  14:30:00,0.76464,0.76517,0.76415,0.76517,0.0
20160421  15:00:00,0.76517,0.76585,0.76405,0.76422,0.0
20160421  15:30:00,0.76422,0.76544,0.76421,0.76538,0.0
20160421  16:00:00,0.76538,0.76571,0.76526,0.765435,0.0
20160421  16:30:00,0.765435,0.766055,0.765135,0.76587,0.0
20160421  17:00:00,0.76587,0.76603,0.76545,0.765995,0.0
20160421  17:30:00,0.765995,0.76634,0.76565,0.765765,0.0
20160421  18:00:00,0.765975,0.766265,0.76582,0.766125,0.0
20160421  18:30:00,0.766125,0.766295,0.765475,0.765625,0.0
