Date,Open,High,Low,Close,Volume
2016-04-04 12:28,368.47,368.47,368.47,368.47,1.53
2016-04-04 12:31,368.81,368.81,368.81,368.81,1.32
2016-04-04 12:32,369.0,369.0,369.0,369.0,0.51
2016-04-04 12:34,368.88,368.88,368.88,368.88,0.24
2016-04-04 12:37,369.16,369.16,369.16,369.16,0.13
2016-04-04 12:39,368.59,368.59,368.58,368.58,3.0074
2016-04-04 12:43,368.97,368.97,368.97,368.97,0.07
2016-04-04 12:44,368.97,368.98,368.97,368.98,0.3974
2016-04-04 12:45,368.45,369.01,368.45,369.01,0.45
2016-04-04 12:46,368.67,368.67,368.67,368.67,0.1
2016-04-04 12:50,368.77,368.93,368.77,368.93,1.12
2016-04-04 12:51,368.95,368.95,368.95,368.95,0.05
2016-04-04 12:53,368.52,368.52,368.51,368.51,4.37512437
2016-04-04 12:55,368.74,368.83,368.74,368.83,0.29
2016-04-04 12:58,368.8,368.8,368.8,368.8,0.03
2016-04-04 12:59,368.77,368.77,368.77,368.77,0.05
2016-04-04 13:01,368.55,368.79,368.55,368.79,0.3078
2016-04-04 13:02,368.71,368.71,368.44,368.44,0.54
2016-04-04 13:04,368.89,368.89,368.89,368.89,0.09
2016-04-04 13:05,368.89,368.89,368.89,368.89,0.56
2016-04-04 13:06,368.86,368.9,368.86,368.9,12.6
2016-04-04 13:07,368.76,368.8,368.64,368.65,6.31
2016-04-04 13:08,368.77,368.77,368.77,368.77,0.01
2016-04-04 13:09,368.77,368.89,368.77,368.89,1.57
2016-04-04 13:10,368.89,369.2,368.89,369.2,12.6
2016-04-04 13:11,368.87,368.87,368.44,368.44,4.21522613
2016-04-04 13:12,368.66,368.7,368.66,368.7,1.35
2016-04-04 13:13,368.7,369.1,368.7,369.04,0.58922613
2016-04-04 13:16,368.66,368.7,368.66,368.7,0.608
2016-04-04 13:17,368.67,368.67,368.67,368.67,0.66
2016-04-04 13:18,368.67,368.69,368.67,368.69,2.74
2016-04-04 13:19,369.08,369.09,369.08,369.09,3.25
2016-04-04 13:21,368.71,369.18,368.69,369.17,1.87855
2016-04-04 13:22,369.2,369.2,369.2,369.2,0.06
2016-04-04 13:23,368.85,368.85,368.85,368.85,0.03
2016-04-04 13:24,368.86,368.86,368.86,368.86,0.23
2016-04-04 13:25,369.11,369.11,369.11,369.11,0.01
2016-04-04 13:26,368.45,369.07,368.37,369.07,3.81076676
