Date,Open,High,Low,Close,Volume
2016-05-04 22:26,449.39,449.39,449.39,449.39,0.13572
2016-05-04 22:35,449.34,449.439,449.34,449.439,3.344
2016-05-04 22:43,449.38,449.38,449.38,449.38,0.14843
2016-05-04 22:53,449.38,449.38,449.38,449.38,7.34345097
2016-05-04 22:57,449.45,449.45,449.45,449.45,0.846
2016-05-04 23:02,449.45,449.45,449.45,449.45,2.16994
2016-05-04 23:14,449.469,449.469,449.469,449.469,0.12723
2016-05-04 23:15,449.45,449.45,449.45,449.45,20.396
2016-05-04 23:41,449.45,449.45,449.45,449.45,19.81931279
2016-05-05 00:01,449.1,449.1,449.1,449.1,0.75
2016-05-05 00:08,449.09,449.09,449.09,449.09,4.4
2016-05-05 00:17,448.3,448.3,448.3,448.3,1.1547
2016-05-05 00:20,448.35,448.35,448.31,448.31,0.60814321
2016-05-05 00:21,448.36,448.36,447.831,447.831,3.30832435
2016-05-05 00:34,447.77,447.77,447.74,447.74,0.33994041
2016-05-05 00:37,448.97,448.98,448.97,448.98,0.65552612
2016-05-05 01:03,448.84,449.489,448.84,449.489,79.32024025
