Date,Open,High,Low,Close,Volume
2016.07.05 08:58,8720.09000000,8733.090000002016.04.15 09:59,9202.01,9208.83,9198.99,9201.58,23
2016.04.19 09:59,9181.25,9181.25,9181.25,9181.25,4
2016.06.24 09:59,8394.64,8394.64,8394.64,8394.64,5
2016.06.27 04:20,8393.48,8393.48,8393.48,8393.48,1
2016.06.27 04:30,8408.18,8415.25,8400.05,8415.25,14
2016.06.27 04:31,8414.00,8419.51,8400.08,8403.23,28
2016.06.27 04:32,8402.19,8410.74,8402.19,8409.62,27
2016.06.27 04:33,8408.37,8419.53,8408.37,8417.32,30
2016.06.27 04:34,8419.37,8421.47,8405.94,8412.40,29
2016.06.27 04:35,8413.94,8431.69,8413.94,8415.33,28
2016.06.27 04:36,8415.29,8430.71,8413.26,8425.27,29
2016.06.27 04:37,8423.63,8436.16,8423.63,8432.91,29
2016.06.27 04:38,8432.80,8440.86,8429.98,8434.63,30
2016.06.27 04:39,8436.23,8441.94,8435.06,8441.94,26
2016.06.27 04:40,8444.41,8455.23,8439.45,8441.72,28
2016.06.27 04:41,8438.28,8446.80,8436.47,8440.42,29
2016.06.27 04:42,8442.42,8461.58,8442.42,8457.98,23
2016.06.27 04:43,8457.69,8460.39,8451.74,8456.46,28
2016.06.27 04:44,8462.40,8462.40,8446.00,8446.00,30
2016.06.27 04:45,8449.16,8453.61,8440.07,8443.18,28
2016.06.27 04:46,8442.76,8446.82,8426.62,8426.62,30
2016.06.27 04:47,8431.17,8440.55,8427.97,8427.97,28
2016.06.27 04:48,8428.98,8439.28,8427.13,8436.30,29
2016.06.27 04:49,8435.56,8442.66,8432.26,8435.08,26
2016.06.27 04:50,8439.70,8445.48,8433.35,8437.36,29
2016.06.27 04:51,8439.44,8453.81,8438.40,8440.96,28
2016.06.27 04:52,8442.75,8449.04,8439.77,8449.04,25
2016.06.27 04:53,8446.14,8452.99,8439.98,8441.33,25
2016.06.27 04:54,8440.37,8446.18,8437.36,8445.05,26
2016.06.27 04:55,8444.07,8444.52,8434.50,8443.09,26
2016.06.27 04:56,8442.45,8455.16,8439.76,8453.23,26
2016.06.27 04:57,8452.21,8460.35,8447.63,8456.64,26
2016.06.27 04:58,8454.34,8466.23,8454.34,8458.97,28
2016.06.27 04:59,8460.15,8469.77,8458.99,8469.22,29
2016.06.27 05:00,8466.62,8480.26,8466.62,8479.18,28
2016.06.27 05:01,8475.80,8477.52,8466.15,8472.97,28
