Date,Open,High,Low,Close,Volume
2016.06.24 22:59,2741.50000000,2743.400000002016.05.19 20:22,2920.60,2921.50,2920.50,2920.50,18
2016.05.19 20:23,2920.50,2920.50,2919.50,2919.50,2
2016.05.19 20:24,2920.60,2920.80,2919.50,2920.50,15
2016.05.19 20:25,2920.80,2921.60,2920.50,2920.50,9
2016.05.19 20:26,2921.50,2921.50,2920.50,2920.50,4
2016.05.19 20:27,2921.50,2921.50,2920.60,2921.50,3
2016.05.19 20:28,2921.50,2922.60,2921.50,2921.60,23
2016.05.19 20:29,2922.50,2922.50,2921.50,2921.50,2
2016.05.19 20:30,2922.60,2923.60,2921.50,2922.50,14
2016.05.19 20:31,2922.80,2922.80,2922.50,2922.50,9
2016.05.19 20:32,2921.60,2922.80,2921.60,2922.50,18
2016.05.19 20:33,2922.50,2923.50,2921.50,2923.50,16
2016.05.19 20:34,2923.50,2924.50,2923.50,2923.50,13
2016.05.19 20:35,2924.80,2924.80,2923.50,2924.50,12
2016.05.19 20:36,2924.50,2925.50,2924.50,2924.50,18
2016.05.19 20:37,2925.50,2925.60,2924.50,2924.60,8
2016.05.19 20:38,2925.50,2925.80,2924.50,2924.50,8
2016.05.19 20:39,2925.50,2925.50,2923.50,2923.60,9
2016.05.19 20:40,2924.60,2924.80,2923.60,2924.50,5
2016.05.19 20:41,2924.60,2925.50,2924.60,2924.60,5
2016.05.19 20:42,2925.60,2926.60,2924.50,2926.60,18
2016.05.19 20:43,2925.60,2926.60,2925.60,2926.60,13
2016.05.19 20:44,2926.50,2926.60,2925.60,2926.60,3
2016.05.19 20:45,2926.50,2927.60,2926.50,2927.60,6
2016.05.19 20:46,2927.50,2927.50,2925.60,2925.60,15
2016.05.19 20:47,2926.60,2926.80,2925.50,2925.50,10
2016.05.19 20:48,2926.50,2926.50,2924.50,2924.60,14
2016.05.19 20:49,2924.50,2925.80,2924.50,2924.50,16
2016.05.19 20:50,2925.60,2925.80,2924.50,2924.50,15
2016.05.19 20:51,2923.50,2924.60,2923.50,2924.60,14
2016.05.19 20:52,2924.60,2925.60,2923.60,2923.60,9
2016.05.19 20:53,2924.50,2924.50,2923.50,2924.50,5
2016.05.19 20:54,2924.60,2924.60,2923.50,2923.60,10
2016.05.19 20:55,2922.50,2923.60,2922.50,2923.60,8
2016.05.19 20:56,2923.50,2923.80,2923.50,2923.60,10
2016.05.19 20:57,2923.60,2924.80,2923.50,2924.60,6
2016.05.19 20:58,2923.50,2924.50,2922.60,2922.60,5
2016.05.19 20:59,2922.50,2922.80,2922.50,2922.60,4
2016.05.19 21:00,2923.50,2924.60,2923.50,2923.50,14
2016.05.19 21:01,2924.60,2924.60,2923.60,2923.60,6
2016.05.19 21:02,2924.50,2924.50,2923.50,2923.60,9
2016.05.19 21:03,2924.50,2924.60,2923.80,2924.60,8
2016.05.19 21:04,2925.50,2925.50,2923.50,2923.50,5
2016.05.19 21:05,2923.80,2924.50,2923.50,2923.60,13
2016.05.19 21:06,2924.50,2924.80,2923.50,2924.50,27
2016.05.19 21:07,2924.60,2924.80,2924.50,2924.50,17
2016.05.19 21:08,2925.80,2926.50,2924.80,2925.50,20
2016.05.19 21:09,2926.50,2926.60,2925.50,2926.50,20
