Date,Open,High,Low,Close,Volume
2016.06.27 22:59,4019.90000000,4022.400000002016.04.15 22:59,4482.25,4482.25,4482.25,4482.25,5
2016.04.19 16:21,4554.35,4555.35,4554.35,4555.35,27
2016.04.19 16:22,4555.25,4555.25,4555.15,4555.15,4
2016.06.24 22:59,4067.90,4067.90,4067.90,4067.90,5
2016.06.27 09:01,4054.05,4056.45,4045.95,4048.35,146
2016.06.27 09:02,4048.25,4049.05,4037.15,4038.35,147
2016.06.27 09:03,4037.75,4042.85,4036.15,4041.35,110
2016.06.27 09:04,4041.75,4049.85,4041.75,4048.75,99
2016.06.27 09:05,4049.45,4052.75,4048.05,4048.55,79
2016.06.27 09:06,4047.25,4062.55,4046.85,4062.25,101
2016.06.27 09:07,4061.25,4061.35,4052.55,4058.65,70
2016.06.27 09:08,4058.85,4066.55,4058.15,4064.65,103
2016.06.27 09:09,4064.55,4076.65,4064.25,4076.25,83
2016.06.27 09:10,4075.95,4079.65,4070.75,4072.65,95
2016.06.27 09:11,4072.55,4073.35,4069.95,4070.95,71
2016.06.27 09:12,4070.75,4081.35,4070.75,4081.35,104
2016.06.27 09:13,4081.55,4081.55,4067.15,4069.75,144
2016.06.27 09:14,4069.15,4074.55,4061.65,4065.35,124
2016.06.27 09:15,4066.25,4070.65,4057.85,4058.95,120
2016.06.27 09:16,4058.05,4059.65,4054.65,4059.05,111
2016.06.27 09:17,4058.75,4063.25,4056.85,4057.15,83
2016.06.27 09:18,4057.35,4062.45,4057.15,4061.55,72
2016.06.27 09:19,4062.75,4064.45,4059.85,4061.65,83
2016.06.27 09:20,4062.55,4063.25,4056.75,4060.25,62
2016.06.27 09:21,4060.55,4072.75,4059.65,4072.65,88
2016.06.27 09:22,4072.75,4076.35,4070.65,4075.55,81
2016.06.27 09:23,4075.25,4078.15,4073.25,4075.15,69
2016.06.27 09:24,4076.85,4081.75,4076.35,4080.05,51
2016.06.27 09:25,4080.75,4082.55,4076.05,4079.95,64
2016.06.27 09:26,4079.15,4079.15,4074.15,4078.05,52
2016.06.27 09:27,4078.25,4078.25,4073.65,4075.05,56
2016.06.27 09:28,4074.15,4074.15,4071.85,4072.35,47
2016.06.27 09:29,4072.55,4076.25,4072.25,4074.25,51
2016.06.27 09:30,4074.55,4074.55,4071.75,4072.25,35
2016.06.27 09:31,4071.65,4073.05,4068.35,4069.55,45
2016.06.27 09:32,4069.75,4071.25,4068.35,4069.15,31
2016.06.27 09:33,4069.05,4070.25,4065.65,4067.45,38
2016.06.27 09:34,4067.85,4069.05,4066.45,4069.05,33
2016.06.27 09:35,4068.75,4073.65,4068.55,4070.45,57
2016.06.27 09:36,4069.95,4070.15,4067.15,4068.85,29
2016.06.27 09:37,4069.15,4071.35,4066.15,4068.75,58
2016.06.27 09:38,4069.25,4072.05,4065.45,4067.75,70
2016.06.27 09:39,4067.25,4069.05,4066.85,4066.95,32
2016.06.27 09:40,4067.35,4068.25,4065.15,4065.15,39
2016.06.27 09:41,4065.95,4066.55,4064.35,4065.65,35
2016.06.27 09:42,4065.25,4065.75,4061.05,4061.55,56
2016.06.27 09:43,4060.25,4062.55,4058.25,4059.05,54
2016.06.27 09:44,4061.05,4062.55,4058.95,4060.55,52
2016.06.27 09:45,4060.25,4062.15,4059.25,4060.25,52
2016.06.27 09:46,4059.85,4060.05,4058.85,4059.75,18
2016.06.27 09:47,4059.35,4060.55,4058.85,4059.55,16
2016.06.27 09:48,4060.55,4064.25,4059.55,4061.15,32
2016.06.27 09:49,4062.05,4062.25,4059.15,4060.95,26
2016.06.27 09:50,4060.65,4061.45,4057.85,4059.35,48
2016.06.27 09:51,4059.75,4064.25,4057.65,4062.25,70
2016.06.27 09:52,4061.45,4066.85,4061.45,4063.25,69
2016.06.27 09:53,4064.55,4070.05,4063.85,4070.05,61
2016.06.27 09:54,4071.15,4077.15,4070.95,4073.05,83
2016.06.27 09:55,4073.25,4073.95,4071.65,4073.25,34
2016.06.27 09:56,4072.45,4075.75,4071.35,4073.35,44
2016.06.27 09:57,4073.75,4073.95,4071.25,4073.15,43
2016.06.27 09:58,4072.45,4078.15,4067.75,4069.25,89
2016.06.27 09:59,4068.95,4073.95,4063.05,4071.85,99
2016.06.27 10:00,4071.45,4079.85,4064.85,4066.25,321
2016.06.27 10:01,4065.85,4075.35,4064.85,4070.85,213
2016.06.27 10:02,4070.95,4084.45,4070.95,4083.45,179
2016.06.27 10:03,4083.55,4083.75,4073.45,4077.15,247
2016.06.27 10:04,4076.75,4084.85,4073.55,4083.85,232
2016.06.27 10:05,4084.15,4087.15,4082.15,4083.55,235
2016.06.27 10:06,4083.45,4096.45,4080.25,4095.15,302
2016.06.27 10:07,4095.25,4100.35,4089.65,4100.15,275
2016.06.27 10:08,4100.25,4105.55,4099.05,4104.85,307
2016.06.27 10:09,4105.45,4113.55,4102.90,4107.90,300
2016.06.27 10:10,4108.20,4109.55,4097.60,4101.10,279
2016.06.27 10:11,4100.80,4105.75,4098.40,4103.20,237
2016.06.27 10:12,4103.35,4105.60,4099.10,4103.35,204
2016.06.27 10:13,4102.95,4103.30,4095.85,4096.10,252
2016.06.27 10:14,4097.30,4097.30,4089.50,4096.10,247
2016.06.27 10:15,4096.20,4101.70,4091.70,4099.60,272
2016.06.27 10:16,4099.50,4106.70,4098.60,4104.15,253
2016.06.27 10:17,4104.10,4112.60,4103.75,4106.10,213
2016.06.27 10:18,4106.00,4108.65,4104.40,4107.40,80
2016.06.27 10:19,4108.85,4114.60,4108.85,4112.10,71
2016.06.27 10:20,4110.35,4111.60,4110.35,4110.60,4
2016.06.27 10:21,4112.70,4112.70,4101.20,4101.20,6
2016.06.27 10:22,4102.20,4102.40,4097.85,4100.10,20
2016.06.27 10:23,4098.00,4101.10,4097.00,4100.10,55
2016.06.27 10:24,4101.35,4108.50,4101.10,4105.00,106
2016.06.27 10:25,4105.20,4111.60,4104.40,4107.25,112
2016.06.27 10:26,4107.40,4109.40,4105.10,4106.30,149
2016.06.27 10:27,4106.30,4115.60,4104.10,4111.90,206
2016.06.27 10:28,4111.90,4115.90,4110.50,4110.80,176
2016.06.27 10:29,4110.80,4115.80,4105.80,4105.80,172
2016.06.27 10:30,4106.10,4108.30,4100.10,4100.45,199
2016.06.27 10:31,4100.30,4100.40,4090.90,4092.00,209
2016.06.27 10:32,4092.10,4102.30,4092.10,4100.30,226
2016.06.27 10:33,4100.30,4104.85,4099.20,4103.30,194
2016.06.27 10:34,4103.60,4108.30,4103.00,4107.20,182
2016.06.27 10:35,4107.40,4107.40,4097.20,4100.30,216
2016.06.27 10:36,4100.40,4104.60,4099.50,4100.30,182
2016.06.27 10:37,4100.70,4102.00,4096.70,4097.70,144
2016.06.27 10:38,4097.30,4097.30,4092.60,4094.90,135
2016.06.27 10:39,4094.60,4094.60,4088.80,4092.30,191
2016.06.27 10:40,4092.10,4093.20,4086.10,4093.20,221
2016.06.27 10:41,4093.30,4097.50,4090.60,4097.40,179
