Date,Open,High,Low,Close,Volume
2016.06.10 06:35,1.04447000,1.044970002016.05.18 23:37,1.07217,1.07227,1.07217,1.07226,9
2016.05.18 23:38,1.07227,1.07227,1.07220,1.07221,10
2016.05.18 23:39,1.07222,1.07227,1.07220,1.07220,16
2016.05.18 23:40,1.07221,1.07254,1.07220,1.07254,26
2016.05.18 23:41,1.07253,1.07254,1.07244,1.07245,10
2016.05.18 23:42,1.07244,1.07244,1.07225,1.07225,10
2016.05.18 23:43,1.07227,1.07236,1.07225,1.07234,22
2016.05.18 23:44,1.07235,1.07236,1.07235,1.07235,3
2016.05.18 23:45,1.07236,1.07236,1.07222,1.07226,19
2016.05.18 23:46,1.07225,1.07235,1.07219,1.07229,23
2016.05.18 23:47,1.07228,1.07230,1.07226,1.07230,7
2016.05.18 23:48,1.07229,1.07239,1.07228,1.07238,10
2016.05.18 23:49,1.07240,1.07244,1.07220,1.07224,36
2016.05.18 23:50,1.07226,1.07248,1.07222,1.07240,34
2016.05.18 23:51,1.07242,1.07275,1.07242,1.07264,31
2016.05.18 23:52,1.07263,1.07266,1.07256,1.07256,19
2016.05.18 23:53,1.07254,1.07254,1.07244,1.07253,56
2016.05.18 23:54,1.07254,1.07255,1.07238,1.07252,36
2016.05.18 23:55,1.07251,1.07251,1.07232,1.07233,54
2016.05.18 23:56,1.07233,1.07240,1.07230,1.07240,67
2016.05.18 23:57,1.07240,1.07255,1.07236,1.07240,119
2016.05.18 23:58,1.07240,1.07246,1.07227,1.07240,70
2016.05.18 23:59,1.07237,1.07237,1.07176,1.07176,18
2016.05.19 00:00,1.07177,1.07222,1.07177,1.07222,6
2016.05.19 00:01,1.07196,1.07196,1.07183,1.07183,2
2016.05.19 00:02,1.07177,1.07224,1.07177,1.07224,5
2016.05.19 00:03,1.07223,1.07238,1.07222,1.07238,5
2016.05.19 00:04,1.07240,1.07240,1.07210,1.07210,9
2016.05.19 00:05,1.07215,1.07233,1.07215,1.07233,6
2016.05.19 00:06,1.07234,1.07234,1.07220,1.07220,5
2016.05.19 00:07,1.07218,1.07218,1.07202,1.07216,10
2016.05.19 00:08,1.07197,1.07246,1.07162,1.07202,89
2016.05.19 00:09,1.07207,1.07207,1.07168,1.07168,21
2016.05.19 00:10,1.07169,1.07251,1.07127,1.07228,59
2016.05.19 00:11,1.07229,1.07261,1.07170,1.07187,67
2016.05.19 00:12,1.07186,1.07226,1.07186,1.07215,35
2016.05.19 00:13,1.07215,1.07215,1.07195,1.07214,15
2016.05.19 00:14,1.07224,1.07256,1.07223,1.07251,35
2016.05.19 00:15,1.07248,1.07266,1.07242,1.07249,23
2016.05.19 00:16,1.07246,1.07246,1.07227,1.07228,13
2016.05.19 00:17,1.07230,1.07238,1.07230,1.07236,6
2016.05.19 00:18,1.07237,1.07237,1.07201,1.07201,11
2016.05.19 00:19,1.07202,1.07202,1.07179,1.07180,10
2016.05.19 00:20,1.07181,1.07263,1.07181,1.07263,23
2016.05.19 00:21,1.07267,1.07284,1.07267,1.07284,13
2016.05.19 00:22,1.07283,1.07324,1.07271,1.07306,33
2016.05.19 00:23,1.07303,1.07312,1.07235,1.07237,22
2016.05.19 00:24,1.07239,1.07256,1.07233,1.07239,13
2016.05.19 00:25,1.07240,1.07249,1.07205,1.07249,12
2016.05.19 00:26,1.07256,1.07284,1.07256,1.07278,12
2016.05.19 00:27,1.07280,1.07282,1.07271,1.07273,12
2016.05.19 00:28,1.07282,1.07287,1.07272,1.07272,15
2016.05.19 00:29,1.07283,1.07288,1.07226,1.07244,48
2016.05.19 00:30,1.07237,1.07258,1.07230,1.07255,32
2016.05.19 00:31,1.07257,1.07258,1.07249,1.07257,22
2016.05.19 00:32,1.07256,1.07272,1.07220,1.07272,35
2016.05.19 00:33,1.07275,1.07288,1.07275,1.07286,14
2016.05.19 00:34,1.07287,1.07289,1.07198,1.07200,90
2016.05.19 00:35,1.07200,1.07321,1.07198,1.07307,44
2016.05.19 00:36,1.07314,1.07314,1.07252,1.07271,31
2016.05.19 00:37,1.07270,1.07312,1.07250,1.07308,46
2016.05.19 00:38,1.07310,1.07320,1.07294,1.07299,37
2016.05.19 00:39,1.07300,1.07303,1.07249,1.07277,54
2016.05.19 00:40,1.07280,1.07284,1.07198,1.07201,80
2016.05.19 00:41,1.07199,1.07241,1.07157,1.07207,85
2016.05.19 00:42,1.07207,1.07209,1.07181,1.07183,20
2016.05.19 00:43,1.07185,1.07188,1.07160,1.07175,30
2016.05.19 00:44,1.07169,1.07205,1.07156,1.07205,51
2016.05.19 00:45,1.07206,1.07208,1.07196,1.07206,30
2016.05.19 00:46,1.07207,1.07231,1.07161,1.07178,53
2016.05.19 00:47,1.07176,1.07180,1.07159,1.07180,32
2016.05.19 00:48,1.07180,1.07185,1.07158,1.07176,65
2016.05.19 00:49,1.07175,1.07185,1.07151,1.07151,38
2016.05.19 00:50,1.07150,1.07160,1.07130,1.07147,61
2016.05.19 00:51,1.07145,1.07173,1.07144,1.07170,60
2016.05.19 00:52,1.07171,1.07176,1.07159,1.07165,34
2016.05.19 00:53,1.07163,1.07177,1.07158,1.07177,29
2016.05.19 00:54,1.07179,1.07195,1.07155,1.07160,60
2016.05.19 00:55,1.07174,1.07193,1.07159,1.07188,42
2016.05.19 00:56,1.07206,1.07216,1.07178,1.07186,47
2016.05.19 00:57,1.07183,1.07196,1.07175,1.07196,30
2016.05.19 00:58,1.07195,1.07211,1.07169,1.07171,29
2016.05.19 00:59,1.07184,1.07205,1.07167,1.07191,19
2016.05.19 01:00,1.07177,1.07269,1.07167,1.07243,123
2016.05.19 01:01,1.07244,1.07244,1.07196,1.07201,56
2016.05.19 01:02,1.07202,1.07210,1.07179,1.07184,48
2016.05.19 01:03,1.07187,1.07200,1.07160,1.07187,100
2016.05.19 01:04,1.07189,1.07198,1.07174,1.07175,34
2016.05.19 01:05,1.07174,1.07174,1.07134,1.07134,56
2016.05.19 01:06,1.07135,1.07158,1.07135,1.07151,24
2016.05.19 01:07,1.07149,1.07151,1.07144,1.07144,19
2016.05.19 01:08,1.07144,1.07184,1.07144,1.07181,44
2016.05.19 01:09,1.07184,1.07188,1.07183,1.07187,12
2016.05.19 01:10,1.07185,1.07192,1.07175,1.07187,43
2016.05.19 01:11,1.07191,1.07192,1.07174,1.07188,65
2016.05.19 01:12,1.07191,1.07191,1.07182,1.07182,11
2016.05.19 01:13,1.07183,1.07186,1.07171,1.07172,29
2016.05.19 01:14,1.07174,1.07174,1.07150,1.07150,23
2016.05.19 01:15,1.07149,1.07151,1.07134,1.07137,49
2016.05.19 01:16,1.07140,1.07145,1.07138,1.07143,17
2016.05.19 01:17,1.07142,1.07144,1.07139,1.07139,10
2016.05.19 01:18,1.07138,1.07140,1.07137,1.07138,9
2016.05.19 01:19,1.07141,1.07141,1.07128,1.07130,23
2016.05.19 01:20,1.07132,1.07143,1.07132,1.07142,22
2016.05.19 01:21,1.07143,1.07152,1.07142,1.07151,16
2016.05.19 01:22,1.07150,1.07152,1.07139,1.07139,12
2016.05.19 01:23,1.07137,1.07138,1.07134,1.07136,16
2016.05.19 01:24,1.07134,1.07137,1.07134,1.07134,8
