Date,Open,High,Low,Close,Volume
2016.07.07 02:28,103.52100000,103.560000002016.06.23 13:52,110.636,110.703,110.635,110.688,210
2016.06.23 13:53,110.687,110.698,110.642,110.647,208
2016.06.23 13:54,110.647,110.740,110.638,110.669,246
2016.06.23 13:55,110.669,110.695,110.651,110.653,261
2016.06.23 13:56,110.651,110.657,110.545,110.562,417
2016.06.23 13:57,110.561,110.663,110.530,110.652,318
2016.06.23 13:58,110.651,110.701,110.647,110.651,230
2016.06.23 13:59,110.648,110.686,110.631,110.675,190
2016.06.23 14:00,110.675,110.813,110.636,110.806,312
2016.06.23 14:01,110.811,110.811,110.727,110.762,242
2016.06.23 14:02,110.763,110.763,110.669,110.673,203
2016.06.23 14:03,110.666,110.681,110.633,110.659,249
2016.06.23 14:04,110.667,110.760,110.666,110.732,201
2016.06.23 14:05,110.733,110.768,110.659,110.687,220
2016.06.23 14:06,110.689,110.726,110.664,110.695,207
2016.06.23 14:07,110.693,110.693,110.577,110.589,247
2016.06.23 14:08,110.584,110.718,110.577,110.714,210
2016.06.23 14:09,110.714,110.743,110.696,110.732,210
2016.06.23 14:10,110.732,110.748,110.680,110.697,215
2016.06.23 14:11,110.696,110.702,110.668,110.679,99
2016.06.23 14:12,110.683,110.694,110.606,110.683,243
2016.06.23 14:13,110.685,110.769,110.685,110.738,188
2016.06.23 14:14,110.737,110.737,110.644,110.648,148
2016.06.23 14:15,110.648,110.701,110.637,110.664,159
2016.06.23 14:16,110.666,110.718,110.645,110.718,182
2016.06.23 14:17,110.721,110.748,110.721,110.735,145
2016.06.23 14:18,110.734,110.751,110.666,110.676,137
2016.06.23 14:19,110.676,110.697,110.642,110.646,144
2016.06.23 14:20,110.647,110.723,110.645,110.713,136
2016.06.23 14:21,110.718,110.743,110.669,110.671,146
2016.06.23 14:22,110.671,110.736,110.670,110.725,146
2016.06.23 14:23,110.726,110.732,110.670,110.684,180
2016.06.23 14:24,110.682,110.682,110.628,110.651,138
2016.06.23 14:25,110.649,110.697,110.639,110.669,139
2016.06.23 14:26,110.659,110.672,110.640,110.649,125
2016.06.23 14:27,110.649,110.684,110.631,110.684,179
2016.06.23 14:28,110.684,110.733,110.658,110.726,208
2016.06.23 14:29,110.727,110.754,110.721,110.751,129
2016.06.23 14:30,110.752,110.752,110.689,110.698,207
2016.06.23 14:31,110.699,110.699,110.643,110.680,145
2016.06.23 14:32,110.682,110.692,110.663,110.668,93
2016.06.23 14:33,110.669,110.721,110.669,110.688,195
2016.06.23 14:34,110.685,110.685,110.615,110.626,153
2016.06.23 14:35,110.626,110.669,110.626,110.632,150
2016.06.23 14:36,110.632,110.660,110.630,110.646,123
2016.06.23 14:37,110.646,110.658,110.607,110.607,174
2016.06.23 14:38,110.607,110.607,110.499,110.541,262
2016.06.23 14:39,110.545,110.602,110.539,110.589,141
2016.06.23 14:40,110.585,110.592,110.565,110.578,88
2016.06.23 14:41,110.580,110.620,110.570,110.571,138
2016.06.23 14:42,110.571,110.605,110.556,110.588,123
2016.06.23 14:43,110.588,110.630,110.588,110.600,168
2016.06.23 14:44,110.602,110.607,110.564,110.602,131
2016.06.23 14:45,110.603,110.603,110.556,110.561,125
2016.06.23 14:46,110.559,110.588,110.549,110.588,128
2016.06.23 14:47,110.588,110.605,110.581,110.594,119
2016.06.23 14:48,110.595,110.596,110.530,110.549,151
2016.06.23 14:49,110.547,110.581,110.544,110.544,160
2016.06.23 14:50,110.545,110.573,110.543,110.553,102
2016.06.23 14:51,110.553,110.556,110.537,110.552,124
2016.06.23 14:52,110.550,110.592,110.550,110.592,113
2016.06.23 14:53,110.592,110.597,110.557,110.581,123
2016.06.23 14:54,110.584,110.590,110.568,110.570,128
2016.06.23 14:55,110.570,110.583,110.569,110.580,131
2016.06.23 14:56,110.580,110.615,110.579,110.603,120
2016.06.23 14:57,110.603,110.611,110.578,110.582,109
2016.06.23 14:58,110.582,110.582,110.515,110.535,198
2016.06.23 14:59,110.535,110.541,110.424,110.459,261
2016.06.23 15:00,110.459,110.519,110.459,110.512,201
2016.06.23 15:01,110.512,110.530,110.496,110.506,197
2016.06.23 15:02,110.507,110.552,110.500,110.526,153
2016.06.23 15:03,110.524,110.573,110.524,110.573,207
2016.06.23 15:04,110.576,110.646,110.576,110.592,233
2016.06.23 15:05,110.592,110.621,110.559,110.566,188
2016.06.23 15:06,110.565,110.600,110.560,110.573,162
2016.06.23 15:07,110.570,110.683,110.570,110.682,180
2016.06.23 15:08,110.684,110.699,110.651,110.668,169
2016.06.23 15:09,110.666,110.690,110.660,110.690,147
