Date,Open,High,Low,Close,Volume
2016.02.23 15:00,16557.00,16557.00,16538.00,16549.00,345
2016.02.23 15:15,16548.00,16550.00,16538.00,16544.00,261
2016.02.23 15:30,16545.00,16571.00,16541.00,16571.00,221
2016.02.23 15:45,16570.00,16601.00,16570.00,16596.00,259
2016.02.23 16:00,16595.00,16596.00,16568.00,16571.00,321
2016.02.23 16:15,16570.00,16586.00,16558.00,16579.00,346
2016.02.23 16:30,16580.00,16593.00,16546.00,16569.00,1740
2016.02.23 16:45,16570.00,16588.00,16557.00,16568.00,1478
2016.02.23 17:00,16567.00,16573.00,16501.00,16501.00,1316
2016.02.23 17:15,16502.00,16526.00,16499.00,16519.00,1019
2016.02.23 17:30,16518.00,16525.00,16507.00,16515.00,955
2016.02.23 17:45,16514.00,16514.00,16457.00,16468.00,1085
2016.02.23 18:00,16467.00,16475.00,16439.00,16447.00,1087
2016.02.23 18:15,16448.00,16458.00,16431.00,16442.00,873
2016.02.23 18:30,16443.00,16474.00,16423.00,16473.00,829
2016.02.23 18:45,16474.00,16477.00,16450.00,16460.00,773
2016.02.23 19:00,16459.00,16462.00,16438.00,16442.00,692
2016.02.23 19:15,16443.00,16456.00,16436.00,16455.00,659
2016.02.23 19:30,16454.00,16467.00,16446.00,16463.00,586
2016.02.23 19:45,16464.00,16468.00,16453.00,16467.00,504
2016.02.23 20:00,16466.00,16468.00,16458.00,16462.00,523
2016.02.23 20:15,16461.00,16462.00,16442.00,16452.00,462
2016.02.23 20:30,16453.00,16453.00,16420.00,16422.00,587
2016.02.23 20:45,16421.00,16441.00,16417.00,16441.00,469
2016.02.23 21:00,16440.00,16452.00,16436.00,16451.00,521
2016.02.23 21:15,16450.00,16473.00,16450.00,16450.00,627
2016.02.23 21:30,16449.00,16455.00,16439.00,16442.00,476
2016.02.23 21:45,16441.00,16454.00,16429.00,16430.00,497
2016.02.23 22:00,16431.00,16438.00,16401.00,16404.00,674
2016.02.23 22:15,16405.00,16427.00,16402.00,16409.00,693
2016.02.23 22:30,16410.00,16463.00,16410.00,16445.00,869
2016.02.23 22:45,16444.00,16459.00,16424.00,16430.00,850
2016.02.24 09:00,16425.00,16438.00,16424.00,16432.00,351
2016.02.24 09:15,16431.00,16455.00,16429.00,16449.00,352
2016.02.24 09:30,16448.00,16452.00,16439.00,16445.00,346
2016.02.24 09:45,16443.00,16452.00,16437.00,16437.00,301
2016.02.24 10:00,16438.00,16442.00,16408.00,16418.00,1017
2016.02.24 10:15,16417.00,16425.00,16396.00,16408.00,982
2016.02.24 10:30,16409.00,16412.00,16382.00,16412.00,756
2016.02.24 10:45,16410.00,16433.00,16408.00,16413.00,617
2016.02.24 11:00,16412.00,16415.00,16379.00,16383.00,671
2016.02.24 11:15,16382.00,16392.00,16337.00,16346.00,768
2016.02.24 11:30,16345.00,16352.00,16324.00,16341.00,583
2016.02.24 11:45,16342.00,16365.00,16334.00,16359.00,504
2016.02.24 12:00,16358.00,16365.00,16312.00,16319.00,480
2016.02.24 12:15,16318.00,16327.00,16305.00,16323.00,526
2016.02.24 12:30,16324.00,16335.00,16311.00,16318.00,423
2016.02.24 12:45,16317.00,16318.00,16292.00,16305.00,522
2016.02.24 13:00,16304.00,16316.00,16302.00,16310.00,375
2016.02.24 13:15,16309.00,16312.00,16297.00,16303.00,372
2016.02.24 13:30,16304.00,16310.00,16290.00,16293.00,436
2016.02.24 13:45,16292.00,16295.00,16277.00,16281.00,521
2016.02.24 14:00,16280.00,16288.00,16272.00,16276.00,447
2016.02.24 14:15,16275.00,16275.00,16253.00,16268.00,569
2016.02.24 14:30,16267.00,16277.00,16261.00,16274.00,360
2016.02.24 14:45,16275.00,16295.00,16263.00,16285.00,410
2016.02.24 15:00,16284.00,16298.00,16278.00,16287.00,510
2016.02.24 15:15,16286.00,16293.00,16271.00,16277.00,396
2016.02.24 15:30,16278.00,16284.00,16257.00,16272.00,410
2016.02.24 15:45,16271.00,16287.00,16268.00,16286.00,335
2016.02.24 16:00,16287.00,16290.00,16272.00,16281.00,383
2016.02.24 16:15,16282.00,16283.00,16271.00,16281.00,286
2016.02.24 16:30,16282.00,16283.00,16233.00,16257.00,1259
2016.02.24 16:45,16256.00,16256.00,16183.00,16203.00,1377
2016.02.24 17:00,16204.00,16220.00,16173.00,16204.00,1397
2016.02.24 17:15,16203.00,16207.00,16169.00,16188.00,1215
2016.02.24 17:30,16196.00,16250.00,16163.00,16232.00,1768
2016.02.24 17:45,16233.00,16243.00,16210.00,16236.00,1331
2016.02.24 18:00,16237.00,16241.00,16208.00,16213.00,1514
2016.02.24 18:15,16214.00,16216.00,16189.00,16204.00,1228
2016.02.24 18:30,16205.00,16270.00,16199.00,16268.00,890
