Date,Open,High,Low,Close,Volume
2014.09.10 10:00,5924.70,5965.30,5887.30,5965.28,11543
2014.09.10 14:00,5966.72,5969.88,5923.90,5931.14,5639
2014.09.10 18:00,5931.14,5931.55,5920.47,5923.89,1492
2014.09.11 10:00,5921.20,5941.54,5893.35,5909.54,8473
2014.09.11 14:00,5908.69,5924.12,5895.17,5905.92,5514
2014.09.11 18:00,5906.21,5919.84,5905.10,5917.35,1835
2014.09.12 10:00,5918.20,5926.18,5879.13,5922.11,9020
2014.09.12 14:00,5921.91,5928.95,5882.04,5903.02,7494
2014.09.12 18:00,5903.38,5904.39,5892.42,5895.41,1598
2014.09.15 10:00,5846.24,5854.43,5816.74,5848.75,7288
2014.09.15 14:00,5848.85,5851.10,5824.80,5828.29,3205
2014.09.15 18:00,5828.08,5830.01,5821.73,5826.88,1537
2014.09.16 10:00,5831.09,5834.06,5742.14,5782.09,13485
2014.09.16 14:00,5783.23,5793.33,5766.02,5791.30,4656
2014.09.16 18:00,5790.90,5835.51,5788.89,5822.55,6160
2014.09.17 10:00,5854.15,5897.25,5844.87,5887.52,7140
2014.09.17 14:00,5887.12,5887.60,5847.27,5853.78,4733
2014.09.17 18:00,5853.22,5865.74,5853.22,5856.92,2135
2014.09.18 10:00,5878.29,5927.68,5858.87,5914.71,10121
2014.09.18 14:00,5914.63,5936.52,5903.74,5914.48,6542
2014.09.18 18:00,5913.53,5917.80,5902.31,5907.38,2484
2014.09.19 10:00,5959.79,5984.52,5918.02,5924.34,9756
2014.09.19 14:00,5923.90,5941.38,5896.18,5896.88,6339
2014.09.19 18:00,5897.48,5924.67,5897.32,5924.60,2759
2014.09.22 10:00,5897.39,5931.66,5874.12,5894.35,11205
2014.09.22 14:00,5894.15,5917.30,5881.21,5888.20,6624
2014.09.22 18:00,5886.99,5897.82,5884.22,5889.87,2433
2014.09.23 10:00,5889.57,5892.79,5826.86,5832.57,7487
2014.09.23 14:00,5832.32,5833.85,5783.23,5812.00,8093
2014.09.23 18:00,5810.50,5811.01,5798.07,5800.66,1605
2014.09.24 10:00,5805.00,5808.88,5743.62,5771.61,9714
2014.09.24 14:00,5780.44,5798.53,5741.34,5741.56,7551
2014.09.24 18:00,5741.16,5762.19,5741.16,5758.99,2424
2014.09.25 10:00,5769.64,5814.14,5769.64,5799.14,5951
2014.09.25 14:00,5798.69,5808.59,5676.38,5687.32,15306
2014.09.25 18:00,5687.27,5690.72,5671.44,5690.45,3539
2014.09.26 10:00,5677.99,5712.58,5641.16,5695.43,12541
2014.09.26 14:00,5695.47,5723.67,5687.55,5719.15,4857
2014.09.26 18:00,5722.48,5725.53,5716.48,5717.58,1321
2014.09.29 10:00,5726.16,5756.22,5704.80,5737.66,9135
2014.09.29 14:00,5737.08,5738.85,5686.06,5699.46,6797
2014.09.29 18:00,5699.50,5709.66,5696.06,5709.66,1705
2014.09.30 10:00,5734.23,5775.95,5712.88,5770.11,9027
2014.09.30 14:00,5770.17,5773.07,5716.04,5738.93,8283
2014.09.30 18:00,5738.53,5758.29,5737.37,5758.29,2209
2014.10.01 10:00,5737.34,5757.21,5721.04,5724.31,5932
2014.10.01 14:00,5724.65,5727.81,5674.57,5680.49,6233
2014.10.01 18:00,5680.60,5694.19,5678.62,5685.57,2618
2014.10.02 10:00,5674.77,5674.77,5589.99,5606.13,10093
2014.10.02 14:00,5606.24,5644.55,5534.92,5536.20,14923
2014.10.02 18:00,5534.25,5534.25,5505.01,5514.16,3840
2014.10.03 10:00,5566.05,5574.95,5518.14,5540.28,8786
2014.10.03 14:00,5540.82,5561.72,5515.17,5559.74,7419
2014.10.03 18:00,5560.00,5569.30,5549.86,5556.98,3587
2014.10.06 10:00,5609.83,5642.14,5588.14,5602.93,10111
2014.10.06 14:00,5602.93,5611.11,5534.23,5537.11,8795
2014.10.06 18:00,5537.58,5552.73,5532.78,5538.91,3858
2014.10.07 10:00,5535.27,5555.46,5502.61,5519.63,9007
2014.10.07 14:00,5519.41,5533.53,5471.68,5507.14,11144
2014.10.07 18:00,5506.28,5519.49,5500.48,5519.49,2482
2014.10.08 10:00,5485.17,5485.17,5401.27,5441.55,12419
2014.10.08 14:00,5438.33,5462.73,5374.01,5376.68,11580
2014.10.08 18:00,5373.62,5402.93,5367.10,5402.93,4236
2014.10.09 10:00,5449.49,5451.65,5358.90,5365.41,10143
2014.10.09 14:00,5366.10,5383.87,5265.71,5284.99,15522
2014.10.09 18:00,5285.07,5291.50,5267.09,5284.17,4793
2014.10.10 10:00,5218.84,5218.84,5077.20,5127.66,19211
2014.10.10 14:00,5126.86,5253.36,5122.06,5214.08,17539
