Date,Open,High,Low,Close,Volume
2016.05.11 07:05,1.97715,1.97835,1.97710,1.97715,44
2016.05.11 07:10,1.97778,1.97858,1.97730,1.97778,81
2016.05.11 07:15,1.97725,1.97798,1.97710,1.97778,85
2016.05.11 07:20,1.97768,1.97867,1.97735,1.97798,43
2016.05.11 07:25,1.97868,1.97868,1.97798,1.97808,40
2016.05.11 07:30,1.97755,1.97878,1.97750,1.97848,42
2016.05.11 07:35,1.97785,1.97908,1.97785,1.97888,72
2016.05.11 07:40,1.97888,1.97963,1.97888,1.97898,27
2016.05.11 07:45,1.97898,1.97978,1.97825,1.97928,50
2016.05.11 07:50,1.97938,1.97948,1.97918,1.97938,33
2016.05.11 07:55,1.97990,1.97990,1.97835,1.97888,76
2016.05.11 08:00,1.97888,1.97918,1.97805,1.97828,135
2016.05.11 08:05,1.97838,1.97858,1.97765,1.97848,56
2016.05.11 08:10,1.97848,1.97905,1.97765,1.97818,61
2016.05.11 08:15,1.97808,1.97818,1.97745,1.97818,67
2016.05.11 08:20,1.97818,1.97828,1.97715,1.97788,48
2016.05.11 08:25,1.97798,1.97878,1.97788,1.97788,34
2016.05.11 08:30,1.97720,1.97848,1.97715,1.97768,29
2016.05.11 08:35,1.97768,1.97778,1.97695,1.97728,73
2016.05.11 08:40,1.97728,1.97728,1.97605,1.97698,130
2016.05.11 08:45,1.97698,1.97788,1.97590,1.97668,72
2016.05.11 08:50,1.97658,1.97786,1.97630,1.97698,111
2016.05.11 08:55,1.97698,1.97728,1.97645,1.97718,64
2016.05.11 09:00,1.97710,1.97748,1.97628,1.97668,124
2016.05.11 09:05,1.97658,1.97788,1.97648,1.97768,171
2016.05.11 09:10,1.97768,1.97790,1.97618,1.97630,131
2016.05.11 09:15,1.97638,1.97698,1.97618,1.97658,113
2016.05.11 09:20,1.97668,1.97678,1.97618,1.97638,93
2016.05.11 09:25,1.97648,1.97748,1.97638,1.97738,101
2016.05.11 09:30,1.97728,1.97748,1.97658,1.97678,94
2016.05.11 09:35,1.97675,1.97728,1.97668,1.97698,124
2016.05.11 09:40,1.97695,1.97708,1.97648,1.97668,120
2016.05.11 09:45,1.97668,1.97730,1.97608,1.97728,107
2016.05.11 09:50,1.97720,1.97758,1.97678,1.97708,97
2016.05.11 09:55,1.97698,1.97748,1.97660,1.97660,144
2016.05.11 10:00,1.97668,1.97688,1.97648,1.97650,154
2016.05.11 10:05,1.97648,1.97678,1.97528,1.97540,176
2016.05.11 10:10,1.97548,1.97548,1.97380,1.97498,306
2016.05.11 10:15,1.97500,1.97500,1.97338,1.97430,218
2016.05.11 10:20,1.97428,1.97460,1.97368,1.97428,201
2016.05.11 10:25,1.97430,1.97518,1.97428,1.97440,216
2016.05.11 10:30,1.97448,1.97488,1.97368,1.97388,200
2016.05.11 10:35,1.97380,1.97408,1.97320,1.97388,213
2016.05.11 10:40,1.97380,1.97468,1.97378,1.97388,170
2016.05.11 10:45,1.97390,1.97448,1.97380,1.97408,163
2016.05.11 10:50,1.97398,1.97468,1.97308,1.97378,231
2016.05.11 10:55,1.97448,1.97448,1.97338,1.97388,206
2016.05.11 11:00,1.97378,1.97468,1.97378,1.97390,168
2016.05.11 11:05,1.97398,1.97458,1.97368,1.97408,165
2016.05.11 11:10,1.97405,1.97568,1.97355,1.97528,206
2016.05.11 11:15,1.97538,1.97558,1.97498,1.97548,169
2016.05.11 11:20,1.97558,1.97588,1.97480,1.97538,210
2016.05.11 11:25,1.97538,1.97558,1.97448,1.97523,159
2016.05.11 11:30,1.97483,1.97580,1.97348,1.97398,382
2016.05.11 11:35,1.97400,1.97468,1.97335,1.97448,208
2016.05.11 11:40,1.97445,1.97508,1.97395,1.97488,192
2016.05.11 11:45,1.97488,1.97508,1.97328,1.97358,203
2016.05.11 11:50,1.97360,1.97438,1.97320,1.97398,175
2016.05.11 11:55,1.97390,1.97398,1.97310,1.97398,156
2016.05.11 12:00,1.97388,1.97418,1.97270,1.97278,181
2016.05.11 12:05,1.97284,1.97298,1.97118,1.97158,236
2016.05.11 12:10,1.97158,1.97178,1.97080,1.97120,169
2016.05.11 12:15,1.97118,1.97180,1.97078,1.97168,178
2016.05.11 12:20,1.97170,1.97228,1.97125,1.97190,125
2016.05.11 12:25,1.97198,1.97278,1.97140,1.97218,180
2016.05.11 12:30,1.97220,1.97248,1.97178,1.97248,168
2016.05.11 12:35,1.97238,1.97278,1.97178,1.97278,136
2016.05.11 12:40,1.97285,1.97298,1.97228,1.97238,111
2016.05.11 12:45,1.97240,1.97298,1.97228,1.97298,93
2016.05.11 12:50,1.97298,1.97448,1.97298,1.97408,184
2016.05.11 12:55,1.97408,1.97440,1.97388,1.97418,161
2016.05.11 13:00,1.97418,1.97418,1.97308,1.97338,163
