Date,Open,High,Low,Close,Volume
2016.05.27 21:19,64.37000000,64.410000002016.05.24 20:36,62.82,62.82,62.78,62.78,4
2016.05.24 20:37,62.76,62.81,62.74,62.81,12
2016.05.24 20:38,62.81,62.83,62.81,62.83,4
2016.05.24 20:39,62.83,62.87,62.83,62.87,4
2016.05.24 20:40,62.88,62.93,62.88,62.91,16
2016.05.24 20:41,62.89,62.91,62.88,62.89,10
2016.05.24 20:42,62.90,62.90,62.88,62.90,8
2016.05.24 20:43,62.91,62.93,62.89,62.92,6
2016.05.24 20:44,62.91,62.93,62.91,62.91,4
2016.05.24 20:45,62.93,62.93,62.86,62.89,16
2016.05.24 20:46,62.89,62.89,62.84,62.84,10
2016.05.24 20:47,62.84,62.87,62.84,62.85,5
2016.05.24 20:48,62.88,62.88,62.86,62.87,5
2016.05.24 20:49,62.87,62.87,62.87,62.87,1
2016.05.24 20:50,62.86,62.87,62.86,62.87,3
2016.05.24 20:51,62.86,62.86,62.79,62.79,6
2016.05.24 20:52,62.81,62.86,62.81,62.86,14
2016.05.24 20:53,62.86,62.86,62.83,62.83,9
2016.05.24 20:54,62.83,62.83,62.82,62.83,3
2016.05.24 20:55,62.82,62.86,62.82,62.84,8
2016.05.24 20:56,62.86,62.87,62.86,62.87,2
2016.05.24 20:57,62.86,62.86,62.86,62.86,1
2016.05.24 20:58,62.87,62.92,62.87,62.89,11
2016.05.24 20:59,62.90,62.90,62.90,62.90,1
2016.05.24 21:00,62.88,62.97,62.88,62.96,27
2016.05.24 21:01,62.94,62.97,62.90,62.92,41
2016.05.24 21:02,62.94,62.97,62.92,62.96,13
2016.05.24 21:03,62.95,62.98,62.95,62.97,12
2016.05.24 21:04,62.98,63.01,62.97,62.98,21
2016.05.24 21:05,62.97,63.01,62.96,62.97,15
2016.05.24 21:06,62.98,63.03,62.93,63.03,29
2016.05.24 21:07,63.01,63.04,62.95,63.04,24
2016.05.24 21:08,63.04,63.05,63.01,63.03,17
2016.05.24 21:09,63.04,63.07,63.02,63.04,22
2016.05.24 21:10,63.00,63.03,62.93,62.96,43
2016.05.24 21:11,62.97,62.98,62.92,62.95,40
2016.05.24 21:12,62.94,62.95,62.87,62.89,36
2016.05.24 21:13,62.89,62.98,62.84,62.98,58
2016.05.24 21:14,62.99,63.04,62.96,63.02,113
2016.05.24 21:15,63.03,63.08,63.01,63.06,31
2016.05.24 21:16,63.05,63.08,63.05,63.06,14
2016.05.24 21:17,63.06,63.10,63.06,63.09,5
2016.05.24 21:18,63.14,63.19,63.14,63.18,20
2016.05.24 21:19,63.17,63.18,63.16,63.16,5
2016.05.25 04:00,63.02,63.03,63.01,63.01,20
2016.05.25 04:01,63.02,63.02,62.90,62.91,28
2016.05.25 04:02,62.90,62.91,62.82,62.84,33
2016.05.25 04:03,62.84,62.86,62.82,62.84,21
2016.05.25 04:04,62.84,62.85,62.82,62.85,14
2016.05.25 04:05,62.88,62.93,62.87,62.90,14
2016.05.25 04:06,62.89,62.90,62.89,62.90,7
2016.05.25 04:07,62.89,62.89,62.83,62.85,12
2016.05.25 04:08,62.85,62.85,62.83,62.84,14
2016.05.25 04:09,62.84,62.85,62.84,62.84,11
2016.05.25 04:10,62.84,62.84,62.84,62.84,1
2016.05.25 04:11,62.85,62.85,62.85,62.85,3
2016.05.25 04:12,62.84,62.85,62.84,62.85,10
2016.05.25 04:13,62.85,62.86,62.84,62.86,3
2016.05.25 04:14,62.85,62.87,62.84,62.86,5
2016.05.25 04:16,62.87,62.87,62.86,62.86,2
