Date,Open,High,Low,Close,Volume
2016.07.01 13:46,95.90500000,95.925000002016.06.24 23:58,95.610,95.610,95.540,95.540,11
2016.06.27 03:00,96.200,96.220,96.150,96.155,121
2016.06.27 03:01,96.150,96.230,96.120,96.170,189
2016.06.27 03:02,96.165,96.240,96.160,96.205,95
2016.06.27 03:03,96.200,96.240,96.150,96.195,87
2016.06.27 03:04,96.190,96.210,96.160,96.190,71
2016.06.27 03:05,96.195,96.260,96.195,96.235,75
2016.06.27 03:06,96.240,96.240,96.200,96.215,59
2016.06.27 03:07,96.220,96.235,96.205,96.235,37
2016.06.27 03:08,96.230,96.235,96.215,96.215,34
2016.06.27 03:09,96.210,96.240,96.205,96.230,56
2016.06.27 03:10,96.240,96.245,96.225,96.235,45
2016.06.27 03:11,96.230,96.255,96.230,96.250,35
2016.06.27 03:12,96.245,96.250,96.240,96.250,21
2016.06.27 03:13,96.255,96.260,96.230,96.240,41
2016.06.27 03:14,96.235,96.245,96.225,96.235,76
2016.06.27 03:15,96.230,96.240,96.215,96.235,45
2016.06.27 03:16,96.230,96.245,96.215,96.235,30
2016.06.27 03:17,96.240,96.245,96.230,96.240,33
2016.06.27 03:18,96.245,96.245,96.230,96.235,23
2016.06.27 03:19,96.240,96.245,96.225,96.235,41
2016.06.27 03:20,96.230,96.280,96.230,96.255,42
2016.06.27 03:21,96.250,96.265,96.240,96.265,50
2016.06.27 03:22,96.260,96.270,96.225,96.250,69
2016.06.27 03:23,96.245,96.260,96.230,96.260,23
2016.06.27 03:24,96.255,96.275,96.245,96.275,30
2016.06.27 03:25,96.270,96.270,96.245,96.250,15
2016.06.27 03:26,96.255,96.265,96.255,96.260,16
2016.06.27 03:27,96.265,96.265,96.255,96.260,14
2016.06.27 03:28,96.265,96.275,96.260,96.275,13
2016.06.27 03:29,96.280,96.285,96.275,96.280,19
2016.06.27 03:30,96.285,96.290,96.270,96.275,19
2016.06.27 03:31,96.270,96.290,96.265,96.290,10
2016.06.27 03:32,96.285,96.310,96.275,96.305,30
2016.06.27 03:33,96.300,96.315,96.295,96.305,18
2016.06.27 03:34,96.300,96.310,96.285,96.295,17
2016.06.27 03:35,96.300,96.330,96.285,96.325,37
2016.06.27 03:36,96.330,96.330,96.300,96.315,37
2016.06.27 03:37,96.310,96.330,96.310,96.325,23
2016.06.27 03:38,96.315,96.320,96.310,96.320,18
2016.06.27 03:39,96.315,96.340,96.315,96.330,9
2016.06.27 03:40,96.335,96.360,96.335,96.340,14
2016.06.27 03:41,96.345,96.345,96.325,96.330,24
2016.06.27 03:42,96.335,96.340,96.330,96.335,5
2016.06.27 03:43,96.330,96.330,96.325,96.325,4
2016.06.27 03:44,96.330,96.345,96.325,96.345,28
2016.06.27 03:45,96.350,96.365,96.350,96.355,27
2016.06.27 03:46,96.360,96.400,96.355,96.390,36
2016.06.27 03:47,96.395,96.415,96.385,96.400,34
2016.06.27 03:48,96.405,96.415,96.390,96.415,26
2016.06.27 03:49,96.410,96.445,96.410,96.435,24
