Date,Open,High,Low,Close,Volume
2016.05.20 22:06,47.64000000,47.770000002016.05.19 09:14,47.49,47.54,47.49,47.53,66
2016.05.19 09:15,47.54,47.59,47.54,47.58,58
2016.05.19 09:16,47.59,47.62,47.57,47.62,120
2016.05.19 09:17,47.61,47.63,47.59,47.63,67
2016.05.19 09:18,47.61,47.62,47.59,47.59,30
2016.05.19 09:19,47.60,47.60,47.57,47.60,36
2016.05.19 09:20,47.59,47.60,47.58,47.59,36
2016.05.19 09:21,47.58,47.60,47.57,47.58,39
2016.05.19 09:22,47.59,47.60,47.57,47.57,17
2016.05.19 09:23,47.58,47.59,47.56,47.57,36
2016.05.19 09:24,47.56,47.58,47.55,47.57,25
2016.05.19 09:25,47.58,47.59,47.56,47.57,18
2016.05.19 09:26,47.56,47.57,47.53,47.54,31
2016.05.19 09:27,47.53,47.58,47.53,47.55,129
2016.05.19 09:28,47.56,47.57,47.55,47.55,14
2016.05.19 09:29,47.56,47.57,47.53,47.53,26
2016.05.19 09:30,47.54,47.56,47.50,47.50,71
2016.05.19 09:31,47.51,47.53,47.48,47.52,61
2016.05.19 09:32,47.53,47.55,47.53,47.54,17
2016.05.19 09:33,47.53,47.56,47.53,47.55,13
2016.05.19 09:34,47.56,47.57,47.54,47.57,42
2016.05.19 09:35,47.56,47.58,47.55,47.57,53
2016.05.19 09:36,47.58,47.62,47.58,47.61,35
2016.05.19 09:37,47.60,47.60,47.55,47.55,38
2016.05.19 09:38,47.56,47.58,47.53,47.58,42
2016.05.19 09:39,47.55,47.58,47.55,47.58,11
2016.05.19 09:40,47.57,47.57,47.55,47.57,23
2016.05.19 09:41,47.56,47.57,47.55,47.56,27
2016.05.19 09:42,47.57,47.58,47.56,47.57,43
2016.05.19 09:43,47.56,47.56,47.54,47.55,19
2016.05.19 09:44,47.56,47.57,47.55,47.56,39
2016.05.19 09:45,47.55,47.56,47.52,47.55,44
2016.05.19 09:46,47.54,47.56,47.53,47.54,21
2016.05.19 09:47,47.53,47.56,47.52,47.54,51
2016.05.19 09:48,47.55,47.57,47.54,47.56,20
2016.05.19 09:49,47.55,47.60,47.55,47.58,90
2016.05.19 09:50,47.59,47.62,47.58,47.59,34
2016.05.19 09:51,47.58,47.60,47.56,47.60,20
2016.05.19 09:52,47.59,47.62,47.56,47.60,35
2016.05.19 09:53,47.61,47.63,47.60,47.60,10
2016.05.19 09:54,47.61,47.63,47.56,47.62,36
2016.05.19 09:55,47.61,47.65,47.61,47.64,54
2016.05.19 09:56,47.61,47.64,47.60,47.61,63
2016.05.19 09:57,47.60,47.60,47.57,47.59,28
2016.05.19 09:58,47.60,47.60,47.57,47.59,28
2016.05.19 09:59,47.58,47.61,47.57,47.59,33
2016.05.19 10:00,47.60,47.60,47.48,47.50,148
2016.05.19 10:01,47.49,47.50,47.44,47.46,50
2016.05.19 10:02,47.45,47.49,47.43,47.48,62
2016.05.19 10:03,47.47,47.57,47.44,47.54,128
2016.05.19 10:04,47.53,47.53,47.45,47.47,105
2016.05.19 10:05,47.46,47.49,47.44,47.46,78
2016.05.19 10:06,47.47,47.49,47.46,47.46,30
2016.05.19 10:07,47.45,47.47,47.41,47.45,51
2016.05.19 10:08,47.44,47.47,47.43,47.43,20
2016.05.19 10:09,47.44,47.45,47.41,47.42,36
2016.05.19 10:10,47.43,47.47,47.43,47.46,41
2016.05.19 10:11,47.47,47.50,47.44,47.47,59
2016.05.19 10:12,47.46,47.47,47.42,47.43,36
2016.05.19 10:13,47.44,47.45,47.41,47.43,36
2016.05.19 10:14,47.44,47.45,47.40,47.40,47
2016.05.19 10:15,47.41,47.41,47.33,47.36,143
2016.05.19 10:16,47.35,47.38,47.35,47.35,49
2016.05.19 10:17,47.36,47.37,47.34,47.36,69
2016.05.19 10:18,47.37,47.40,47.34,47.40,56
2016.05.19 10:19,47.41,47.42,47.34,47.34,84
2016.05.19 10:20,47.35,47.35,47.24,47.28,284
2016.05.19 10:21,47.27,47.30,47.26,47.27,140
2016.05.19 10:22,47.26,47.27,47.21,47.21,106
2016.05.19 10:23,47.22,47.24,47.21,47.22,78
2016.05.19 10:24,47.21,47.23,47.19,47.22,106
2016.05.19 10:25,47.23,47.26,47.22,47.23,101
2016.05.19 10:26,47.22,47.26,47.21,47.24,50
2016.05.19 10:27,47.25,47.27,47.24,47.26,48
2016.05.19 10:28,47.27,47.28,47.25,47.27,67
2016.05.19 10:29,47.26,47.27,47.23,47.24,82
2016.05.19 10:30,47.23,47.25,47.22,47.22,74
2016.05.19 10:31,47.23,47.26,47.22,47.26,51
2016.05.19 10:32,47.25,47.30,47.24,47.29,81
2016.05.19 10:33,47.28,47.33,47.26,47.31,67
2016.05.19 10:34,47.29,47.33,47.29,47.32,41
2016.05.19 10:35,47.33,47.35,47.32,47.34,22
2016.05.19 10:36,47.35,47.37,47.32,47.35,20
2016.05.19 10:37,47.34,47.40,47.33,47.39,58
2016.05.19 10:38,47.40,47.41,47.36,47.39,103
2016.05.19 10:39,47.38,47.40,47.36,47.40,38
2016.05.19 10:40,47.39,47.42,47.37,47.38,94
2016.05.19 10:41,47.37,47.39,47.35,47.35,77
2016.05.19 10:42,47.36,47.39,47.35,47.36,31
2016.05.19 10:43,47.37,47.39,47.36,47.37,33
2016.05.19 10:44,47.38,47.39,47.37,47.38,26
2016.05.19 10:45,47.37,47.43,47.37,47.41,57
2016.05.19 10:46,47.42,47.44,47.40,47.44,73
2016.05.19 10:47,47.43,47.45,47.40,47.43,60
2016.05.19 10:48,47.42,47.49,47.42,47.47,65
2016.05.19 10:49,47.46,47.48,47.43,47.47,47
2016.05.19 10:50,47.48,47.49,47.45,47.48,43
2016.05.19 10:51,47.47,47.47,47.36,47.40,80
2016.05.19 10:52,47.41,47.42,47.36,47.41,50
2016.05.19 10:53,47.40,47.42,47.39,47.42,54
2016.05.19 10:54,47.43,47.43,47.38,47.39,51
2016.05.19 10:55,47.38,47.41,47.38,47.39,36
2016.05.19 10:56,47.40,47.45,47.39,47.43,56
2016.05.19 10:57,47.44,47.48,47.41,47.48,59
2016.05.19 10:58,47.45,47.50,47.42,47.44,65
2016.05.19 10:59,47.42,47.44,47.41,47.41,29
2016.05.19 11:00,47.42,47.47,47.40,47.43,65
2016.05.19 11:01,47.44,47.44,47.41,47.41,60
2016.05.19 11:02,47.42,47.44,47.41,47.42,37
2016.05.19 11:03,47.43,47.44,47.40,47.42,44
2016.05.19 11:04,47.41,47.45,47.40,47.45,65
2016.05.19 11:05,47.41,47.47,47.41,47.46,62
2016.05.19 11:06,47.47,47.48,47.43,47.43,103
2016.05.19 11:07,47.44,47.45,47.39,47.39,70
2016.05.19 11:08,47.40,47.40,47.34,47.36,86
2016.05.19 11:09,47.35,47.36,47.31,47.32,89
2016.05.19 11:10,47.33,47.34,47.30,47.31,148
2016.05.19 11:11,47.32,47.34,47.32,47.33,37
2016.05.19 11:12,47.34,47.34,47.27,47.29,78
2016.05.19 11:13,47.30,47.33,47.27,47.32,123
2016.05.19 11:14,47.33,47.33,47.26,47.27,140
2016.05.19 11:15,47.26,47.31,47.26,47.29,56
2016.05.19 11:16,47.30,47.31,47.25,47.26,55
2016.05.19 11:17,47.27,47.28,47.25,47.25,41
2016.05.19 11:18,47.24,47.28,47.24,47.26,102
2016.05.19 11:19,47.27,47.28,47.24,47.27,85
2016.05.19 11:20,47.28,47.28,47.24,47.24,57
