Date,Open,High,Low,Close,Volume
2001.01.31 20:00,1509,1813,1493,1761,389
2001.02.28 20:00,1756,1942,1750,1869,272
2001.03.30 20:00,1878,1912,1681,1805,390
2001.04.30 20:00,1814,1820,1671,1703,188
2001.05.31 20:00,1695,1825,1646,1652,316
2001.06.29 20:00,1656,1688,1593,1686,161
2001.07.31 20:00,1697,1701,1601,1679,183
2001.08.31 20:00,1690,1769,1652,1671,216
2001.09.28 20:00,1652,1822,1607,1799,284
2001.10.31 20:00,1830,1852,1699,1739,216
2001.11.30 20:00,1741,2082,1707,2056,436
2001.12.31 20:00,2020,2061,1929,2027,258
2002.01.31 20:00,2027,2139,1977,2061,291
2002.02.28 20:00,2054,2200,2054,2164,183
2002.03.29 20:00,2174,2287,2173,2208,195
2002.04.30 20:00,2214,2316,2166,2256,259
2002.05.31 20:00,2236,2366,2187,2344,251
2002.06.28 20:00,2337,2409,2175,2393,413
2002.07.31 20:00,2378,2589,2378,2533,268
2002.08.30 20:00,2528,2741,2441,2720,409
2002.09.30 20:00,2705,2924,2648,2909,349
2002.10.31 20:00,2906,3123,2560,2645,866
2002.11.29 20:00,2598,2644,2394,2442,345
2002.12.31 20:00,2521,2859,2486,2760,508
2003.01.31 20:00,2774,3159,2772,3148,401
2003.02.28 20:00,3139,3159,2706,2800,568
2003.03.31 20:00,2818,2836,2658,2726,265
2003.04.30 20:00,2726,2855,2632,2823,350
2003.05.30 20:00,2835,2842,2292,2325,591
2003.06.30 20:00,2277,2492,2252,2483,275
2003.07.31 20:00,2467,2512,2252,2297,351
2003.08.29 20:00,2284,2646,2252,2637,436
2003.09.30 20:00,2596,2616,2343,2502,453
2003.10.31 20:00,2482,2519,2236,2316,401
2003.11.28 20:00,2306,2496,2279,2336,405
2003.12.31 20:00,2404,2688,2398,2413,572
2004.01.30 20:00,2394,2596,2354,2418,461
2004.02.27 20:00,2408,2513,2350,2475,260
2004.03.31 20:00,2465,2475,2285,2454,370
2004.04.30 20:00,2435,2467,2216,2304,372
2004.05.31 20:00,2297,2367,2190,2356,296
2004.06.30 20:00,2336,2345,2209,2221,158
2004.07.30 20:00,2226,2552,2178,2525,450
2004.08.31 20:00,2560,2621,2424,2542,377
2004.09.30 20:00,2481,2495,2287,2309,245
2004.10.29 20:00,2294,2356,2246,2325,190
2004.11.30 20:00,2318,2673,2307,2516,535
2004.12.31 20:00,2508,2588,2400,2412,281
2005.01.31 20:00,2403,2461,2329,2390,252
2005.02.28 20:00,2395,2601,2395,2585,223
2005.03.31 20:00,2581,2705,2415,2468,468
2005.04.29 20:00,2491,2524,2306,2324,270
2005.05.31 20:00,2315,2352,2244,2254,156
2005.06.30 20:00,2243,2403,2224,2261,341
2005.07.29 20:00,2254,2289,2186,2288,173
2005.08.31 20:00,2292,2314,2141,2175,230
2005.09.30 20:00,2181,2346,2099,2185,491
2005.10.31 20:00,2159,2199,2118,2122,126
2005.11.30 20:00,2130,2187,2085,2156,179
2005.12.30 20:00,2171,2266,2164,2245,131
2006.01.31 20:00,2256,2341,2184,2225,284
2006.02.28 20:00,2221,2283,2138,2174,244
2006.03.31 20:00,2163,2236,2144,2202,146
2006.04.28 20:00,2198,2232,2118,2205,222
2006.05.31 20:00,2210,2262,2139,2157,194
2006.06.30 20:00,2182,2310,2141,2300,221
2006.07.31 20:00,2316,2399,2136,2147,358
2006.08.31 20:00,2137,2229,2072,2099,277
2006.09.29 20:00,2102,2149,2029,2086,225
2006.10.31 20:00,2077,2112,2010,2098,184
2006.11.30 20:00,2084,2154,2056,2136,145
2006.12.29 20:00,2131,2273,2122,2214,220
2007.01.31 20:00,2254,2275,2145,2196,203
2007.02.28 20:00,2189,2346,2189,2277,227
2007.03.30 20:00,2285,2513,2242,2498,330
2007.04.01 00:00,2440,2442,2422,2432,33
2007.04.30 20:00,2299,2531,2297,2315,453
2007.05.01 00:00,2294,2502,2274,2395,356
2007.05.31 20:00,2409,2502,2274,2400,448
2007.06.01 00:00,2407,2520,2337,2500,274
2007.06.29 20:00,2545,2559,2337,2552,438
2007.07.01 00:00,2547,2625,2396,2421,333
2007.07.31 20:00,2419,2625,2390,2432,458
2007.08.01 00:00,2420,2430,2206,2247,276
2007.08.31 20:00,2278,2430,2206,2277,448
2007.09.01 00:00,2240,2507,2221,2484,329
2007.09.28 20:00,2491,2508,2221,2489,573
2007.10.01 00:00,2471,2495,2265,2398,388
2007.10.31 20:00,2410,2495,2265,2398,449
2007.11.01 00:00,2398,2455,2351,2424,183
2007.11.30 20:00,2421,2455,2351,2436,194
2007.12.01 00:00,2431,2599,2426,2510,268
2007.12.31 20:00,2495,2599,2426,2488,340
2008.01.01 00:00,2523,2748,2523,2741,233
2008.01.31 20:00,2755,2783,2523,2779,497
2008.02.01 00:00,2767,3224,2758,3224,476
2008.02.29 20:00,3184,3224,2758,3199,918
2008.03.01 00:00,3172,3393,2674,2787,1054
2008.03.31 20:00,2782,3393,2674,2723,1380
2008.04.01 00:00,2752,3246,2639,3176,791
2008.04.30 20:00,3172,3246,2639,3213,1174
2008.05.01 00:00,3211,3219,2961,3136,442
2008.05.30 20:00,3145,3219,2961,3148,514
2008.06.01 00:00,3164,3615,3141,3595,518
2008.06.30 20:00,3597,3629,3141,3623,951
2008.07.01 00:00,3579,3712,3156,3253,787
2008.07.31 20:00,3230,3712,3156,3269,1074
2008.08.01 00:00,3276,3435,2968,3254,913
2008.08.29 20:00,3254,3435,2968,3278,911
2008.09.01 00:00,3219,3219,2890,2951,391
2008.09.30 20:00,2921,3219,2890,2952,628
2008.10.01 00:00,2969,2982,2261,2478,952
2008.10.31 20:00,2453,2982,2261,2447,1437
2008.11.01 00:00,2459,2642,2281,2599,583
2008.11.28 20:00,2658,2686,2281,2672,797
2008.12.01 00:00,2659,3096,2483,2907,979
2008.12.31 20:00,2926,3096,2483,3043,1110
2009.01.01 00:00,3027,3215,2718,3179,843
2009.01.30 20:00,3173,3215,2718,3149,971
2009.02.01 00:00,3123,3290,2686,2777,863
2009.02.27 20:00,2762,3290,2686,2786,1185
2009.03.01 00:00,2738,2999,2571,2949,646
2009.03.31 20:00,2949,2999,2571,2978,828
2009.04.01 00:00,2972,3168,2708,2761,710
2009.04.30 20:00,2783,3168,2708,2733,871
2009.05.01 00:00,2725,2956,2620,2941,457
2009.05.29 20:00,2945,3004,2620,2946,768
2009.06.01 00:00,2958,3201,2769,2896,803
2009.06.30 20:00,2914,3201,2769,2853,804
2009.07.01 00:00,2854,3278,2787,3241,596
2009.07.31 20:00,3241,3278,2787,3235,977
2009.08.01 00:00,3253,3333,3006,3107,509
2009.08.31 20:00,3106,3333,3006,3102,651
2009.09.01 00:00,3111,3527,3108,3364,586
2009.09.30 20:00,3383,3527,3108,3448,774
2009.10.01 00:00,3448,3720,3275,3663,676
2009.10.30 20:00,3653,3720,3275,3605,843
2009.11.01 00:00,3605,3626,3359,3529,459
2009.11.30 20:00,3534,3626,3359,3516,517
2009.12.01 00:00,3527,3767,3480,3504,552
2009.12.31 20:00,3510,3767,3480,3546,539
2010.01.01 00:00,3545,3742,3429,3517,599
2010.01.29 20:00,3542,3742,3429,3441,526
2010.02.01 00:00,3448,3460,3125,3144,367
2010.02.26 20:00,3158,3460,3125,3139,652
2010.03.01 00:00,3131,3202,2967,3191,411
2010.03.31 20:00,3182,3213,2967,3191,484
