Date,Open,High,Low,Close,Volume
1994.08.31 17:00,17.56,18.42,16.53,18.39,296
1994.09.30 17:00,18.39,18.70,16.80,18.19,361
1994.10.31 17:00,18.19,19.19,17.24,18.05,377
1994.11.30 17:00,18.05,18.12,16.42,17.76,312
1994.12.31 17:00,17.76,18.85,17.27,18.39,254
1995.01.31 17:00,18.39,18.98,18.13,18.49,161
1995.02.28 17:00,18.49,19.35,17.82,19.17,239
1995.03.31 17:00,19.17,20.82,18.90,20.38,264
1995.04.30 17:00,20.38,20.80,18.45,18.89,322
1995.05.31 17:00,18.89,19.32,17.20,17.40,276
1995.06.30 17:00,17.40,17.72,16.60,17.56,209
1995.07.31 17:00,17.56,18.66,17.31,17.84,243
1995.08.31 17:00,17.84,19.08,17.11,17.54,365
1995.09.30 17:00,17.54,17.75,16.81,17.64,179
1995.10.31 17:00,17.64,18.85,17.48,18.18,221
1995.11.30 17:00,18.18,19.82,18.18,19.55,192
1995.12.31 17:00,19.55,20.52,17.08,17.74,508
1996.01.31 17:00,17.74,23.00,17.43,19.54,935
1996.02.29 17:00,19.54,25.60,18.78,21.47,1172
1996.03.31 17:00,21.47,25.70,21.16,21.20,882
1996.04.30 17:00,21.20,22.90,19.62,19.76,513
1996.05.31 17:00,19.76,22.20,19.46,20.92,433
1996.06.30 17:00,20.92,22.55,19.98,20.42,465
1996.07.31 17:00,20.42,23.35,20.25,22.25,438
1996.08.31 17:00,22.25,25.35,22.25,24.38,408
1996.09.30 17:00,24.38,26.10,23.10,23.35,498
1996.10.31 17:00,23.35,24.95,22.49,23.75,453
1996.11.30 17:00,23.75,26.80,23.15,25.92,514
1996.12.31 17:00,25.92,26.74,23.63,24.15,446
1997.01.31 17:00,24.15,24.43,20.25,20.30,452
1997.02.28 17:00,20.30,22.65,19.86,20.41,548
1997.03.31 17:00,20.41,20.65,18.96,20.21,319
1997.04.30 17:00,20.21,22.40,19.44,20.88,526
1997.05.31 17:00,20.88,21.17,18.35,19.80,457
1997.06.30 17:00,19.80,20.50,18.88,20.14,291
1997.07.31 17:00,20.14,20.94,19.14,19.61,308
1997.08.31 17:00,19.61,21.48,19.23,21.18,294
1997.09.30 17:00,21.18,23.15,20.15,21.08,591
1997.10.31 17:00,21.08,21.55,18.96,19.15,326
1997.11.30 17:00,19.15,19.15,17.50,17.64,180
1997.12.31 17:00,17.64,18.06,15.70,17.21,430
1998.01.31 17:00,17.21,17.21,15.20,15.44,226
1998.02.28 17:00,15.44,17.50,12.80,15.61,924
1998.03.31 17:00,15.61,16.20,14.94,15.39,231
1998.04.30 17:00,15.39,16.30,12.50,15.20,742
1998.05.31 17:00,15.20,15.57,11.42,14.18,729
1998.06.30 17:00,14.18,15.02,13.25,14.21,352
1998.07.31 17:00,14.21,14.25,12.56,13.34,252
1998.08.31 17:00,13.34,16.20,13.14,16.14,333
1998.09.30 17:00,16.14,16.36,13.07,14.42,487
1998.10.31 17:00,14.42,14.81,10.82,11.22,479
1998.11.30 17:00,11.22,12.62,10.35,12.05,372
1998.12.31 17:00,12.05,13.75,11.72,12.75,337
1999.01.31 17:00,12.75,12.90,11.26,12.27,281
1999.02.28 17:00,12.27,17.05,12.18,16.76,526
1999.03.31 17:00,16.76,18.83,15.61,18.66,455
1999.04.30 17:00,18.66,19.05,16.63,16.84,303
1999.05.31 17:00,16.84,19.37,16.21,19.29,388
1999.06.30 17:00,19.29,21.12,19.15,20.53,271
1999.07.31 17:00,20.53,22.28,20.10,22.11,279
1999.08.31 17:00,22.11,25.12,21.42,24.51,501
1999.09.30 17:00,24.51,24.85,20.55,21.75,585
