Date,Open,High,Low,Close,Volume
2005.06.26 00:00,1203.50,1212.00,1203.50,1212.00,851
2005.06.26 01:00,1203.87,1208.00,1202.25,1206.12,926
2005.07.03 00:00,1196.75,1223.00,1175.25,1222.37,6989
2005.07.10 00:00,1222.87,1243.75,1222.00,1237.62,2876
2005.07.17 00:00,1235.12,1236.00,1230.50,1232.62,851
2005.07.17 01:00,1235.12,1244.75,1230.25,1243.37,2076
2005.07.24 00:00,1243.87,1248.25,1236.50,1240.37,2001
2005.07.24 01:00,1243.87,1255.25,1243.00,1245.62,2276
2005.07.31 00:00,1247.12,1249.00,1241.75,1244.87,1226
2005.07.31 01:00,1247.12,1247.50,1233.50,1236.12,1701
2005.08.07 00:00,1238.87,1241.00,1230.75,1233.62,1526
2005.08.07 01:00,1238.87,1245.50,1234.00,1237.37,2151
2005.08.14 00:00,1237.62,1245.50,1223.50,1230.37,3676
2005.08.21 00:00,1230.12,1237.75,1211.00,1212.37,3576
2005.08.28 00:00,1203.87,1235.00,1199.25,1225.62,4976
2005.09.04 00:00,1226.50,1250.50,1226.00,1248.37,2714
2005.09.11 00:00,1249.25,1250.50,1230.25,1242.00,3326
2005.09.18 00:00,1240.25,1242.50,1210.25,1220.50,4476
2005.09.25 00:00,1224.75,1234.50,1215.50,1233.50,2926
2005.10.02 00:00,1235.00,1238.50,1185.50,1200.25,7126
2005.10.09 00:00,1199.25,1203.75,1171.25,1190.50,5626
2005.10.16 00:00,1189.25,1200.50,1173.25,1182.25,4751
2005.10.23 00:00,1183.50,1206.75,1179.00,1200.00,3901
2005.10.30 00:00,1199.50,1227.25,1199.25,1221.75,3376
2005.11.06 00:00,1222.00,1238.25,1216.75,1236.25,2876
2005.11.13 00:00,1237.75,1251.75,1228.00,1249.75,3551
2005.11.20 00:00,1250.00,1272.50,1248.00,1269.50,2951
2005.11.27 00:00,1268.50,1272.50,1250.00,1265.75,4226
2005.12.04 00:00,1265.25,1274.00,1251.00,1260.00,4076
2005.12.11 00:00,1259.50,1284.50,1255.25,1275.25,4276
2005.12.18 00:00,1274.50,1279.25,1264.50,1276.25,2776
2005.12.25 00:00,1276.75,1280.50,1252.25,1253.50,3326
2006.01.01 00:00,1260.75,1292.50,1251.00,1290.75,5301
2006.01.08 00:00,1290.50,1300.50,1287.25,1292.50,2451
2006.01.15 00:00,1291.50,1294.75,1264.25,1265.50,3501
2006.01.22 00:00,1264.75,1290.00,1261.75,1286.50,3476
2006.01.29 00:00,1288.25,1291.25,1263.00,1265.75,3401
2006.02.05 00:00,1265.00,1277.25,1255.25,1269.25,3976
2006.02.12 00:00,1267.75,1292.25,1260.00,1288.25,4401
2006.02.19 00:00,1287.50,1295.75,1282.50,1291.00,2301
2006.02.26 00:00,1292.25,1299.25,1279.50,1287.50,3476
2006.03.05 00:00,1286.50,1290.75,1268.25,1282.00,4051
2006.03.12 00:00,1282.25,1321.00,1281.75,1316.75,4401
2006.03.19 00:00,1317.00,1321.00,1304.25,1311.75,2826
2006.03.26 00:00,1313.00,1318.75,1299.75,1305.75,3076
2006.04.02 00:00,1306.50,1323.50,1300.75,1302.25,4126
2006.04.09 00:00,1302.75,1308.25,1288.75,1293.50,2976
2006.04.16 00:00,1295.00,1324.25,1286.00,1316.25,5526
2006.04.23 00:00,1316.50,1321.50,1299.75,1315.50,4251
2006.04.30 00:00,1318.25,1330.75,1306.50,1330.00,3676
2006.05.07 00:00,1329.00,1330.50,1293.25,1293.75,3926
2006.05.14 00:00,1288.50,1301.00,1257.75,1269.25,6726
2006.05.21 00:00,1271.50,1282.50,1246.25,1281.50,6251
2006.05.28 00:00,1281.75,1293.50,1255.50,1288.75,6901
2006.06.04 00:00,1288.00,1288.00,1234.75,1252.00,7051
2006.06.11 00:00,1254.00,1270.25,1229.00,1261.50,7501
2006.06.18 00:00,1259.25,1268.00,1246.75,1254.25,3751
2006.06.25 00:00,1255.00,1286.75,1246.00,1279.00,5751
2006.07.02 00:00,1281.50,1289.50,1270.50,1273.25,2976
2006.07.09 00:00,1274.25,1283.25,1236.00,1242.50,6276
2006.07.16 00:00,1241.75,1268.50,1230.50,1245.75,7201
2006.07.23 00:00,1244.75,1285.50,1243.00,1282.50,4726
2006.07.30 00:00,1283.50,1297.25,1269.75,1283.50,5501
2006.08.06 00:00,1284.25,1287.75,1262.00,1270.00,3726
2006.08.13 00:00,1274.00,1305.00,1270.25,1305.00,3851
2006.08.20 00:00,1305.75,1306.00,1291.00,1297.00,2126
2006.08.27 00:00,1297.50,1313.50,1294.25,1312.00,2401
2006.09.03 00:00,1311.25,1318.25,1303.50,1310.50,2876
2006.09.10 00:00,1310.25,1336.25,1302.00,1330.25,4851
2006.09.17 00:00,1331.00,1339.50,1320.50,1325.00,3201
2006.09.24 00:00,1325.25,1350.00,1321.00,1344.50,3876
2006.10.01 00:00,1345.00,1362.75,1335.50,1358.50,4101
2006.10.08 00:00,1357.50,1374.25,1350.50,1373.00,3201
2006.10.15 00:00,1372.75,1379.75,1363.50,1374.50,3076
2006.10.22 00:00,1374.00,1397.50,1369.50,1383.50,4651
2006.10.29 00:00,1383.75,1387.00,1365.00,1369.00,2926
2006.11.05 00:00,1368.50,1393.25,1367.00,1384.25,3676
2006.11.12 00:00,1384.75,1407.50,1382.00,1404.25,3151
2006.11.19 00:00,1404.50,1410.75,1398.50,1402.50,2251
2006.11.26 00:00,1401.00,1408.25,1378.00,1397.75,5726
2006.12.03 00:00,1398.50,1431.50,1397.50,1421.75,4476
2006.12.10 00:00,1422.00,1444.50,1416.50,1438.75,3926
2006.12.17 00:00,1438.00,1443.50,1420.50,1421.25,2926
2006.12.24 00:00,1420.25,1438.25,1420.00,1426.25,3051
2006.12.31 00:00,1432.75,1439.50,1413.75,1417.50,3626
2007.01.07 00:00,1416.50,1439.00,1411.75,1438.50,3251
2007.01.14 00:00,1441.25,1444.00,1430.50,1436.75,2251
2007.01.21 00:00,1437.00,1446.75,1421.50,1427.50,4101
2007.01.28 00:00,1427.75,1454.25,1422.75,1452.50,3826
2007.02.04 00:00,1452.00,1457.25,1436.50,1442.50,3201
2007.02.11 00:00,1442.00,1461.25,1434.50,1458.50,3701
2007.02.18 00:00,1458.00,1464.25,1450.00,1453.25,2376
2007.02.25 00:00,1453.00,1459.25,1380.25,1388.00,9301
2007.03.04 00:00,1387.00,1425.75,1368.25,1415.25,8676
2007.03.11 00:00,1416.50,1422.75,1374.75,1398.75,7826
2007.03.18 00:00,1397.25,1450.50,1394.25,1446.50,6326
2007.03.25 00:00,1445.75,1448.75,1417.50,1431.50,4826
2007.04.01 00:00,1431.25,1458.50,1425.25,1457.50,4026
2007.04.08 00:00,1456.75,1461.25,1441.75,1461.00,3476
2007.04.15 00:00,1461.25,1493.00,1460.50,1493.00,3326
2007.04.22 00:00,1492.25,1504.50,1479.75,1501.75,4001
2007.04.29 00:00,1500.50,1516.50,1481.75,1513.50,5651
2007.05.06 00:00,1512.75,1518.50,1495.50,1512.00,4526
2007.05.13 00:00,1511.50,1527.75,1502.25,1527.75,3476
2007.05.20 00:00,1527.00,1535.25,1507.25,1517.00,4601
2007.05.27 00:00,1516.75,1542.50,1512.00,1539.00,3876
2007.06.03 00:00,1538.75,1542.25,1480.00,1508.00,9376
2007.06.10 00:00,1506.50,1553.50,1497.00,1546.75,7276
2007.06.17 00:00,1546.50,1553.75,1513.00,1519.75,5476
2007.06.24 00:00,1518.75,1529.75,1491.50,1516.50,7426
2007.07.01 00:00,1514.75,1543.50,1514.25,1541.75,3151
2007.07.08 00:00,1542.00,1565.25,1514.75,1559.75,8326
2007.07.15 00:00,1560.00,1565.75,1537.25,1544.75,4176
2007.07.22 00:00,1543.25,1556.00,1457.00,1457.50,11226
2007.07.29 00:00,1459.50,1495.50,1436.25,1443.75,10276
2007.08.05 00:00,1439.00,1510.25,1432.25,1450.75,14426
2007.08.12 00:00,1453.75,1472.25,1374.25,1449.75,19201
2007.08.19 00:00,1448.50,1483.75,1434.50,1483.75,6326
2007.08.26 00:00,1483.00,1484.25,1434.50,1473.75,9026
2007.09.02 00:00,1475.00,1512.25,1462.50,1471.75,9626
2007.09.09 00:00,1470.50,1504.00,1453.25,1498.00,7401
2007.09.16 00:00,1497.25,1551.75,1485.00,1534.25,9651
2007.09.23 00:00,1533.25,1545.25,1518.50,1539.75,4701
2007.09.30 00:00,1537.50,1573.25,1535.25,1570.50,4301
2007.10.07 00:00,1570.25,1586.50,1556.25,1574.75,5601
2007.10.14 00:00,1574.50,1576.00,1505.00,1505.25,7276
2007.10.21 00:00,1505.50,1543.00,1492.50,1542.00,6451
2007.10.28 00:00,1541.50,1558.50,1496.75,1517.75,9976
2007.11.04 00:00,1515.75,1525.75,1451.75,1454.50,8676
2007.11.11 00:00,1453.75,1496.50,1437.25,1460.00,11226
2007.11.18 00:00,1460.50,1465.50,1417.00,1441.75,7826
2007.11.25 00:00,1442.00,1492.00,1406.25,1486.25,12726
2007.12.02 00:00,1483.75,1515.00,1462.25,1506.50,8276
2007.12.09 00:00,1506.25,1526.75,1468.75,1477.75,8751
2007.12.16 00:00,1477.50,1498.75,1445.75,1497.75,8576
2007.12.23 00:00,1496.75,1510.75,1481.00,1485.25,4801
2007.12.30 00:00,1485.00,1488.75,1417.50,1422.25,7976
2008.01.06 00:00,1422.75,1437.50,1385.00,1407.50,8976
2008.01.13 00:00,1408.50,1432.50,1315.50,1325.50,15101
2008.01.20 00:00,1327.75,1370.50,1255.50,1333.50,22426
2008.01.27 00:00,1335.75,1397.75,1310.25,1396.75,11401
2008.02.03 00:00,1397.00,1399.75,1312.50,1330.75,10826
2008.02.10 00:00,1329.50,1371.25,1320.50,1351.00,8001
2008.02.17 00:00,1348.75,1369.50,1327.00,1355.75,7801
2008.02.24 00:00,1354.25,1389.00,1327.25,1337.00,10626
2008.03.02 00:00,1325.00,1346.75,1284.00,1294.75,9526
2008.03.09 00:00,1293.00,1335.75,1273.50,1292.00,12351
2008.03.16 00:00,1288.50,1343.25,1253.00,1324.75,14426
2008.03.23 00:00,1326.00,1361.25,1313.75,1318.25,8726
2008.03.30 00:00,1319.00,1383.50,1309.50,1372.00,9501
2008.04.06 00:00,1372.50,1388.75,1331.75,1335.25,7676
2008.04.13 00:00,1335.00,1398.00,1325.00,1387.00,9401
2008.04.20 00:00,1389.00,1400.50,1368.25,1397.25,5626
2008.04.27 00:00,1399.25,1426.50,1382.25,1415.75,7201
2008.05.04 00:00,1413.25,1422.50,1381.75,1389.00,5726
2008.05.11 00:00,1387.50,1429.25,1386.25,1425.50,4801
2008.05.18 00:00,1425.25,1440.75,1372.50,1373.75,8501
2008.05.25 00:00,1374.25,1406.75,1370.50,1400.00,4676
2008.06.01 00:00,1400.75,1410.00,1358.50,1358.75,6101
2008.06.08 00:00,1358.50,1371.00,1331.00,1356.75,7826
2008.06.15 00:00,1356.25,1369.50,1315.25,1318.25,7051
