Date,Open,High,Low,Close,Volume
2015.11.06 11:45,120.80,120.80,120.45,120.50,41
2015.11.06 12:15,120.45,120.90,120.45,120.65,71
2015.11.06 12:45,120.70,120.70,119.85,120.00,101
2015.11.06 13:15,119.95,120.20,119.80,120.10,66
2015.11.06 13:45,120.05,120.10,119.40,119.70,106
2015.11.06 14:15,119.65,120.15,119.35,119.65,161
2015.11.06 14:45,119.70,120.05,119.25,119.50,141
2015.11.06 15:15,119.45,120.30,118.80,118.95,251
2015.11.06 15:45,119.00,119.00,117.90,118.20,141
2015.11.06 16:15,118.15,118.65,118.00,118.10,126
2015.11.06 16:45,118.10,118.35,117.45,117.60,131
2015.11.06 17:15,117.55,117.70,116.80,117.50,176
2015.11.06 17:45,117.45,117.85,116.80,117.80,176
2015.11.06 18:15,117.75,118.80,117.60,118.65,151
2015.11.06 18:45,118.70,118.70,117.90,118.20,111
2015.11.06 19:15,118.25,118.75,118.05,118.15,131
2015.11.06 19:45,118.20,118.30,117.70,117.75,76
2015.11.06 20:15,117.80,117.95,117.45,117.95,86
2015.11.09 11:15,118.00,118.45,118.00,118.20,71
2015.11.09 11:45,118.25,118.35,118.05,118.35,51
2015.11.09 12:15,118.40,118.50,118.20,118.40,61
2015.11.09 12:45,118.45,118.45,117.90,118.05,71
2015.11.09 13:15,118.10,118.50,118.05,118.40,61
2015.11.09 13:45,118.45,118.65,118.20,118.60,76
2015.11.09 14:15,118.55,118.80,118.35,118.50,86
2015.11.09 14:45,118.45,118.95,118.10,118.25,151
2015.11.09 15:15,118.30,119.20,118.10,118.85,166
2015.11.09 15:45,118.80,118.95,118.35,118.55,96
2015.11.09 16:15,118.60,119.50,118.60,119.05,136
2015.11.09 16:45,119.10,119.25,118.65,118.90,101
2015.11.09 17:15,118.85,119.15,118.45,118.85,141
2015.11.09 17:45,118.75,118.90,118.20,118.35,101
2015.11.09 18:15,118.30,118.80,118.20,118.40,111
2015.11.09 18:45,118.45,119.05,118.40,118.55,121
2015.11.09 19:15,118.60,118.80,117.65,117.90,161
2015.11.09 19:45,117.85,118.05,117.50,117.55,81
2015.11.09 20:15,117.60,118.10,116.80,118.05,216
2015.11.10 11:15,117.95,118.35,117.75,117.90,116
2015.11.10 11:45,117.95,118.25,117.80,118.10,76
2015.11.10 12:15,118.05,118.15,117.55,117.85,101
2015.11.10 12:45,117.90,117.90,117.30,117.30,61
2015.11.10 13:15,117.30,117.40,116.95,117.35,86
2015.11.10 13:45,117.30,117.45,117.25,117.30,41
2015.11.10 14:15,117.25,117.55,117.20,117.45,51
2015.11.10 14:45,117.50,117.50,117.15,117.30,51
2015.11.10 15:15,117.35,117.55,117.00,117.30,106
2015.11.10 15:45,117.35,117.45,116.35,116.60,146
2015.11.10 16:15,116.55,117.05,116.45,117.05,71
2015.11.10 16:45,117.00,117.75,116.90,117.30,141
2015.11.10 17:15,117.25,117.90,116.85,117.15,201
2015.11.10 17:45,117.10,117.25,116.65,116.65,76
2015.11.10 18:15,116.60,117.10,116.45,116.85,106
2015.11.10 18:45,116.80,117.00,116.65,116.75,66
2015.11.10 19:15,116.70,116.80,116.45,116.55,56
2015.11.10 19:45,116.45,116.60,116.35,116.40,46
2015.11.10 20:15,116.35,116.40,115.65,116.10,126
2015.11.11 11:15,116.50,117.00,116.35,116.90,91
2015.11.11 11:45,116.85,116.90,116.50,116.65,61
2015.11.11 12:15,116.60,116.60,116.35,116.40,31
2015.11.11 12:45,116.45,116.65,116.45,116.60,26
2015.11.11 13:15,116.55,116.75,116.55,116.65,31
2015.11.11 13:45,116.70,116.90,116.65,116.90,31
2015.11.11 14:15,116.85,116.95,116.70,116.80,46
2015.11.11 14:45,116.80,117.05,116.50,116.65,96
2015.11.11 15:15,116.70,116.75,116.35,116.45,56
2015.11.11 15:45,116.50,116.75,116.20,116.65,96
2015.11.11 16:15,116.60,117.50,116.50,117.15,146
2015.11.11 16:45,117.10,117.20,116.60,116.65,76
2015.11.11 17:15,116.60,116.90,116.60,116.85,36
2015.11.11 17:45,116.80,116.95,116.55,116.95,66
2015.11.11 18:15,116.90,117.15,116.75,116.90,81
2015.11.11 18:45,116.95,117.10,116.85,117.00,46
2015.11.11 19:15,117.05,117.10,116.80,116.80,36
2015.11.11 19:45,116.75,116.90,116.60,116.75,61
