Date,Open,High,Low,Close,Volume
2016.06.24 20:25,133.80,133.80,133.80,133.80,10
2016.06.27 11:15,133.70,134.95,133.55,134.60,188
2016.06.27 11:20,134.50,134.75,134.35,134.55,37
2016.06.27 11:25,134.55,134.65,134.40,134.50,35
2016.06.27 11:30,134.50,134.60,134.15,134.15,35
2016.06.27 11:35,134.20,134.45,134.10,134.20,33
2016.06.27 11:40,134.25,134.40,134.15,134.25,11
2016.06.27 11:45,134.15,134.30,133.85,134.20,36
2016.06.27 11:50,134.05,134.25,134.05,134.05,13
2016.06.27 11:55,134.20,134.20,134.15,134.15,3
2016.06.27 12:00,134.05,134.30,133.90,134.30,20
2016.06.27 12:05,134.15,134.25,134.10,134.15,12
2016.06.27 12:10,134.00,134.25,134.00,134.20,15
2016.06.27 12:15,134.25,134.30,134.10,134.25,17
2016.06.27 12:20,134.15,134.70,133.95,134.70,17
2016.06.27 12:25,134.70,134.70,134.60,134.65,9
2016.06.27 12:30,134.70,134.70,134.55,134.70,11
2016.06.27 12:35,134.65,134.70,134.65,134.65,8
2016.06.27 12:40,134.70,134.70,134.55,134.65,23
2016.06.27 12:45,134.55,134.70,133.70,134.70,7
2016.06.27 12:50,134.55,134.70,134.55,134.65,17
2016.06.27 12:55,134.60,134.65,134.60,134.65,6
2016.06.27 13:00,134.55,134.70,134.55,134.65,19
2016.06.27 13:05,134.65,134.90,134.65,134.90,26
2016.06.27 13:10,135.00,135.05,134.75,134.85,9
2016.06.27 13:15,134.80,134.80,134.75,134.75,7
2016.06.27 13:20,134.85,134.95,134.65,134.65,26
2016.06.27 13:25,134.65,134.90,134.55,134.80,27
2016.06.27 13:30,134.75,134.80,134.70,134.80,13
2016.06.27 13:35,134.75,134.80,134.65,134.70,12
2016.06.27 13:40,134.80,134.80,134.55,134.70,19
2016.06.27 13:45,134.65,134.65,133.65,133.90,44
2016.06.27 13:50,133.80,133.90,133.60,133.70,28
2016.06.27 13:55,133.70,133.85,133.55,133.65,68
2016.06.27 14:00,133.70,133.70,133.55,133.70,19
2016.06.27 14:05,133.65,133.75,133.55,133.55,24
2016.06.27 14:10,133.55,133.70,133.55,133.55,22
2016.06.27 14:15,133.65,133.65,133.45,133.50,13
2016.06.27 14:20,133.45,133.50,132.85,133.00,26
2016.06.27 14:25,133.10,133.20,132.85,133.15,22
2016.06.27 14:30,133.15,133.20,133.00,133.15,18
2016.06.27 14:35,133.05,133.25,133.00,133.15,15
2016.06.27 14:40,133.20,133.20,133.00,133.05,13
2016.06.27 14:45,133.15,133.20,133.00,133.15,18
2016.06.27 14:50,133.10,133.15,132.85,133.00,27
2016.06.27 14:55,132.95,133.00,132.85,132.85,13
2016.06.27 15:00,132.95,133.25,132.95,133.00,51
2016.06.27 15:05,133.10,133.60,133.05,133.50,77
2016.06.27 15:10,133.40,133.70,133.15,133.35,81
2016.06.27 15:15,133.30,133.70,133.20,133.50,84
2016.06.27 15:20,133.45,134.20,133.45,133.75,99
2016.06.27 15:25,133.70,133.80,133.15,133.20,47
2016.06.27 15:30,133.20,133.50,132.95,133.25,158
2016.06.27 15:35,133.30,134.20,133.25,134.10,59
2016.06.27 15:40,134.05,134.40,133.65,134.40,50
2016.06.27 15:45,134.30,134.30,133.85,134.15,51
2016.06.27 15:50,134.15,134.40,134.05,134.30,47
2016.06.27 15:55,134.30,134.70,134.20,134.40,67
2016.06.27 16:00,134.35,134.90,134.35,134.85,85
2016.06.27 16:05,134.85,135.00,134.65,134.90,34
2016.06.27 16:10,134.90,135.45,134.70,135.20,57
2016.06.27 16:15,135.25,135.45,134.95,135.20,99
2016.06.27 16:20,135.00,135.65,135.00,135.15,76
2016.06.27 16:25,135.15,135.15,134.45,134.55,86
2016.06.27 16:30,134.60,134.95,134.60,134.90,54
2016.06.27 16:35,134.95,135.20,134.80,135.10,59
2016.06.27 16:40,135.10,135.20,134.45,134.70,70
2016.06.27 16:45,134.70,135.00,134.40,134.65,76
2016.06.27 16:50,134.65,135.05,134.60,134.60,59
2016.06.27 16:55,134.50,135.20,134.40,135.15,61
2016.06.27 17:00,135.20,135.65,135.15,135.30,73
2016.06.27 17:05,135.25,135.50,135.20,135.45,29
2016.06.27 17:10,135.40,135.40,134.90,135.25,34
2016.06.27 17:15,135.10,135.25,134.70,135.10,85
2016.06.27 17:20,135.05,135.35,134.80,135.00,72
2016.06.27 17:25,135.05,135.20,134.90,134.95,40
2016.06.27 17:30,134.95,135.15,134.55,134.85,59
2016.06.27 17:35,134.85,134.95,134.40,134.50,59
2016.06.27 17:40,134.45,134.85,134.30,134.75,66
2016.06.27 17:45,134.75,134.80,134.05,134.35,102
2016.06.27 17:50,134.40,134.50,134.05,134.30,42
2016.06.27 17:55,134.35,134.65,134.30,134.35,67
2016.06.27 18:00,134.35,134.35,133.85,133.85,18
2016.06.27 18:05,133.70,134.00,133.45,134.00,53
2016.06.27 18:10,133.85,134.15,133.60,134.10,66
2016.06.27 18:15,134.10,134.20,133.65,133.75,82
2016.06.27 18:20,133.85,134.70,133.80,134.15,77
