Date,Open,High,Low,Close,Volume
2016.04.19 16:20,1101.27,1103.90,1101.19,1103.90,393
2016.06.24 23:55,1184.22,1184.22,1184.22,1184.22,5
2016.06.27 01:00,1198.52,1202.54,1198.12,1200.64,674
2016.06.27 01:05,1200.59,1202.21,1199.93,1201.29,663
2016.06.27 01:10,1201.29,1202.54,1199.59,1200.14,737
2016.06.27 01:15,1200.14,1200.29,1196.09,1196.34,636
2016.06.27 01:20,1196.37,1198.99,1196.04,1198.99,564
2016.06.27 01:25,1199.04,1199.76,1196.84,1199.24,482
2016.06.27 01:30,1199.21,1199.35,1197.90,1198.00,346
2016.06.27 01:35,1198.14,1199.37,1197.64,1199.28,504
2016.06.27 01:40,1199.46,1200.44,1198.39,1198.46,375
2016.06.27 01:45,1198.41,1201.03,1197.57,1200.70,342
2016.06.27 01:50,1200.64,1200.74,1199.86,1200.45,253
2016.06.27 01:55,1200.41,1200.97,1199.60,1200.69,240
2016.06.27 02:00,1200.64,1205.42,1200.64,1203.33,664
2016.06.27 02:05,1203.33,1206.17,1203.08,1205.89,546
2016.06.27 02:10,1205.88,1205.94,1202.31,1204.09,626
2016.06.27 02:15,1204.04,1207.94,1203.88,1206.74,467
2016.06.27 02:20,1206.64,1207.37,1205.95,1206.73,533
2016.06.27 02:25,1206.69,1206.74,1204.95,1206.00,387
2016.06.27 02:30,1205.99,1206.53,1205.34,1206.35,277
2016.06.27 02:35,1206.23,1209.22,1206.01,1208.31,570
2016.06.27 02:40,1208.31,1209.56,1206.80,1209.17,555
2016.06.27 02:45,1209.17,1209.81,1208.35,1209.72,381
2016.06.27 02:50,1209.63,1211.03,1207.91,1208.01,637
2016.06.27 02:55,1207.78,1208.40,1206.18,1206.94,740
2016.06.27 03:00,1206.88,1207.24,1204.49,1205.46,1206
2016.06.27 03:05,1205.44,1207.24,1205.44,1207.02,680
2016.06.27 03:10,1207.16,1207.24,1204.88,1205.98,606
2016.06.27 03:15,1205.99,1206.83,1205.72,1206.74,407
2016.06.27 03:20,1206.73,1207.18,1204.83,1205.21,466
2016.06.27 03:25,1205.22,1206.16,1204.69,1205.74,395
2016.06.27 03:30,1205.72,1206.90,1205.62,1206.62,389
2016.06.27 03:35,1206.69,1207.24,1205.97,1206.67,402
2016.06.27 03:40,1206.68,1207.66,1206.66,1207.48,280
2016.06.27 03:45,1207.56,1210.89,1207.45,1210.33,648
2016.06.27 03:50,1210.36,1210.68,1208.96,1209.87,611
2016.06.27 03:55,1210.14,1210.43,1209.20,1209.23,618
2016.06.27 04:00,1209.14,1209.14,1204.01,1206.44,1247
2016.06.27 04:05,1206.49,1206.52,1204.64,1205.84,664
2016.06.27 04:10,1205.94,1206.31,1203.38,1204.49,539
2016.06.27 04:15,1204.44,1206.49,1203.72,1206.29,603
2016.06.27 04:20,1206.34,1207.17,1205.23,1205.49,600
2016.06.27 04:25,1205.48,1206.60,1205.18,1205.69,466
2016.06.27 04:30,1205.69,1209.17,1205.18,1208.28,827
2016.06.27 04:35,1208.24,1209.04,1206.98,1207.27,827
2016.06.27 04:40,1207.34,1208.74,1206.39,1208.33,683
2016.06.27 04:45,1208.42,1209.82,1208.19,1208.22,526
2016.06.27 04:50,1208.19,1208.89,1206.84,1207.79,449
2016.06.27 04:55,1207.82,1208.99,1207.22,1207.30,479
