Date,Open,High,Low,Close,Volume
2015.12.21 19:30,36.28,36.34,36.27,36.31,74
2015.12.21 19:45,36.32,36.36,36.28,36.28,54
2015.12.21 20:00,36.29,36.42,36.29,36.42,29
2015.12.21 20:15,36.41,36.41,36.36,36.36,21
2015.12.21 20:30,36.36,36.39,36.34,36.34,36
2015.12.21 20:45,36.35,36.40,36.35,36.36,14
2015.12.21 21:00,36.37,36.40,36.34,36.35,25
2015.12.21 21:15,36.34,36.35,36.29,36.29,38
2015.12.21 21:30,36.28,36.32,36.24,36.24,39
2015.12.21 21:45,36.25,36.27,36.22,36.27,27
2015.12.21 22:00,36.26,36.29,36.21,36.25,35
2015.12.21 22:15,36.26,36.28,36.21,36.24,52
2015.12.21 22:30,36.25,36.28,36.23,36.24,50
2015.12.21 22:45,36.25,36.41,36.25,36.41,75
2015.12.22 16:30,36.66,36.66,36.49,36.59,282
2015.12.22 16:45,36.60,36.61,36.45,36.45,94
2015.12.22 17:00,36.44,36.48,36.39,36.42,82
2015.12.22 17:15,36.40,36.50,36.35,36.49,81
2015.12.22 17:30,36.47,36.50,36.45,36.46,53
2015.12.22 17:45,36.47,36.47,36.36,36.38,61
2015.12.22 18:00,36.39,36.39,36.32,36.39,57
2015.12.22 18:15,36.38,36.43,36.35,36.35,69
2015.12.22 18:30,36.36,36.50,36.35,36.46,75
2015.12.22 18:45,36.47,36.47,36.40,36.42,42
2015.12.22 19:00,36.43,36.45,36.34,36.35,38
2015.12.22 19:15,36.34,36.35,36.25,36.25,64
2015.12.22 19:30,36.24,36.35,36.24,36.35,45
2015.12.22 19:45,36.36,36.45,36.35,36.43,41
2015.12.22 20:00,36.44,36.45,36.38,36.39,45
2015.12.22 20:15,36.40,36.43,36.38,36.42,31
2015.12.22 20:30,36.41,36.41,36.34,36.38,42
2015.12.22 20:45,36.39,36.47,36.36,36.46,42
2015.12.22 21:00,36.47,36.50,36.46,36.49,39
2015.12.22 21:15,36.50,36.53,36.49,36.50,30
2015.12.22 21:30,36.49,36.54,36.47,36.54,22
2015.12.22 21:45,36.53,36.53,36.47,36.53,53
2015.12.22 22:00,36.54,36.60,36.49,36.60,66
2015.12.22 22:15,36.59,36.65,36.57,36.57,48
2015.12.22 22:30,36.56,36.59,36.48,36.49,52
2015.12.22 22:45,36.48,36.60,36.45,36.60,69
2015.12.23 16:30,36.78,36.91,36.70,36.78,233
2015.12.23 16:45,36.79,36.96,36.78,36.91,93
2015.12.23 17:00,36.92,36.97,36.89,36.95,67
2015.12.23 17:15,36.94,37.03,36.86,36.88,81
2015.12.23 17:30,36.87,36.96,36.87,36.96,109
2015.12.23 17:45,36.95,37.00,36.93,36.98,46
2015.12.23 18:00,36.99,37.02,36.95,36.96,27
2015.12.23 18:15,36.97,37.14,36.97,37.13,68
2015.12.23 18:30,37.14,37.17,37.11,37.13,59
2015.12.23 18:45,37.14,37.14,37.07,37.13,47
2015.12.23 19:00,37.14,37.21,37.10,37.10,38
2015.12.23 19:15,37.11,37.11,37.03,37.03,66
2015.12.23 19:30,37.04,37.04,36.96,36.96,44
2015.12.23 19:45,36.97,37.00,36.96,36.96,19
2015.12.23 20:00,36.95,36.99,36.92,36.99,42
2015.12.23 20:15,36.97,36.97,36.92,36.95,40
2015.12.23 20:30,36.94,36.95,36.89,36.92,53
2015.12.23 20:45,36.93,37.03,36.92,37.00,40
2015.12.23 21:00,37.01,37.02,36.96,36.99,41
2015.12.23 21:15,36.98,37.02,36.97,37.00,34
2015.12.23 21:30,37.01,37.04,36.99,37.00,48
2015.12.23 21:45,36.99,37.02,36.92,36.99,58
2015.12.23 22:00,37.00,37.02,36.95,36.96,52
2015.12.23 22:15,36.97,37.00,36.96,36.96,19
2015.12.23 22:30,36.97,36.99,36.87,36.91,43
2015.12.23 22:45,36.92,36.93,36.88,36.93,30
2015.12.24 16:30,36.84,36.95,36.81,36.93,118
2015.12.24 16:45,36.94,36.97,36.92,36.95,35
2015.12.24 17:00,36.96,37.04,36.96,37.04,29
2015.12.24 17:15,37.05,37.13,37.05,37.09,19
2015.12.24 17:30,37.09,37.09,37.03,37.08,25
2015.12.24 17:45,37.07,37.11,37.07,37.09,22
2015.12.24 18:00,37.10,37.10,37.06,37.06,32
2015.12.24 18:15,37.07,37.10,37.07,37.10,6
2015.12.24 18:30,37.09,37.11,37.06,37.10,16
2015.12.24 18:45,37.11,37.17,37.11,37.17,21
2015.12.24 19:00,37.18,37.18,37.14,37.17,30
2015.12.24 19:15,37.16,37.20,37.14,37.20,22
2015.12.24 19:30,37.21,37.21,37.14,37.15,25
2015.12.24 19:45,37.16,37.17,36.99,37.00,49
2015.12.28 16:30,36.78,36.80,36.59,36.71,231
2015.12.28 16:45,36.72,36.72,36.52,36.57,94
2015.12.28 17:00,36.56,36.57,36.49,36.53,106
2015.12.28 17:15,36.54,36.61,36.53,36.61,43
2015.12.28 17:30,36.60,36.64,36.59,36.61,23
2015.12.28 17:45,36.60,36.61,36.49,36.50,61
2015.12.28 18:00,36.49,36.57,36.46,36.57,32
2015.12.28 18:15,36.56,36.59,36.53,36.56,27
2015.12.28 18:30,36.55,36.57,36.53,36.57,46
2015.12.28 18:45,36.56,36.61,36.53,36.60,31
2015.12.28 19:00,36.61,36.64,36.59,36.60,62
2015.12.28 19:15,36.61,36.64,36.59,36.61,29
2015.12.28 19:30,36.60,36.63,36.57,36.63,36
2015.12.28 19:45,36.64,36.67,36.60,36.64,43
2015.12.28 20:00,36.65,36.71,36.63,36.71,67
2015.12.28 20:15,36.72,36.74,36.70,36.74,30
2015.12.28 20:30,36.75,36.78,36.67,36.68,60
2015.12.28 20:45,36.69,36.74,36.69,36.71,20
2015.12.28 21:00,36.72,36.74,36.70,36.71,20
2015.12.28 21:15,36.72,36.75,36.71,36.74,18
2015.12.28 21:30,36.75,36.77,36.71,36.74,15
2015.12.28 21:45,36.74,36.81,36.74,36.78,26
2015.12.28 22:00,36.79,36.82,36.78,36.81,44
2015.12.28 22:15,36.79,36.79,36.74,36.79,33
2015.12.28 22:30,36.78,36.79,36.73,36.74,44
2015.12.28 22:45,36.75,36.79,36.74,36.77,56
2015.12.29 16:30,37.01,37.10,36.99,37.03,196
2015.12.29 16:45,37.04,37.09,37.03,37.05,58
2015.12.29 17:00,37.06,37.20,37.06,37.17,76
2015.12.29 17:15,37.18,37.18,37.04,37.07,31
2015.12.29 17:30,37.08,37.14,37.08,37.14,26
2015.12.29 17:45,37.15,37.15,37.09,37.09,43
2015.12.29 18:00,37.10,37.17,37.10,37.15,25
2015.12.29 18:15,37.16,37.17,37.13,37.14,19
2015.12.29 18:30,37.15,37.17,37.11,37.11,22
2015.12.29 18:45,37.10,37.11,37.06,37.09,30
2015.12.29 19:00,37.10,37.10,37.04,37.09,13
2015.12.29 19:15,37.07,37.14,37.07,37.11,15
2015.12.29 19:30,37.10,37.11,37.07,37.07,15
2015.12.29 19:45,37.08,37.09,36.99,36.99,25
2015.12.29 20:00,36.97,37.00,36.97,37.00,19
2015.12.29 20:15,36.99,37.03,36.97,37.02,16
2015.12.29 20:30,37.03,37.07,37.03,37.07,9
2015.12.29 20:45,37.08,37.10,37.02,37.04,27
2015.12.29 21:00,37.03,37.04,37.02,37.02,11
2015.12.29 21:15,37.01,37.02,36.99,37.00,10
2015.12.29 21:30,36.99,37.04,36.99,37.03,18
2015.12.29 21:45,37.04,37.10,37.04,37.10,12
2015.12.29 22:00,37.09,37.15,37.09,37.13,31
2015.12.29 22:15,37.14,37.15,37.07,37.09,22
2015.12.29 22:30,37.10,37.10,37.04,37.06,52
2015.12.29 22:45,37.07,37.07,37.01,37.02,79
2015.12.30 16:30,37.00,37.00,36.84,36.84,107
2015.12.30 16:45,36.83,36.96,36.82,36.95,36
2015.12.30 17:00,36.96,37.03,36.96,37.03,35
2015.12.30 17:15,37.04,37.07,36.99,37.00,48
2015.12.30 17:30,37.00,37.03,36.99,37.03,9
2015.12.30 17:45,37.04,37.04,37.00,37.03,13
2015.12.30 18:00,37.02,37.03,36.99,37.00,27
2015.12.30 18:15,36.99,37.02,36.96,37.02,40
2015.12.30 18:30,37.03,37.03,36.97,36.99,27
2015.12.30 18:45,37.00,37.02,36.99,37.02,17
2015.12.30 19:00,37.01,37.11,37.00,37.08,31
2015.12.30 19:15,37.07,37.10,37.07,37.09,20
2015.12.30 19:30,37.10,37.10,37.06,37.07,19
2015.12.30 19:45,37.08,37.09,37.06,37.09,10
2015.12.30 20:00,37.08,37.10,37.07,37.09,25
2015.12.30 20:15,37.10,37.11,37.09,37.11,6
2015.12.30 20:30,37.10,37.13,37.09,37.11,18
2015.12.30 20:45,37.12,37.15,37.06,37.07,22
2015.12.30 21:00,37.06,37.10,37.06,37.10,15
2015.12.30 21:15,37.09,37.10,37.06,37.07,13
2015.12.30 21:30,37.07,37.09,37.06,37.07,14
2015.12.30 21:45,37.06,37.08,37.03,37.07,12
2015.12.30 22:00,37.06,37.07,37.04,37.07,16
2015.12.30 22:15,37.08,37.10,37.03,37.03,23
2015.12.30 22:30,37.02,37.02,36.90,36.99,112
2015.12.30 22:45,36.98,37.01,36.91,36.91,49
2015.12.31 16:30,36.71,36.73,36.56,36.59,245
2015.12.31 16:45,36.60,36.65,36.53,36.65,102
2015.12.31 17:00,36.64,36.64,36.57,36.60,44
2015.12.31 17:15,36.59,36.61,36.54,36.56,45
2015.12.31 17:30,36.55,36.55,36.42,36.50,56
2015.12.31 17:45,36.50,36.58,36.50,36.54,26
2015.12.31 18:00,36.55,36.63,36.54,36.61,48
2015.12.31 18:15,36.62,36.63,36.59,36.60,16
2015.12.31 18:30,36.59,36.70,36.57,36.70,28
2015.12.31 18:45,36.71,36.78,36.71,36.78,35
2015.12.31 19:00,36.78,36.85,36.77,36.83,46
2015.12.31 19:15,36.84,36.90,36.82,36.90,26
2015.12.31 19:30,36.89,36.93,36.85,36.93,21
2015.12.31 19:45,36.92,36.92,36.82,36.82,36
2015.12.31 20:00,36.81,36.82,36.74,36.77,24
2015.12.31 20:15,36.76,36.79,36.74,36.75,24
2015.12.31 20:30,36.76,36.85,36.76,36.85,26
2015.12.31 20:45,36.84,36.85,36.81,36.84,20
2016.01.04 16:30,35.77,35.81,35.59,35.67,572
2016.01.04 16:45,35.66,35.77,35.64,35.72,130
2016.01.04 17:00,35.71,35.71,35.46,35.60,248
2016.01.04 17:15,35.61,35.71,35.59,35.60,121
2016.01.04 17:30,35.59,35.60,35.52,35.60,65
2016.01.04 17:45,35.59,35.59,35.42,35.45,107
2016.01.04 18:00,35.44,35.46,35.35,35.40,148
2016.01.04 18:15,35.41,35.49,35.39,35.49,61
2016.01.04 18:30,35.48,35.57,35.45,35.53,110
2016.01.04 18:45,35.52,35.56,35.49,35.53,88
2016.01.04 19:00,35.52,35.52,35.40,35.42,53
2016.01.04 19:15,35.43,35.47,35.40,35.42,103
2016.01.04 19:30,35.41,35.57,35.39,35.57,94
2016.01.04 19:45,35.58,35.63,35.53,35.59,72
2016.01.04 20:00,35.60,35.67,35.57,35.63,60
2016.01.04 20:15,35.64,35.70,35.57,35.60,88
2016.01.04 20:30,35.59,35.64,35.53,35.57,97
2016.01.04 20:45,35.56,35.61,35.56,35.57,68
2016.01.04 21:00,35.56,35.57,35.47,35.50,58
2016.01.04 21:15,35.49,35.63,35.47,35.57,52
2016.01.04 21:30,35.59,35.60,35.46,35.50,108
2016.01.04 21:45,35.50,35.53,35.43,35.50,108
2016.01.04 22:00,35.49,35.49,35.39,35.43,103
2016.01.04 22:15,35.44,35.45,35.35,35.36,109
2016.01.04 22:30,35.36,35.58,35.36,35.58,93
2016.01.04 22:45,35.59,35.73,35.58,35.73,141
2016.01.05 16:30,35.85,36.09,35.84,35.96,317
2016.01.05 16:45,35.97,36.00,35.92,35.95,86
2016.01.05 17:00,35.96,36.02,35.86,35.97,129
2016.01.05 17:15,35.96,36.00,35.89,35.89,78
2016.01.05 17:30,35.88,35.96,35.85,35.92,96
2016.01.05 17:45,35.91,36.00,35.89,35.96,60
2016.01.05 18:00,35.97,36.03,35.88,35.88,109
2016.01.05 18:15,35.86,35.97,35.86,35.96,72
2016.01.05 18:30,35.97,35.99,35.85,35.85,48
2016.01.05 18:45,35.84,35.93,35.84,35.86,58
2016.01.05 19:00,35.87,35.88,35.74,35.74,99
2016.01.05 19:15,35.72,35.74,35.65,35.67,58
