Date,Open,High,Low,Close,Volume
2010.12.08 00:00,36.22,36.42,35.88,36.32,1301
2010.12.09 00:00,36.27,36.28,35.92,36.15,1230
2010.12.10 00:00,35.75,35.77,35.44,35.75,693
2010.12.13 00:00,36.08,36.08,35.73,35.83,906
2010.12.14 00:00,35.70,35.73,35.45,35.57,1315
2010.12.15 00:00,35.56,35.85,35.48,35.61,1031
2010.12.16 00:00,35.28,35.62,35.12,35.56,1142
2010.12.17 00:00,35.27,35.43,35.13,35.35,903
2010.12.20 00:00,35.14,35.35,35.03,35.15,691
2010.12.21 00:00,35.63,36.31,35.62,36.21,853
2010.12.22 00:00,35.67,35.73,35.28,35.41,732
2010.12.23 00:00,35.37,35.68,35.18,35.54,633
2010.12.27 00:00,35.40,35.59,35.37,35.54,488
2010.12.28 00:00,35.93,35.93,35.59,35.83,491
2010.12.29 00:00,35.98,36.02,35.76,35.85,455
2010.12.30 00:00,35.77,35.87,35.49,35.53,442
2010.12.31 00:00,35.35,35.83,35.35,35.78,359
2011.01.03 00:00,35.96,36.38,35.95,36.35,592
2011.01.04 00:00,36.40,36.41,35.96,36.17,917
2011.01.05 00:00,35.81,36.34,35.77,36.19,1126
2011.01.06 00:00,36.34,36.35,35.89,36.00,1009
2011.01.07 00:00,36.23,36.30,35.72,36.03,1079
2011.01.10 00:00,35.93,36.16,35.74,36.14,1150
2011.01.11 00:00,36.27,36.41,36.08,36.37,928
2011.01.12 00:00,36.32,36.43,36.11,36.40,657
2011.01.13 00:00,36.00,36.05,35.49,35.61,850
2011.01.14 00:00,35.36,35.92,35.33,35.88,586
2011.01.18 00:00,35.82,36.03,35.72,35.84,675
2011.01.19 00:00,36.06,36.20,35.89,35.97,920
2011.01.20 00:00,35.62,35.73,35.05,35.43,1440
2011.01.21 00:00,34.42,34.57,34.06,34.18,1300
2011.01.24 00:00,34.40,34.97,34.33,34.85,746
2011.01.25 00:00,35.16,35.28,34.79,35.14,946
2011.01.26 00:00,35.04,35.19,34.88,34.94,1128
2011.01.27 00:00,35.30,35.49,35.12,35.38,810
2011.01.28 00:00,35.36,35.49,34.62,34.79,1541
2011.01.31 00:00,34.58,34.62,34.34,34.34,705
2011.02.01 00:00,34.60,34.86,34.51,34.72,1010
2011.02.02 00:00,34.82,34.95,34.64,34.77,1019
2011.02.03 00:00,35.12,36.68,35.12,36.46,1154
2011.02.04 00:00,35.82,36.05,35.49,35.60,1111
2011.02.07 00:00,34.75,35.08,34.67,34.94,685
2011.02.08 00:00,35.11,35.37,34.95,35.24,733
2011.02.09 00:00,34.99,35.11,34.79,35.04,727
2011.02.10 00:00,34.68,34.90,34.52,34.84,772
2011.02.11 00:00,34.83,35.03,34.63,34.87,445
2011.02.14 00:00,35.07,35.12,34.92,34.99,332
2011.02.15 00:00,34.84,34.87,34.62,34.68,401
2011.02.16 00:00,35.64,35.92,35.54,35.83,504
2011.02.17 00:00,36.07,36.46,36.03,36.34,401
2011.02.18 00:00,36.22,36.46,36.13,36.39,503
2011.02.21 00:00,36.41,36.41,36.41,36.41,1
2011.02.22 00:00,36.46,36.69,36.06,36.16,1084
2011.02.23 00:00,36.27,36.29,35.58,35.83,1717
2011.02.24 00:00,35.59,35.89,35.46,35.75,1619
2011.02.25 00:00,36.14,36.51,36.11,36.45,814
2011.02.28 00:00,36.81,36.96,36.73,36.82,953
2011.03.01 00:00,36.71,36.82,36.26,36.28,1581
2011.03.02 00:00,36.09,36.32,36.01,36.16,1556
2011.03.03 00:00,36.04,36.43,36.01,36.37,622
2011.03.04 00:00,35.96,36.09,35.62,35.96,1153
2011.03.07 00:00,35.89,36.00,35.15,35.15,1639
2011.03.08 00:00,35.20,35.44,34.98,35.32,1264
2011.03.09 00:00,34.93,35.09,34.71,34.97,1264
2011.03.10 00:00,34.49,34.60,34.20,34.28,1143
2011.03.11 00:00,33.36,33.60,33.07,33.42,902
2011.03.14 00:00,30.84,31.30,30.75,31.04,1438
2011.03.15 00:00,28.99,31.25,28.91,30.90,2258
2011.03.16 00:00,31.13,31.13,29.51,29.89,3601
2011.03.17 00:00,31.98,31.99,31.28,31.40,1837
2011.03.18 00:00,31.04,31.53,30.84,31.52,1642
2011.03.21 00:00,32.52,32.57,32.09,32.37,973
2011.03.22 00:00,32.38,32.42,32.09,32.26,959
2011.03.23 00:00,32.23,32.31,31.63,32.12,1342
2011.03.24 00:00,32.10,32.55,31.89,32.34,1131
2011.03.25 00:00,32.52,32.59,32.21,32.22,1090
2011.03.28 00:00,31.94,32.01,31.66,31.67,857
2011.03.29 00:00,31.79,31.97,31.64,31.91,1067
2011.03.30 00:00,32.25,32.31,32.07,32.27,790
2011.03.31 00:00,32.04,32.09,31.75,31.80,929
2011.04.01 00:00,31.82,32.08,31.59,31.88,926
2011.04.04 00:00,31.62,31.67,31.39,31.44,812
2011.04.05 00:00,31.04,31.29,30.93,31.08,1062
2011.04.06 00:00,30.72,30.78,30.36,30.51,684
2011.04.07 00:00,30.66,30.70,30.09,30.31,1325
2011.04.08 00:00,30.88,30.91,30.51,30.57,672
2011.04.11 00:00,30.40,30.44,30.07,30.26,992
2011.04.12 00:00,29.82,29.82,29.40,29.59,800
2011.04.13 00:00,29.99,30.00,29.61,29.77,1091
2011.04.14 00:00,29.69,29.81,29.58,29.70,609
2011.04.15 00:00,29.60,29.71,29.53,29.68,675
2011.04.18 00:00,28.90,29.32,28.90,29.26,1222
2011.04.19 00:00,29.48,29.77,29.41,29.72,714
2011.04.20 00:00,30.05,30.09,29.94,29.99,254
2011.04.25 00:00,30.33,30.33,29.91,30.07,480
2011.04.27 00:00,29.01,29.10,28.86,29.01,680
2011.04.28 00:00,27.97,28.49,27.86,28.39,734
2011.04.29 00:00,28.47,28.50,28.21,28.31,871
2011.05.02 00:00,28.74,29.09,28.57,28.78,751
2011.05.03 00:00,28.54,28.73,28.33,28.42,694
2011.05.04 00:00,28.46,28.65,28.17,28.39,1689
2011.05.05 00:00,28.15,28.27,27.92,27.99,1941
2011.05.06 00:00,28.33,28.38,28.03,28.07,2450
2011.05.09 00:00,28.51,28.73,28.45,28.68,1402
2011.05.10 00:00,28.61,29.09,28.61,28.97,216
2011.05.11 00:00,28.40,28.53,28.16,28.29,1653
2011.05.12 00:00,27.97,28.27,27.93,28.21,1841
2011.05.13 00:00,27.84,27.91,27.50,27.59,2237
2011.05.16 00:00,27.63,28.12,27.60,27.82,1330
2011.05.17 00:00,27.83,28.09,27.81,28.07,1118
2011.05.18 00:00,27.61,27.80,27.55,27.78,741
2011.05.19 00:00,27.20,27.30,27.11,27.24,709
2011.05.20 00:00,27.16,27.24,26.94,27.05,808
2011.05.23 00:00,26.06,26.77,25.92,26.59,585
2011.05.24 00:00,27.61,28.01,27.56,27.90,586
2011.05.25 00:00,27.28,27.69,27.15,27.62,847
2011.05.26 00:00,27.45,27.46,27.03,27.19,1086
2011.05.27 00:00,26.89,27.06,26.78,26.85,834
