Date,Open,High,Low,Close,Volume
2015.02.26 22:30,130.10,130.22,130.07,130.17,1335
2015.02.27 16:30,129.63,130.12,129.35,129.47,6693
2015.02.27 17:30,129.92,130.15,129.83,130.13,3534
2015.02.27 18:30,129.64,129.87,129.61,129.86,2412
2015.02.27 19:30,129.93,129.95,129.87,129.89,2112
2015.02.27 20:30,129.69,129.77,129.68,129.69,2673
2015.02.27 21:30,128.93,129.14,128.77,129.14,3441
2015.02.27 21:31,128.93,129.07,128.89,128.91,1147
2015.02.27 22:30,128.90,128.90,128.76,128.77,1605
2015.03.02 16:30,129.42,129.59,129.15,129.45,5364
2015.03.02 17:30,129.77,129.83,129.52,129.71,3483
2015.03.02 18:30,129.53,129.74,129.53,129.56,2571
2015.03.02 19:30,129.15,129.20,128.92,128.92,3339
2015.03.02 20:30,128.47,128.55,128.35,128.52,3396
2015.03.02 21:30,128.65,128.82,128.63,128.63,3090
2015.03.02 22:30,129.11,129.14,128.91,128.92,1107
2015.03.03 16:30,128.72,129.02,128.36,128.98,5343
2015.03.03 16:31,128.72,128.84,128.54,128.59,1781
2015.03.03 17:30,128.58,128.82,128.58,128.69,3738
2015.03.03 17:31,128.58,128.59,128.46,128.47,1246
2015.03.03 18:30,128.46,128.47,128.17,128.37,3060
2015.03.03 19:30,128.28,128.37,128.27,128.35,2178
2015.03.03 20:30,128.86,128.91,128.81,128.90,1998
2015.03.03 21:30,129.41,129.45,129.18,129.21,2379
2015.03.03 22:30,129.28,129.34,129.22,129.28,888
2015.03.03 22:31,129.28,129.36,129.26,129.31,296
2015.03.04 16:30,128.84,129.50,128.84,129.10,5955
2015.03.04 17:30,128.76,128.89,128.66,128.85,3132
2015.03.04 18:30,128.91,128.95,128.80,128.84,2247
2015.03.04 18:31,128.91,129.01,128.84,129.01,749
2015.03.04 19:30,129.00,129.02,128.92,128.96,1869
2015.03.04 19:31,129.00,129.07,128.98,129.04,623
2015.03.04 20:30,129.03,129.06,128.99,129.03,1809
2015.03.04 21:30,128.80,128.84,128.76,128.84,1989
2015.03.04 22:30,128.69,128.85,128.69,128.77,1200
2015.03.05 16:30,128.46,128.60,127.71,127.91,5421
2015.03.05 17:30,127.32,127.44,127.28,127.30,4215
2015.03.05 18:30,126.94,126.95,126.85,126.89,2541
2015.03.05 19:30,126.63,126.72,126.63,126.65,4023
2015.03.05 20:30,126.32,126.38,126.29,126.35,2436
2015.03.05 21:30,126.64,126.78,126.58,126.60,2661
2015.03.05 22:30,126.38,126.38,126.15,126.25,1350
2015.03.05 22:31,126.38,126.48,126.29,126.30,450
2015.03.06 16:30,128.38,128.40,127.67,127.80,7002
2015.03.06 17:30,128.46,128.81,128.39,128.78,5598
2015.03.06 18:30,127.68,127.70,127.30,127.70,6090
2015.03.06 18:31,127.68,127.68,127.48,127.48,2030
2015.03.06 19:30,127.51,127.68,127.36,127.61,4722
2015.03.06 20:30,126.97,127.07,126.87,126.97,3798
2015.03.06 20:31,126.97,127.04,126.92,127.04,1266
2015.03.06 21:30,127.03,127.13,126.99,127.10,4062
2015.03.06 22:30,126.55,126.67,126.33,126.40,2466
2015.03.06 22:31,126.55,126.58,126.39,126.54,822
2015.03.09 15:00,127.57,127.81,127.34,127.41,3807
2015.03.09 15:30,127.57,127.81,127.34,127.41,2229
2015.03.09 15:31,127.57,127.59,127.32,127.59,2012
2015.03.09 16:30,127.57,127.82,127.55,127.75,3351
2015.03.09 17:30,127.81,127.84,127.74,127.81,2496
2015.03.09 18:30,127.39,127.42,127.17,127.38,4890
2015.03.09 19:30,127.73,128.21,127.66,128.13,11307
2015.03.09 20:30,127.10,127.31,126.84,126.90,9888
2015.03.09 20:31,127.10,127.19,126.78,127.06,3296
2015.03.09 21:30,127.05,127.13,126.81,126.85,2937
2015.03.09 21:31,127.05,127.30,127.03,127.03,979
2015.03.10 15:00,126.75,127.16,126.33,126.51,3741
2015.03.10 15:30,126.75,127.16,126.33,126.51,2856
2015.03.10 16:30,125.23,125.25,125.04,125.05,5436
2015.03.10 16:31,125.23,125.30,125.11,125.24,1812
2015.03.10 17:30,125.26,125.44,125.21,125.21,4455
2015.03.10 18:30,124.15,124.25,123.76,123.86,5028
2015.03.10 19:30,124.68,124.79,124.59,124.75,4863
2015.03.10 19:31,124.68,124.72,124.53,124.65,1621
2015.03.10 20:30,124.67,124.92,124.67,124.86,4578
2015.03.10 21:30,124.84,124.88,124.71,124.87,1986
2015.03.11 15:00,124.36,124.60,123.34,123.57,4155
2015.03.11 15:30,124.36,124.60,123.34,123.57,3615
2015.03.11 16:30,122.82,122.89,122.54,122.55,5133
2015.03.11 17:30,123.08,123.33,123.06,123.30,4179
2015.03.11 18:30,123.34,123.34,123.19,123.32,2841
2015.03.11 19:30,123.41,123.50,123.27,123.35,3561
2015.03.11 20:30,123.17,123.21,122.91,123.00,3591
2015.03.11 21:30,122.34,122.60,122.28,122.56,2025
2015.03.12 15:00,122.25,122.90,121.61,122.66,4353
2015.03.12 15:30,122.25,122.90,121.61,122.66,2877
2015.03.12 16:30,124.18,124.39,124.18,124.23,4290
2015.03.12 16:31,124.18,124.31,124.07,124.13,1430
2015.03.12 17:30,124.15,124.19,123.91,123.95,3192
2015.03.12 17:31,124.15,124.24,124.06,124.18,1064
2015.03.12 18:30,124.19,124.22,124.06,124.06,2676
2015.03.12 18:31,124.19,124.20,124.06,124.08,892
2015.03.12 19:30,124.05,124.21,124.05,124.19,3309
2015.03.12 20:30,124.71,124.76,124.46,124.53,4134
2015.03.12 21:30,124.42,124.45,124.23,124.25,1458
2015.03.12 21:31,124.42,124.45,124.33,124.40,486
2015.03.13 15:00,124.60,124.62,123.86,124.06,4062
2015.03.13 15:30,124.60,124.62,123.86,124.06,3183
2015.03.13 16:30,124.37,124.60,124.36,124.46,5151
2015.03.13 17:30,123.70,123.83,123.59,123.78,5175
2015.03.13 18:30,123.48,123.58,123.48,123.53,4515
2015.03.13 19:30,122.85,122.95,122.73,122.84,3876
2015.03.13 19:31,122.85,123.01,122.65,123.00,1292
2015.03.13 20:30,123.02,123.21,123.02,123.16,4602
2015.03.13 20:31,123.02,123.23,122.97,123.16,1534
2015.03.13 21:30,123.17,123.17,122.99,123.04,1905
2015.03.16 15:00,123.63,123.85,123.18,123.40,3786
2015.03.16 15:30,123.63,123.85,123.18,123.40,2958
2015.03.16 16:30,124.07,124.22,124.05,124.15,3504
2015.03.16 17:30,124.41,124.42,124.26,124.32,2604
2015.03.16 18:30,124.04,124.12,124.03,124.06,1782
2015.03.16 19:30,124.12,124.16,124.09,124.09,1799
2015.03.16 20:30,124.40,124.42,124.40,124.42,2459
2015.03.16 21:30,124.66,124.66,124.64,124.64,1691
2015.03.17 15:00,125.77,126.20,125.77,126.15,5211
2015.03.17 15:30,125.77,126.20,125.77,126.15,3153
2015.03.17 16:30,126.88,126.95,126.86,126.92,5349
2015.03.17 17:30,126.41,126.42,126.31,126.36,3974
2015.03.17 18:30,126.71,126.72,126.69,126.70,2634
2015.03.17 19:30,127.15,127.16,127.15,127.15,2812
2015.03.17 20:30,127.10,127.10,127.07,127.07,2670
2015.03.17 20:31,127.08,127.09,127.04,127.05,670
2015.03.17 21:30,127.04,127.09,127.02,127.05,1317
2015.03.17 21:31,127.04,127.11,127.02,127.02,325
2015.03.18 15:00,126.88,126.95,126.74,126.80,5053
2015.03.18 15:30,126.88,126.95,126.74,126.80,3177
2015.03.18 16:30,127.82,127.84,127.72,127.76,4081
2015.03.18 17:30,127.47,127.48,127.41,127.42,4208
2015.03.18 18:30,126.86,126.89,126.85,126.87,3433
