Date,Open,High,Low,Close,Volume
2015.02.17 18:30,69.16,69.39,68.95,68.95,962
2015.02.17 19:30,68.95,69.57,68.95,69.53,976
2015.02.17 20:30,69.53,69.96,69.34,69.89,999
2015.02.17 21:30,69.88,69.94,69.47,69.64,664
2015.02.17 22:30,69.63,69.69,69.26,69.37,290
2015.02.18 16:30,68.01,69.00,67.56,68.85,1359
2015.02.18 17:30,68.86,68.99,68.60,68.80,1002
2015.02.18 18:30,68.81,68.99,68.55,68.93,921
2015.02.18 19:30,68.92,69.05,68.30,68.54,944
2015.02.18 20:30,68.52,68.97,68.27,68.27,986
2015.02.18 21:30,68.28,68.46,67.80,67.80,800
2015.02.18 22:30,67.79,67.90,67.61,67.74,290
2015.02.19 16:30,65.36,66.97,65.36,66.65,1441
2015.02.19 17:30,66.60,67.37,66.46,67.34,1199
2015.02.19 18:30,67.35,67.84,67.27,67.31,1325
2015.02.19 19:30,67.32,67.44,67.08,67.33,1085
2015.02.19 20:30,67.31,67.74,67.21,67.61,1115
2015.02.19 21:30,67.64,67.84,67.53,67.63,896
2015.02.19 22:30,67.63,67.72,67.33,67.40,319
2015.02.20 16:30,67.05,67.39,66.32,66.60,1381
2015.02.20 17:30,66.58,66.94,66.46,66.84,1029
2015.02.20 18:30,66.84,66.94,66.67,66.73,857
2015.02.20 19:30,66.73,66.98,66.42,66.67,1259
2015.02.20 20:30,66.68,66.97,66.59,66.76,1075
2015.02.20 21:30,66.75,67.11,66.60,67.11,839
2015.02.20 22:30,67.13,67.41,67.08,67.37,390
2015.02.23 16:30,66.70,67.13,66.50,66.94,1174
2015.02.23 17:30,66.94,67.25,66.81,67.20,1160
2015.02.23 18:30,67.19,67.22,66.77,66.93,830
2015.02.23 19:30,66.95,67.02,66.65,66.75,754
2015.02.23 20:30,66.77,67.52,66.77,67.22,1268
2015.02.23 21:30,67.23,67.25,66.66,66.68,818
2015.02.23 22:30,66.69,66.89,66.63,66.89,249
2015.02.24 16:30,67.29,67.45,66.92,67.12,1305
2015.02.24 17:30,67.10,67.28,66.76,67.07,1141
2015.02.24 18:30,67.08,67.17,66.87,67.16,1040
2015.02.24 19:30,67.15,67.26,67.02,67.18,962
2015.02.24 20:30,67.19,67.28,66.96,67.02,892
2015.02.24 21:30,67.01,67.12,66.89,67.07,672
2015.02.24 22:30,67.07,67.16,67.01,67.10,261
2015.02.25 16:30,67.47,67.81,67.00,67.07,1336
2015.02.25 17:30,67.07,67.50,66.92,67.40,1164
2015.02.25 18:30,67.40,67.53,67.24,67.33,863
2015.02.25 19:30,67.32,67.36,67.13,67.13,882
2015.02.25 20:30,67.14,67.52,67.14,67.41,989
2015.02.25 21:30,67.41,67.51,67.28,67.44,890
2015.02.25 22:30,67.45,67.57,67.38,67.53,329
2015.02.26 16:30,66.60,66.81,65.60,65.85,1221
2015.02.26 17:30,65.85,66.10,65.69,65.94,948
2015.02.26 18:30,65.95,66.07,65.78,65.96,763
2015.02.26 19:30,65.95,66.01,65.85,65.90,614
2015.02.26 20:30,65.90,66.04,65.71,65.77,617
2015.02.26 21:30,65.78,65.82,65.59,65.78,597
2015.02.26 22:30,65.79,65.95,65.73,65.84,190
2015.02.27 16:30,65.95,66.06,65.57,65.57,1067
2015.02.27 17:30,65.58,65.87,65.58,65.66,884
2015.02.27 18:30,65.67,65.73,65.34,65.37,677
2015.02.27 19:30,65.37,65.51,65.13,65.23,794
2015.02.27 20:30,65.24,65.52,65.20,65.43,826
2015.02.27 21:30,65.44,65.44,65.22,65.24,719
2015.02.27 22:30,65.24,65.29,65.13,65.19,176
2015.03.02 16:30,65.14,65.21,63.81,64.34,1338
2015.03.02 17:30,64.35,64.72,64.35,64.61,888
2015.03.02 18:30,64.61,64.69,64.30,64.41,742
2015.03.02 19:30,64.42,64.66,64.38,64.48,611
2015.03.02 20:30,64.48,64.48,63.92,63.92,633
2015.03.02 21:30,63.93,64.23,63.92,64.17,497
2015.03.02 22:30,64.17,64.38,64.14,64.38,194
2015.03.03 16:30,64.48,64.76,64.26,64.63,1173
2015.03.03 17:30,64.63,64.89,64.53,64.66,818
2015.03.03 18:30,64.65,64.96,64.50,64.96,1000
2015.03.03 19:30,64.96,65.26,64.91,65.16,780
2015.03.03 20:30,65.16,65.22,64.83,65.06,786
2015.03.03 21:30,65.06,65.12,64.75,64.83,559
2015.03.03 22:30,64.83,64.86,64.72,64.78,239
2015.03.04 16:30,64.60,64.68,64.01,64.14,1080
2015.03.04 17:30,64.08,64.08,63.67,63.92,1034
2015.03.04 18:30,63.93,64.25,63.86,64.17,702
2015.03.04 19:30,64.16,64.30,64.15,64.26,670
2015.03.04 20:30,64.26,64.27,63.94,64.13,920
2015.03.04 21:30,64.12,64.34,64.09,64.29,553
2015.03.04 22:30,64.28,64.40,64.19,64.25,202
2015.03.05 16:30,64.03,64.03,63.60,63.82,1036
2015.03.05 17:30,63.83,64.07,63.83,63.93,876
2015.03.05 18:30,63.93,64.04,63.82,63.82,644
2015.03.05 19:30,63.82,64.02,63.74,63.96,622
2015.03.05 20:30,63.97,64.01,63.74,63.81,493
2015.03.05 21:30,63.82,63.83,63.58,63.69,368
2015.03.05 22:30,63.68,63.71,63.53,63.53,190
2015.03.06 16:30,62.92,63.67,62.85,63.35,1167
2015.03.06 17:30,63.33,63.34,63.06,63.26,854
2015.03.06 18:30,63.25,63.34,63.02,63.05,783
2015.03.06 19:30,63.05,63.18,62.92,62.97,697
2015.03.06 20:30,62.97,63.11,62.72,62.95,841
2015.03.06 21:30,62.95,62.95,62.70,62.78,755
2015.03.06 22:30,62.77,62.84,62.67,62.79,370
2015.03.09 16:30,62.58,62.99,62.30,62.91,1102
2015.03.09 17:30,62.91,63.33,62.87,62.93,710
2015.03.09 18:30,62.93,62.97,62.65,62.79,629
2015.03.09 19:30,62.78,62.96,62.62,62.62,446
2015.03.09 20:30,62.63,62.71,62.26,62.27,570
2015.03.09 21:30,62.28,62.35,61.98,62.02,522
2015.03.09 22:30,62.03,62.15,61.96,61.96,253
2015.03.10 16:30,61.02,61.56,61.00,61.24,1225
2015.03.10 17:30,61.21,61.71,61.15,61.58,1080
2015.03.10 18:30,61.56,61.60,61.10,61.21,938
2015.03.10 19:30,61.18,61.34,61.10,61.16,916
2015.03.10 20:30,61.16,61.16,60.75,60.78,636
2015.03.10 21:30,60.78,60.97,60.68,60.89,699
2015.03.10 22:30,60.89,61.04,60.82,60.89,317
2015.03.11 16:30,60.89,61.59,60.80,61.54,1232
2015.03.11 17:30,61.48,61.60,61.01,61.59,1041
2015.03.11 18:30,61.59,61.60,61.39,61.49,895
2015.03.11 19:30,61.50,61.65,61.35,61.56,733
2015.03.11 20:30,61.55,61.86,61.32,61.74,900
2015.03.11 21:30,61.75,61.75,61.34,61.35,672
2015.03.11 22:30,61.36,61.41,61.30,61.31,297
2015.03.12 16:30,61.57,61.91,61.37,61.78,1039
2015.03.12 17:30,61.78,61.86,61.50,61.60,631
2015.03.12 18:30,61.63,61.74,61.46,61.60,554
2015.03.12 19:30,61.61,61.84,61.52,61.69,500
2015.03.12 20:30,61.68,61.68,61.34,61.38,396
2015.03.12 21:30,61.39,61.58,61.32,61.41,416
2015.03.12 22:30,61.42,61.46,61.33,61.36,130
2015.03.13 16:30,60.81,61.22,60.64,60.93,1274
2015.03.13 17:30,60.92,61.08,60.57,60.61,836
2015.03.13 18:30,60.61,60.85,60.60,60.77,756
2015.03.13 19:30,60.78,61.17,60.78,60.85,624
2015.03.13 20:30,60.85,61.17,60.85,61.14,691
2015.03.13 21:30,61.14,61.46,61.03,61.40,723
2015.03.13 22:30,61.40,61.79,61.35,61.63,360
2015.03.16 16:30,61.20,61.41,60.83,60.98,1132
2015.03.16 17:30,60.99,61.24,60.88,61.09,737
2015.03.16 18:30,61.10,61.59,61.08,61.48,762
2015.03.16 19:30,61.48,61.87,61.42,61.87,651
2015.03.16 20:30,61.88,61.95,61.74,61.92,551
2015.03.16 21:30,61.92,62.35,61.90,62.29,522
2015.03.16 22:30,62.30,62.45,62.22,62.39,252
2015.03.17 16:30,61.83,62.25,61.40,61.43,1135
2015.03.17 17:30,61.42,61.91,61.38,61.91,834
2015.03.17 18:30,61.92,62.16,61.75,61.79,819
2015.03.17 19:30,61.79,62.26,61.76,62.22,874
2015.03.17 20:30,62.21,62.48,62.04,62.05,799
2015.03.17 21:30,62.06,62.18,61.95,62.08,602
2015.03.17 22:30,62.09,62.17,61.99,62.01,294
2015.03.18 16:30,61.51,62.39,61.20,62.38,1134
2015.03.18 17:30,62.39,62.49,61.91,62.00,913
2015.03.18 18:30,62.00,62.28,61.98,62.07,709
2015.03.18 19:30,62.06,62.43,62.03,62.35,619
2015.03.18 20:30,62.35,63.54,62.23,63.38,1264
2015.03.18 21:30,63.37,64.29,63.28,64.01,1341
2015.03.18 22:30,64.02,64.02,63.42,63.63,393
2015.03.19 16:30,62.81,63.31,62.16,63.07,1169
2015.03.19 17:30,63.06,63.16,62.72,63.00,878
2015.03.19 18:30,63.00,63.06,62.60,62.62,865
2015.03.19 19:30,62.63,62.79,62.52,62.76,630
2015.03.19 20:30,62.77,62.87,62.69,62.76,578
2015.03.19 21:30,62.76,62.86,62.71,62.80,344
2015.03.19 22:30,62.79,62.89,62.69,62.77,202
2015.03.20 16:30,62.96,63.87,62.90,63.68,1328
2015.03.20 17:30,63.66,64.02,63.63,63.90,720
2015.03.20 18:30,63.89,63.98,63.67,63.89,702
2015.03.20 19:30,63.87,64.01,63.82,63.94,653
2015.03.20 20:30,63.94,64.10,63.87,63.91,482
2015.03.20 21:30,63.91,64.00,63.78,63.85,471
2015.03.20 22:30,63.85,63.92,63.82,63.86,267
2015.03.23 16:30,63.90,64.17,63.82,64.04,1001
2015.03.23 17:30,64.05,64.12,63.93,64.08,607
2015.03.23 18:30,64.07,64.10,63.65,63.70,823
2015.03.23 19:30,63.71,63.89,63.63,63.64,608
2015.03.23 20:30,63.64,63.66,63.53,63.63,779
2015.03.23 21:30,63.64,63.65,63.44,63.44,426
2015.03.23 22:30,63.44,63.48,63.21,63.24,267
2015.03.24 16:30,63.32,63.57,62.67,62.79,1196
2015.03.24 17:30,62.79,63.11,62.72,63.11,787
2015.03.24 18:30,63.11,63.14,62.81,62.98,652
2015.03.24 19:30,62.98,63.08,62.77,62.82,602
2015.03.24 20:30,62.81,62.90,62.52,62.60,619
2015.03.24 21:30,62.60,62.79,62.54,62.61,485
2015.03.24 22:30,62.60,62.72,62.53,62.55,243
2015.03.25 16:30,63.22,63.49,62.88,63.28,1195
2015.03.25 17:30,63.24,63.24,62.65,62.94,982
2015.03.25 18:30,62.94,63.09,62.76,63.01,880
2015.03.25 19:30,63.02,63.23,62.96,63.20,771
2015.03.25 20:30,63.21,63.45,63.14,63.44,845
2015.03.25 21:30,63.45,63.48,63.11,63.13,586
2015.03.25 22:30,63.14,63.30,63.04,63.04,277
2015.03.26 16:30,63.97,64.13,63.23,63.51,1250
2015.03.26 17:30,63.49,63.54,62.92,63.22,972
2015.03.26 18:30,63.23,63.40,63.01,63.27,855
2015.03.26 19:30,63.27,63.48,63.16,63.35,648
2015.03.26 20:30,63.34,63.61,63.29,63.57,681
2015.03.26 21:30,63.55,63.60,63.26,63.36,676
2015.03.26 22:30,63.35,63.48,63.23,63.25,344
2015.03.27 16:30,62.64,63.00,62.43,62.93,1166
2015.03.27 17:30,62.92,63.06,62.71,62.73,704
2015.03.27 18:30,62.72,63.08,62.68,62.90,819
2015.03.27 19:30,62.91,63.01,62.75,62.82,739
2015.03.27 20:30,62.81,63.04,62.79,62.91,614
2015.03.27 21:30,62.92,62.95,62.76,62.80,470
2015.03.27 22:30,62.80,62.93,62.75,62.93,305
2015.03.30 16:30,63.46,63.99,63.39,63.83,999
2015.03.30 17:30,63.83,63.93,63.56,63.71,757
2015.03.30 18:30,63.71,63.74,63.54,63.59,540
2015.03.30 19:30,63.59,63.86,63.56,63.83,388
2015.03.30 20:30,63.84,63.99,63.74,63.91,648
2015.03.30 21:30,63.89,64.14,63.87,63.98,439
2015.03.30 22:30,63.99,64.08,63.92,63.98,203
2015.03.31 16:30,63.13,63.44,62.93,63.38,1048
2015.03.31 17:30,63.38,63.47,63.15,63.26,448
2015.03.31 18:30,63.25,63.27,63.03,63.21,394
2015.03.31 19:30,63.19,63.24,63.11,63.16,384
2015.03.31 20:30,63.17,63.36,63.02,63.02,431
2015.03.31 21:30,63.03,63.03,62.50,62.55,345
2015.03.31 22:30,62.54,62.54,62.24,62.25,241
2015.04.01 16:30,62.74,63.16,62.63,62.88,1266
2015.04.01 17:30,62.90,63.03,62.81,62.88,917
2015.04.01 18:30,62.88,63.10,62.79,62.95,774
2015.04.01 19:30,62.96,63.19,62.94,63.07,545
2015.04.01 20:30,63.06,63.37,63.04,63.30,548
2015.04.01 21:30,63.29,63.48,63.07,63.09,440
2015.04.01 22:30,63.11,63.20,62.93,63.02,288
2015.04.02 16:30,62.60,63.40,62.55,63.25,1201
2015.04.02 17:30,63.28,63.28,63.00,63.01,896
2015.04.02 18:30,63.00,63.13,62.94,63.04,670
2015.04.02 19:30,63.05,63.15,62.94,62.95,606
2015.04.02 20:30,62.97,63.15,62.69,63.05,768
2015.04.02 21:30,63.05,63.19,63.01,63.07,467
2015.04.02 22:30,63.08,63.30,63.06,63.19,258
2015.04.06 16:30,63.40,64.31,63.40,64.30,1052
2015.04.06 17:30,64.29,64.71,64.29,64.61,748
2015.04.06 18:30,64.61,65.19,64.60,65.12,640
2015.04.06 19:30,65.11,65.40,65.03,65.39,582
2015.04.06 20:30,65.38,65.48,65.28,65.47,497
2015.04.06 21:30,65.48,65.87,65.47,65.55,317
2015.04.06 22:30,65.56,65.66,65.33,65.37,145
2015.04.07 16:30,65.25,65.86,65.00,65.79,1181
2015.04.07 17:30,65.81,65.93,65.63,65.75,870
2015.04.07 18:30,65.77,65.82,65.72,65.77,488
2015.04.07 19:30,65.78,65.93,65.78,65.89,496
2015.04.07 20:30,65.87,65.98,65.52,65.96,604
2015.04.07 21:30,65.96,66.03,65.82,65.89,333
2015.04.07 22:30,65.89,65.94,65.77,65.79,200
2015.04.08 16:30,66.07,66.22,65.76,65.98,958
2015.04.08 17:30,65.98,65.98,65.26,65.29,787
2015.04.08 18:30,65.29,65.32,65.04,65.05,448
2015.04.08 19:30,65.05,65.22,65.03,65.10,408
2015.04.08 20:30,65.11,65.51,65.08,65.21,926
2015.04.08 21:30,65.20,65.25,64.91,64.91,702
2015.04.08 22:30,64.91,65.08,64.79,64.79,296
2015.04.09 16:30,65.01,65.72,64.86,65.67,1258
2015.04.09 17:30,65.66,65.66,65.12,65.40,947
2015.04.09 18:30,65.38,66.14,65.34,65.97,575
2015.04.09 19:30,65.98,66.43,65.91,66.40,619
2015.04.09 20:30,66.39,66.61,66.27,66.58,456
2015.04.09 21:30,66.57,67.33,66.55,67.30,449
2015.04.09 22:30,67.33,67.45,66.99,67.00,293
2015.04.10 16:30,67.25,67.37,66.61,66.66,1135
2015.04.10 17:30,66.67,67.06,66.66,66.98,746
2015.04.10 18:30,66.99,67.08,66.80,66.83,480
2015.04.10 19:30,66.82,66.85,66.47,66.52,534
2015.04.10 20:30,66.51,66.69,66.48,66.64,626
2015.04.10 21:30,66.65,66.66,66.45,66.53,400
2015.04.10 22:30,66.52,66.55,66.39,66.52,176
2015.04.13 16:30,66.92,67.07,66.59,66.65,1056
2015.04.13 17:30,66.66,67.40,66.46,67.19,802
