Date,Open,High,Low,Close,Volume
2015.03.02 17:30,29.71,29.93,29.69,29.85,182
2015.03.02 18:30,29.86,29.89,29.49,29.53,119
2015.03.02 19:30,29.54,29.58,29.45,29.54,83
2015.03.02 20:30,29.55,29.83,29.54,29.71,105
2015.03.02 21:30,29.72,29.93,29.72,29.93,77
2015.03.02 22:30,29.94,30.09,29.92,30.04,51
2015.03.03 16:00,29.84,30.06,29.59,29.70,478
2015.03.03 16:30,29.84,30.06,29.59,29.68,168
2015.03.03 17:30,29.69,29.84,29.67,29.71,247
2015.03.03 18:30,29.70,29.73,29.57,29.65,215
2015.03.03 19:30,29.66,29.72,29.59,29.71,178
2015.03.03 20:30,29.72,29.84,29.63,29.83,240
2015.03.03 21:30,29.82,29.85,29.76,29.82,111
2015.03.03 22:30,29.83,29.86,29.76,29.83,50
2015.03.04 16:00,29.59,29.74,29.44,29.63,343
2015.03.04 16:30,29.59,29.74,29.44,29.67,205
2015.03.04 17:30,29.66,29.69,29.51,29.67,218
2015.03.04 18:30,29.68,29.89,29.67,29.86,157
2015.03.04 19:30,29.87,29.92,29.84,29.84,105
2015.03.04 20:30,29.85,29.86,29.71,29.75,129
2015.03.04 21:30,29.76,29.84,29.74,29.81,152
2015.03.04 22:30,29.82,29.85,29.72,29.74,85
2015.03.05 16:00,29.64,29.64,29.44,29.64,358
2015.03.05 16:30,29.64,29.75,29.44,29.73,162
2015.03.05 17:30,29.72,29.80,29.67,29.77,187
2015.03.05 18:30,29.78,29.95,29.78,29.86,83
2015.03.05 19:30,29.87,29.92,29.78,29.90,159
2015.03.05 20:30,29.89,30.06,29.86,30.01,133
2015.03.05 21:30,30.02,30.08,29.99,30.03,74
2015.03.05 22:30,30.02,30.11,29.98,30.08,77
2015.03.06 16:00,30.46,31.58,30.44,31.49,1082
2015.03.06 16:30,30.46,31.58,30.44,31.47,412
2015.03.06 17:30,31.46,31.59,31.13,31.35,558
2015.03.06 18:30,31.34,31.34,31.02,31.06,378
2015.03.06 19:30,31.05,31.17,30.97,31.03,261
2015.03.06 20:30,31.04,31.04,30.81,30.89,280
2015.03.06 21:30,30.88,31.07,30.84,30.97,231
2015.03.06 22:30,30.96,30.99,30.88,30.91,164
2015.03.09 16:00,30.82,31.03,30.61,30.96,510
2015.03.09 16:30,30.82,31.03,30.61,30.78,157
2015.03.09 17:30,30.79,30.82,30.59,30.80,365
2015.03.09 18:30,30.79,30.80,30.62,30.70,216
2015.03.09 19:30,30.69,30.74,30.60,30.68,141
2015.03.09 20:30,30.69,30.75,30.66,30.73,113
2015.03.09 21:30,30.72,30.87,30.69,30.85,135
2015.03.09 22:30,30.84,30.90,30.82,30.85,81
2015.03.10 16:00,30.39,30.61,30.24,30.44,494
2015.03.10 16:30,30.39,30.61,30.24,30.38,276
2015.03.10 17:30,30.37,30.81,30.27,30.74,296
2015.03.10 18:30,30.75,30.76,30.37,30.47,310
2015.03.10 19:30,30.46,30.54,30.40,30.46,404
2015.03.10 20:30,30.45,30.48,30.29,30.31,326
2015.03.10 21:30,30.32,30.38,30.26,30.30,378
2015.03.10 22:30,30.29,30.31,30.20,30.20,96
2015.03.11 16:00,30.23,30.72,30.20,30.52,427
2015.03.11 16:30,30.23,30.77,30.20,30.75,236
2015.03.11 17:30,30.74,30.77,30.50,30.76,413
2015.03.11 18:30,30.75,30.86,30.70,30.74,291
2015.03.11 19:30,30.75,30.86,30.61,30.62,232
2015.03.11 20:30,30.61,30.64,30.42,30.63,194
2015.03.11 21:30,30.64,30.72,30.53,30.53,162
2015.03.11 22:30,30.55,30.58,30.46,30.55,119
2015.03.12 16:00,30.70,30.84,30.49,30.58,421
2015.03.12 16:30,30.70,30.84,30.35,30.38,175
2015.03.12 17:30,30.39,30.55,30.24,30.55,229
2015.03.12 18:30,30.56,30.71,30.52,30.61,154
2015.03.12 19:30,30.60,30.73,30.55,30.69,152
2015.03.12 20:30,30.68,30.71,30.57,30.68,143
2015.03.12 21:30,30.69,30.96,30.67,30.96,185
2015.03.12 22:30,30.97,30.99,30.90,30.92,72
2015.03.13 16:00,30.47,30.56,30.29,30.35,507
2015.03.13 16:30,30.47,30.60,30.25,30.47,225
2015.03.13 17:30,30.46,30.48,30.20,30.22,389
2015.03.13 18:30,30.21,30.27,30.13,30.15,295
2015.03.13 19:30,30.16,30.28,29.97,29.97,239
2015.03.13 20:30,29.98,30.16,29.98,30.04,183
2015.03.13 21:30,30.03,30.16,29.97,30.15,187
2015.03.13 22:30,30.16,30.23,30.09,30.20,86
2015.03.16 16:00,30.53,30.70,30.39,30.47,456
2015.03.16 16:30,30.53,30.70,30.38,30.39,190
2015.03.16 17:30,30.40,30.63,30.37,30.56,268
2015.03.16 18:30,30.57,30.63,30.45,30.46,168
2015.03.16 19:30,30.47,30.50,30.38,30.50,130
2015.03.16 20:30,30.51,30.59,30.49,30.55,108
2015.03.16 21:30,30.56,30.69,30.53,30.65,104
2015.03.16 22:30,30.66,30.69,30.62,30.65,102
2015.03.17 16:00,30.69,30.79,30.52,30.68,411
2015.03.17 16:30,30.69,30.94,30.52,30.94,183
2015.03.17 17:30,30.95,30.99,30.80,30.85,325
2015.03.17 18:30,30.84,30.91,30.78,30.84,222
2015.03.17 19:30,30.85,30.95,30.83,30.91,137
2015.03.17 20:30,30.90,30.95,30.82,30.82,153
2015.03.17 21:30,30.83,30.88,30.76,30.85,159
2015.03.17 22:30,30.86,30.88,30.72,30.76,129
2015.03.18 16:00,30.70,30.99,30.68,30.73,339
2015.03.18 16:30,30.70,30.99,30.68,30.71,178
2015.03.18 17:30,30.72,30.79,30.53,30.55,229
2015.03.18 18:30,30.56,30.67,30.54,30.61,196
2015.03.18 19:30,30.62,30.73,30.59,30.64,129
2015.03.18 20:30,30.65,30.98,30.13,30.20,1153
2015.03.18 21:30,30.19,30.39,29.47,29.52,839
2015.03.18 22:30,29.53,29.70,29.53,29.62,165
2015.03.19 16:00,29.64,29.72,29.22,29.42,515
2015.03.19 16:30,29.64,29.72,29.22,29.25,216
2015.03.19 17:30,29.24,29.28,28.96,29.01,281
2015.03.19 18:30,29.02,29.15,28.79,29.15,346
2015.03.19 19:30,29.14,29.17,28.99,29.12,244
2015.03.19 20:30,29.13,29.27,29.13,29.17,134
2015.03.19 21:30,29.18,29.29,29.18,29.21,230
2015.03.19 22:30,29.22,29.31,29.20,29.29,94
2015.03.20 16:00,29.34,29.60,29.30,29.53,372
2015.03.20 16:30,29.34,29.60,29.30,29.54,150
2015.03.20 17:30,29.55,29.85,29.54,29.80,204
2015.03.20 18:30,29.81,29.85,29.74,29.84,122
2015.03.20 19:30,29.85,30.06,29.85,30.00,82
2015.03.20 20:30,30.01,30.03,29.86,29.93,126
2015.03.20 21:30,29.92,29.97,29.79,29.89,154
2015.03.20 22:30,29.88,29.99,29.86,29.88,59
2015.03.23 16:00,29.90,30.11,29.79,29.84,317
2015.03.23 16:30,29.90,30.11,29.79,29.89,146
2015.03.23 17:30,29.88,29.92,29.84,29.88,162
2015.03.23 18:30,29.89,29.91,29.81,29.86,119
2015.03.23 19:30,29.85,29.92,29.85,29.86,76
2015.03.23 20:30,29.85,29.98,29.85,29.94,60
2015.03.23 21:30,29.95,29.96,29.87,29.88,64
2015.03.23 22:30,29.89,29.89,29.77,29.77,55
2015.03.24 16:00,29.68,29.78,29.57,29.62,259
2015.03.24 16:30,29.68,29.78,29.57,29.71,167
2015.03.24 17:30,29.72,29.82,29.66,29.74,268
2015.03.24 18:30,29.75,29.84,29.73,29.79,168
2015.03.24 19:30,29.80,29.80,29.64,29.67,176
2015.03.24 20:30,29.66,29.74,29.63,29.68,157
2015.03.24 21:30,29.67,29.73,29.62,29.68,136
2015.03.24 22:30,29.69,29.75,29.65,29.66,64
2015.03.25 16:00,29.62,29.63,29.34,29.42,399
2015.03.25 16:30,29.62,29.63,29.34,29.40,133
2015.03.25 17:30,29.39,29.46,29.35,29.46,172
2015.03.25 18:30,29.45,29.46,29.13,29.17,288
2015.03.25 19:30,29.16,29.23,29.10,29.22,220
2015.03.25 20:30,29.23,29.33,29.19,29.22,188
2015.03.25 21:30,29.21,29.27,29.14,29.15,135
2015.03.25 22:30,29.14,29.20,29.08,29.08,86
2015.03.26 16:00,29.28,29.47,28.90,29.28,462
2015.03.26 16:30,29.28,29.47,28.90,29.29,205
2015.03.26 17:30,29.31,29.62,29.31,29.55,237
2015.03.26 18:30,29.54,29.79,29.53,29.63,217
2015.03.26 19:30,29.64,29.78,29.63,29.74,128
2015.03.26 20:30,29.75,29.93,29.74,29.83,146
2015.03.26 21:30,29.82,29.86,29.60,29.65,163
2015.03.26 22:30,29.64,29.75,29.62,29.63,86
2015.03.27 16:00,29.67,29.74,29.38,29.73,316
2015.03.27 16:30,29.67,29.78,29.38,29.63,174
2015.03.27 17:30,29.62,29.93,29.50,29.93,252
2015.03.27 18:30,29.92,29.97,29.81,29.82,128
2015.03.27 19:30,29.81,29.85,29.73,29.82,90
2015.03.27 20:30,29.81,30.01,29.81,29.94,115
2015.03.27 21:30,29.93,30.02,29.93,30.01,87
2015.03.27 22:30,30.02,30.10,29.99,30.09,87
2015.03.30 16:00,30.23,30.49,30.23,30.36,419
2015.03.30 16:30,30.23,30.49,30.18,30.21,262
2015.03.30 17:30,30.20,30.28,30.16,30.26,299
2015.03.30 18:30,30.25,30.31,30.24,30.27,252
2015.03.30 19:30,30.28,30.34,30.23,30.33,136
2015.03.30 20:30,30.32,30.43,30.31,30.35,141
2015.03.30 21:30,30.36,30.40,30.25,30.26,73
2015.03.30 22:30,30.25,30.31,30.22,30.23,45
2015.03.31 16:00,29.98,30.29,29.96,30.28,239
2015.03.31 16:30,29.98,30.34,29.96,30.21,109
2015.03.31 17:30,30.23,30.43,30.22,30.29,129
2015.03.31 18:30,30.30,30.31,30.15,30.19,105
2015.03.31 19:30,30.18,30.41,30.18,30.40,94
2015.03.31 20:30,30.41,30.45,30.31,30.32,85
2015.03.31 21:30,30.31,30.34,30.11,30.15,145
2015.03.31 22:30,30.14,30.37,30.12,30.31,111
2015.04.01 16:00,30.18,30.18,30.01,30.08,62
2015.04.01 16:30,30.18,30.18,29.80,29.88,245
2015.04.01 17:30,29.89,30.06,29.81,29.92,270
2015.04.01 18:30,29.93,29.94,29.69,29.76,189
2015.04.01 19:30,29.75,29.75,29.58,29.60,126
2015.04.01 20:30,29.61,29.71,29.59,29.60,113
2015.04.01 21:30,29.59,29.77,29.59,29.76,87
2015.04.01 22:30,29.75,29.86,29.75,29.81,100
2015.04.02 16:00,29.70,29.93,29.63,29.91,282
2015.04.02 16:30,29.70,29.95,29.63,29.84,94
2015.04.02 17:30,29.83,29.84,29.63,29.63,98
2015.04.02 18:30,29.62,29.62,29.53,29.60,81
2015.04.02 19:30,29.61,29.83,29.60,29.79,72
2015.04.02 20:30,29.80,29.80,29.70,29.74,47
