Date,Open,High,Low,Close,Volume
2015.02.13 22:30,27.37,27.37,27.30,27.30,25
2015.02.17 16:30,26.33,26.45,26.29,26.39,206
2015.02.17 17:30,26.40,26.49,26.39,26.49,63
2015.02.17 18:30,26.48,26.56,26.48,26.53,36
2015.02.17 19:30,26.54,26.61,26.52,26.61,48
2015.02.17 20:30,26.60,26.64,26.59,26.63,56
2015.02.17 21:30,26.64,26.65,26.60,26.62,33
2015.02.17 22:30,26.61,26.61,26.56,26.58,21
2015.02.18 16:30,27.00,27.06,26.89,26.95,204
2015.02.18 17:30,26.96,27.07,26.96,27.06,51
2015.02.18 18:30,27.05,27.29,27.05,27.28,84
2015.02.18 19:30,27.27,27.45,27.26,27.44,181
2015.02.18 20:30,27.45,27.47,27.36,27.37,111
2015.02.18 21:30,27.38,27.99,27.37,27.99,521
2015.02.18 22:30,27.98,28.12,27.97,28.00,337
2015.02.19 16:30,27.18,27.44,27.14,27.43,211
2015.02.19 17:30,27.44,27.48,27.40,27.45,71
2015.02.19 18:30,27.46,27.46,27.39,27.39,45
2015.02.19 19:30,27.40,27.40,27.28,27.30,49
2015.02.19 20:30,27.29,27.40,27.29,27.39,25
2015.02.19 21:30,27.38,27.40,27.34,27.38,39
2015.02.19 22:30,27.39,27.39,27.35,27.35,17
2015.02.20 16:30,27.00,27.07,26.89,27.01,215
2015.02.20 17:30,27.02,27.08,27.00,27.01,55
2015.02.20 18:30,27.02,27.18,26.99,27.18,56
2015.02.20 19:30,27.17,27.27,27.15,27.25,71
2015.02.20 20:30,27.27,27.30,27.24,27.27,38
2015.02.20 21:30,27.28,27.30,27.25,27.29,48
2015.02.20 22:30,27.30,27.30,27.22,27.24,29
2015.02.23 16:30,27.00,27.08,26.94,26.98,123
2015.02.23 17:30,26.97,27.04,26.94,26.95,84
2015.02.23 18:30,26.96,27.03,26.94,27.02,53
2015.02.23 19:30,27.01,27.02,26.96,26.98,20
2015.02.23 20:30,26.99,27.07,26.99,27.07,14
2015.02.23 21:30,27.06,27.06,26.98,26.98,37
2015.02.23 22:30,26.97,27.01,26.96,27.01,25
2015.02.24 16:30,27.48,27.61,27.43,27.61,164
2015.02.24 17:30,27.62,27.73,27.57,27.70,88
2015.02.24 18:30,27.71,27.73,27.68,27.73,21
2015.02.24 19:30,27.73,27.74,27.69,27.74,28
2015.02.24 20:30,27.75,27.75,27.71,27.74,46
2015.02.24 21:30,27.75,27.78,27.75,27.78,10
2015.02.24 22:30,27.79,27.80,27.75,27.75,28
2015.02.25 16:30,27.60,27.71,27.60,27.68,172
2015.02.25 17:30,27.69,27.72,27.68,27.69,24
2015.02.25 18:30,27.70,27.73,27.69,27.73,26
2015.02.25 19:30,27.74,27.78,27.74,27.78,7
2015.02.25 20:30,27.79,27.82,27.74,27.75,57
2015.02.25 21:30,27.74,27.77,27.67,27.68,91
2015.02.25 22:30,27.67,27.69,27.66,27.67,28
2015.02.26 16:30,28.03,28.26,28.01,28.24,132
2015.02.26 17:30,28.23,28.26,28.20,28.20,33
2015.02.26 18:30,28.21,28.24,28.21,28.23,27
2015.02.26 19:30,28.22,28.26,28.21,28.23,46
2015.02.26 20:30,28.22,28.22,28.11,28.11,35
2015.02.26 21:30,28.11,28.15,28.06,28.14,52
2015.02.26 22:30,28.14,28.16,28.12,28.13,20
2015.02.27 16:30,28.51,28.65,28.44,28.47,165
2015.02.27 17:30,28.46,28.50,28.45,28.45,35
2015.02.27 18:30,28.44,28.46,28.41,28.42,22
2015.02.27 19:30,28.41,28.41,28.35,28.37,36
2015.02.27 20:30,28.38,28.39,28.34,28.35,30
2015.02.27 21:30,28.35,28.37,28.31,28.36,50
