Date,Open,High,Low,Close,Volume
2005.08.31 00:00,6.60,15.40,6.00,8.10,1731
2005.09.30 00:00,8.12,12.25,6.34,6.40,1011
2005.10.31 00:00,6.44,8.97,6.01,6.94,543
2005.11.30 00:00,6.96,8.55,6.75,7.80,277
2005.12.31 00:00,8.00,8.15,6.27,6.29,206
2006.01.31 00:00,6.43,6.99,5.05,5.45,291
2006.02.28 00:00,5.30,6.15,4.44,5.14,327
2006.03.31 00:00,5.24,5.85,4.60,5.61,214
2006.04.30 00:00,5.75,6.30,5.43,5.80,170
2006.05.31 00:00,5.80,9.13,5.80,7.78,469
2006.06.30 00:00,7.84,9.40,7.63,8.25,314
2006.07.31 00:00,8.35,9.67,7.03,7.17,411
2006.08.31 00:00,7.10,8.20,6.79,7.77,216
2006.09.30 00:00,7.78,9.21,7.63,8.75,220
2006.10.31 00:00,8.69,9.91,8.22,8.73,335
2006.11.30 00:00,8.63,11.72,8.37,11.58,376
2006.12.31 00:00,11.50,12.87,10.98,11.27,356
2007.01.31 00:00,11.80,13.41,11.50,12.49,314
2007.02.28 00:00,12.65,12.65,10.08,10.67,317
2007.03.31 00:00,10.50,10.75,9.34,9.66,199
2007.04.30 00:00,9.65,13.28,9.28,12.16,550
2007.05.31 00:00,12.19,14.16,12.03,14.05,241
2007.06.30 00:00,14.25,17.20,13.47,16.80,492
2007.07.31 00:00,17.30,21.93,17.03,20.20,691
2007.08.31 00:00,20.08,21.37,16.10,20.82,981
2007.09.30 00:00,20.98,30.44,20.79,28.97,1132
2007.10.31 00:00,29.20,38.55,28.07,38.25,1192
2007.11.30 00:00,37.68,42.92,30.09,38.20,2515
2007.12.31 00:00,37.86,41.82,34.89,38.98,1275
2008.01.31 00:00,39.45,39.77,23.70,28.00,2070
2008.02.29 00:00,28.27,28.57,22.32,25.13,937
2008.03.31 00:00,24.94,27.99,20.12,23.96,1477
2008.04.30 00:00,24.47,37.82,24.30,36.56,1496
2008.05.31 00:00,36.60,38.29,32.19,34.51,1012
2008.06.30 00:00,34.20,36.20,30.32,31.30,887
2008.07.31 00:00,30.57,35.34,27.25,34.72,1204
2008.08.31 00:00,34.65,34.70,30.18,31.37,577
2008.09.30 00:00,31.98,32.20,22.70,24.82,1185
2008.10.31 00:00,24.80,27.48,17.63,20.60,1551
2008.11.30 00:00,21.01,23.98,10.56,13.59,1943
2008.12.31 00:00,12.39,14.25,10.05,13.06,774
2009.01.31 00:00,13.20,14.00,10.50,12.88,669
2009.02.28 00:00,12.80,15.30,11.97,14.83,464
2009.03.31 00:00,14.52,19.77,13.63,17.66,915
2009.04.30 00:00,17.43,23.66,17.10,23.29,727
2009.05.31 00:00,23.40,26.42,22.96,26.38,395
2009.06.30 00:00,26.82,31.03,26.55,30.11,568
2009.07.31 00:00,30.28,36.85,26.80,34.81,1558
2009.08.31 00:00,35.46,36.00,31.85,33.01,586
2009.09.30 00:00,32.79,40.80,31.65,39.11,1199
2009.10.31 00:00,39.07,43.99,35.30,37.79,1611
2009.11.30 00:00,37.95,44.33,36.91,43.37,943
2009.12.31 00:00,43.86,44.10,39.46,41.12,655
2010.01.31 00:00,41.60,47.03,38.47,41.17,1670
2010.02.28 00:00,41.78,51.87,41.68,51.87,1030
2010.03.31 00:00,52.09,62.85,51.25,59.70,1560
2010.04.30 00:00,60.37,71.80,59.68,68.90,1572
2010.05.31 00:00,69.70,82.29,62.50,73.21,3608
2010.06.30 00:00,72.85,78.59,66.44,68.08,1954
2010.07.01 00:00,73.20,81.94,70.06,81.33,144544
2010.08.01 00:00,82.85,88.24,75.96,78.33,113146
2010.09.01 00:00,80.39,106.16,79.92,102.48,87104
2010.10.01 00:00,103.37,113.71,95.09,109.93,217943
2010.11.01 00:00,111.62,114.99,103.08,104.99,233958
2010.12.01 00:00,107.37,111.99,94.30,97.22,137994
2011.01.01 00:00,100.11,109.91,100.11,108.63,114353
2011.02.01 00:00,116.61,131.62,112.96,121.07,149378
2011.03.01 00:00,119.52,138.30,117.00,137.71,185596
2011.04.01 00:00,138.30,156.02,136.03,149.09,169595
2011.05.01 00:00,149.80,150.47,124.66,135.70,308982
2011.06.01 00:00,134.84,140.24,114.13,140.18,297919
2011.07.01 00:00,139.43,165.92,137.71,157.07,275703
2011.08.01 00:00,161.32,161.87,125.18,145.86,301516
2011.09.01 00:00,145.04,150.41,100.92,106.72,261585
2011.10.01 00:00,104.63,147.54,102.01,140.10,236637
2011.11.01 00:00,133.33,144.79,118.00,130.96,160340
2011.12.01 00:00,130.10,137.15,110.68,116.41,175338
2012.01.01 00:00,120.00,132.20,117.17,127.45,168141
2012.02.01 00:00,129.81,142.44,126.06,136.71,171662
2012.03.01 00:00,137.58,154.10,131.40,145.77,203403
2012.04.01 00:00,144.32,152.83,129.00,132.64,209192
2012.05.01 00:00,132.65,135.65,115.02,117.79,152351
2012.06.01 00:00,115.00,124.75,107.50,114.95,132541
2012.07.01 00:00,115.00,124.19,99.71,120.51,145221
2012.08.01 00:00,121.80,134.46,110.13,111.47,173447
2012.09.01 00:00,112.20,117.19,106.60,116.81,161183
2012.10.01 00:00,114.38,116.79,105.94,106.62,153803
2012.11.01 00:00,107.03,107.95,90.75,96.30,157257
2012.12.01 00:00,97.41,102.43,85.96,100.24,137571
2013.01.01 00:00,103.21,114.80,99.37,108.28,126968
2013.02.01 00:00,108.81,109.00,87.54,90.75,102949
2013.03.01 00:00,89.96,93.19,83.30,87.70,97086
2013.04.01 00:00,87.60,92.72,82.98,85.85,122090
