Date,Open,High,Low,Close,Volume
2016.03.09 21:20,140.48,140.48,140.31,140.36,101
2016.03.09 21:25,140.35,140.46,140.32,140.44,145
2016.03.09 21:30,140.42,140.42,140.20,140.30,126
2016.03.09 21:35,140.30,140.36,140.22,140.27,83
2016.03.09 21:40,140.28,140.43,140.26,140.42,55
2016.03.09 21:45,140.43,140.45,140.34,140.45,106
2016.03.09 21:50,140.45,140.48,140.35,140.40,68
2016.03.09 21:55,140.41,140.41,140.35,140.40,56
2016.03.09 22:00,140.39,140.50,140.37,140.48,84
2016.03.09 22:05,140.49,140.50,140.27,140.29,97
2016.03.09 22:10,140.30,140.40,140.24,140.37,78
2016.03.09 22:15,140.36,140.40,140.31,140.31,110
2016.03.09 22:20,140.32,140.37,140.27,140.35,121
2016.03.09 22:25,140.34,140.44,140.30,140.41,78
2016.03.09 22:30,140.40,140.51,140.33,140.39,182
2016.03.09 22:35,140.38,140.39,140.31,140.35,134
2016.03.09 22:40,140.33,140.46,140.27,140.40,180
2016.03.09 22:45,140.41,140.43,140.36,140.36,89
2016.03.09 22:50,140.37,140.43,140.33,140.42,98
2016.03.09 22:55,140.41,140.41,140.23,140.40,304
2016.03.10 16:30,140.55,141.30,140.55,141.15,325
2016.03.10 16:35,141.12,141.36,140.64,141.20,236
2016.03.10 16:40,141.21,141.30,140.60,141.08,204
2016.03.10 16:45,141.08,141.36,140.96,141.28,249
2016.03.10 16:50,141.28,141.30,140.89,141.05,212
2016.03.10 16:55,141.06,141.36,140.88,141.06,283
2016.03.10 17:00,141.06,141.27,140.98,141.19,204
2016.03.10 17:05,141.19,141.34,140.98,141.04,274
2016.03.10 17:10,141.04,141.09,140.60,140.64,253
2016.03.10 17:15,140.65,140.68,140.42,140.42,144
2016.03.10 17:20,140.41,140.60,140.26,140.46,233
2016.03.10 17:25,140.47,140.47,140.05,140.05,241
2016.03.10 17:30,140.05,140.08,139.46,139.47,355
2016.03.10 17:35,139.48,139.66,139.47,139.63,241
2016.03.10 17:40,139.63,139.65,139.40,139.65,318
2016.03.10 17:45,139.66,139.83,139.45,139.46,211
2016.03.10 17:50,139.46,139.57,139.34,139.50,218
2016.03.10 17:55,139.50,139.59,139.04,139.06,233
2016.03.10 18:00,139.06,139.10,138.75,138.90,265
2016.03.10 18:05,138.91,139.24,138.91,139.16,277
2016.03.10 18:10,139.18,139.29,139.09,139.22,376
2016.03.10 18:15,139.23,139.34,139.13,139.15,339
2016.03.10 18:20,139.16,139.18,138.79,138.86,472
2016.03.10 18:25,138.84,139.20,138.78,139.09,468
2016.03.10 18:30,139.09,139.16,138.59,138.71,432
2016.03.10 18:35,138.71,139.03,138.57,138.88,276
2016.03.10 18:40,138.89,139.08,138.88,138.98,245
2016.03.10 18:45,138.98,139.23,138.90,139.19,251
2016.03.10 18:50,139.21,139.24,138.95,139.04,152
2016.03.10 18:55,139.05,139.43,139.05,139.27,236
2016.03.10 19:00,139.27,139.54,139.16,139.35,210
2016.03.10 19:05,139.37,139.47,139.33,139.45,182
2016.03.10 19:10,139.47,139.47,139.22,139.31,220
2016.03.10 19:15,139.31,139.34,139.05,139.15,242
2016.03.10 19:20,139.15,139.19,138.77,138.80,208
2016.03.10 19:25,138.81,138.96,138.79,138.90,235
2016.03.10 19:30,138.91,138.91,138.63,138.70,229
2016.03.10 19:35,138.69,138.69,138.30,138.49,306
2016.03.10 19:40,138.51,138.53,138.26,138.27,294
2016.03.10 19:45,138.28,138.56,138.26,138.30,294
2016.03.10 19:50,138.30,138.50,138.30,138.35,262
2016.03.10 19:55,138.33,138.46,138.26,138.30,354
2016.03.10 20:00,138.30,138.40,138.24,138.27,279
2016.03.10 20:05,138.25,138.36,138.25,138.31,149
2016.03.10 20:10,138.32,138.32,138.08,138.14,200
2016.03.10 20:15,138.16,138.61,138.16,138.61,180
2016.03.10 20:20,138.61,138.65,138.45,138.52,176
2016.03.10 20:25,138.53,138.67,138.44,138.62,280
2016.03.10 20:30,138.64,138.85,138.61,138.81,146
2016.03.10 20:35,138.82,139.06,138.78,139.05,171
2016.03.10 20:40,139.05,139.06,138.79,138.85,131
2016.03.10 20:45,138.86,138.96,138.81,138.93,139
2016.03.10 20:50,138.94,139.25,138.93,139.25,127
2016.03.10 20:55,139.26,139.30,139.02,139.05,199
2016.03.10 21:00,139.04,139.07,138.90,138.96,169
2016.03.10 21:05,138.96,138.99,138.78,138.83,192
2016.03.10 21:10,138.82,138.85,138.72,138.82,110
2016.03.10 21:15,138.81,138.87,138.70,138.80,187
2016.03.10 21:20,138.81,139.10,138.72,139.09,172
2016.03.10 21:25,139.06,139.14,138.88,139.14,239
2016.03.10 21:30,139.15,139.25,139.00,139.06,218
2016.03.10 21:35,139.07,139.24,139.07,139.23,102
2016.03.10 21:40,139.24,139.79,139.24,139.76,246
2016.03.10 21:45,139.76,139.82,139.58,139.77,225
2016.03.10 21:50,139.78,140.01,139.74,139.81,235
2016.03.10 21:55,139.83,139.86,139.68,139.68,99
2016.03.10 22:00,139.69,139.87,139.55,139.63,256
2016.03.10 22:05,139.62,139.69,139.52,139.65,167
2016.03.10 22:10,139.65,139.88,139.57,139.86,252
2016.03.10 22:15,139.85,140.09,139.80,139.92,379
2016.03.10 22:20,139.92,139.92,139.55,139.79,249
2016.03.10 22:25,139.80,140.34,139.78,140.16,395
2016.03.10 22:30,140.19,140.26,140.05,140.18,310
2016.03.10 22:35,140.18,140.19,139.78,139.87,341
2016.03.10 22:40,139.88,139.93,139.78,139.78,208
2016.03.10 22:45,139.78,139.91,139.75,139.77,210
2016.03.10 22:50,139.76,139.96,139.75,139.94,227
2016.03.10 22:55,139.93,140.20,139.83,140.20,364
2016.03.11 16:30,141.01,141.02,140.50,140.85,165
2016.03.11 16:35,140.86,141.17,140.76,140.88,326
2016.03.11 16:40,140.89,141.07,140.70,141.01,224
2016.03.11 16:45,141.01,141.40,140.98,141.39,289
2016.03.11 16:50,141.41,141.48,141.19,141.46,233
2016.03.11 16:55,141.52,141.52,141.16,141.21,256
2016.03.11 17:00,141.22,141.41,140.74,140.75,410
2016.03.11 17:05,140.75,140.75,140.51,140.55,194
2016.03.11 17:10,140.59,141.09,140.57,141.00,281
2016.03.11 17:15,141.00,141.35,140.86,141.32,169
2016.03.11 17:20,141.31,141.56,141.25,141.42,125
2016.03.11 17:25,141.42,141.61,141.39,141.57,153
2016.03.11 17:30,141.58,141.75,141.58,141.70,200
2016.03.11 17:35,141.70,141.94,141.65,141.74,261
2016.03.11 17:40,141.74,141.89,141.57,141.81,193
2016.03.11 17:45,141.82,142.10,141.79,141.85,190
2016.03.11 17:50,141.86,141.86,141.50,141.71,160
2016.03.11 17:55,141.71,141.82,141.61,141.61,174
2016.03.11 18:00,141.61,141.76,141.54,141.71,197
2016.03.11 18:05,141.72,141.96,141.72,141.95,131
2016.03.11 18:10,141.96,141.99,141.84,141.84,159
2016.03.11 18:15,141.86,141.94,141.84,141.93,134
2016.03.11 18:20,141.93,141.97,141.82,141.89,111
2016.03.11 18:25,141.89,142.20,141.89,142.10,156
2016.03.11 18:30,142.11,142.28,142.09,142.24,176
2016.03.11 18:35,142.24,142.47,142.23,142.44,188
2016.03.11 18:40,142.44,142.48,142.41,142.47,83
2016.03.11 18:45,142.48,142.55,142.42,142.54,115
2016.03.11 18:50,142.55,142.78,142.54,142.75,115
2016.03.11 18:55,142.74,142.78,142.64,142.78,128
